"consumer","resource","res_group","flux.mte","flux.mte.2","flux.new","flux.new.2"
"Cricotopus sp. A","Diatoma","plant",4.30696087953598e-05,5.16890531172625e-05,5.68299848248949e-05,7.53629942106367e-05
"Cricotopus sp. A","Synedra","plant",0.0143068891211669,0.0171701014337157,0.0188778192880862,0.0250341257366351
"Eukiefferiella minor","Diatoma","plant",1.37681692797502e-05,1.65235685471362e-05,1.81716325586318e-05,2.40988652187641e-05
"Eukiefferiella minor","Synedra","plant",0.00457351893356562,0.00548880915573462,0.00603626407200945,0.00800517586005912
"Limnophora riparia","Cricotopus sp. A","invertebrate",5.19820762070176e-06,6.23851568045725e-06,6.8242783105409e-06,9.03660703127976e-06
"Limnophora riparia","Diatoma","plant",4.64675040657981e-07,5.57669631339307e-07,6.10031771101878e-07,8.07794925879325e-07
"Limnophora riparia","Eukiefferiella minor","invertebrate",1.66104149903123e-06,1.99346278442753e-06,2.18063807794135e-06,2.88756825133635e-06
"Limnophora riparia","Micropsectra atrofasciata","invertebrate",2.46549732697557e-06,2.95891292860405e-06,3.23673873012878e-06,4.28604090221797e-06
"Limnophora riparia","Oligochaeta indet.","invertebrate",0.000141339279710447,0.000169625258757772,0.000185552146304088,0.000245705370393617
"Limnophora riparia","Orthocladius sp.","invertebrate",3.05010258211654e-06,3.66051419526955e-06,4.00421653286189e-06,5.30232350279958e-06
"Limnophora riparia","Simulium aureum","invertebrate",0.000830169630402781,0.000996310004256424,0.00108985808498019,0.00144317373730446
"Limnophora riparia","Simulium vittatum","invertebrate",0.000496324510041614,0.000595653052825132,0.000651581628901842,0.000862814624675003
"Limnophora riparia","Synedra","plant",0.000154356040605219,0.000185247040894253,0.000202640728663501,0.000268333814967037
"Micropsectra atrofasciata","Diatoma","plant",2.0900716891723e-05,2.50835402461684e-05,2.79974488597841e-05,3.72405650043243e-05
"Micropsectra atrofasciata","Synedra","plant",0.00694281298313063,0.00833226581586509,0.00930020977008797,0.0123705937720029
"Oligochaeta indet.","Diatoma","plant",0.000195137910653066,0.000234190514171205,0.000343339828967694,0.000477607810544477
"Oligochaeta indet.","Synedra","plant",0.0648210310967668,0.077793548936007,0.114050835410663,0.158652056054879
"Orthocladius sp.","Diatoma","plant",2.49975501366143e-05,3.00002654528893e-05,3.27679798039914e-05,4.33979041795673e-05
"Orthocladius sp.","Synedra","plant",0.00830370156842203,0.00996550661696059,0.0108848876712075,0.0144159424836705
"Radix balthica","Diatoma","plant",0.00124023032073555,0.00148843541232829,0.00149464364581175,0.00195090439227848
"Radix balthica","Synedra","plant",0.411980470214638,0.494429390092195,0.496491644906447,0.648052620095607
"Simulium aureum","Cricotopus sp. A","invertebrate",0.00460614317199955,0.00552796242506971,0.0059530915163554,0.00786227337042364
"Simulium aureum","Diatoma","plant",0.000411749572526006,0.000494152283259183,0.000532155166597537,0.000702819599493519
"Simulium aureum","Eukiefferiella minor","invertebrate",0.0014718525148362,0.00176641174480186,0.00190225800462778,0.00251232026458357
"Simulium aureum","Micropsectra atrofasciata","invertebrate",0.0021846825880915,0.00262189923471945,0.00282353693653232,0.00372905728150078
"Simulium aureum","Orthocladius sp.","invertebrate",0.00270270258666922,0.00324358965567291,0.00349303858762771,0.00461327096919569
"Simulium aureum","Synedra","plant",0.136775226071989,0.164147809169845,0.176771630314583,0.233463046528067
"Simulium vittatum","Cricotopus sp. A","invertebrate",0.00254235533863352,0.00305115239764477,0.0031976527517954,0.00420389215077391
"Simulium vittatum","Diatoma","plant",0.000227264695169502,0.000272746775019709,0.000285842646325474,0.000375791791828992
"Simulium vittatum","Eukiefferiella minor","invertebrate",0.00081238727478603,0.000974968897389365,0.0010217817963005,0.00134331674096242
"Simulium vittatum","Micropsectra atrofasciata","invertebrate",0.00120583300033268,0.00144715421727859,0.00151663898162716,0.00199389589968464
"Simulium vittatum","Orthocladius sp.","invertebrate",0.00149175353291814,0.00179029551829078,0.00187625613030949,0.00246667760113128
"Simulium vittatum","Synedra","plant",0.0754929261232614,0.0906011913621849,0.094951385941543,0.124830748379615
