Prey,Predator,PreyMass,PredatorMass
Diplocephalus picinus,Trichoniscus pusillus {m},0.001612679,0.000404192
Lithobius dentatus,Steganacarus magnus,0.006537213,0.0004634
Brachychthoniidae spp.,Linyphiidae (juv),7.11e-06,0.000519895
Folsomia quadrioculata,Lithobius cf. crassipes (juv),5.41e-06,0.000951286
Amaurobius sp. (juv),Hahnia pusilla,0.012068147,0.001021355
Elateridae sp.,Geostiba circellaris,0.02957777,0.001056938
Chordeumatidae (juv) {m},Saloca diceros,0.001220857,0.001156146
Lithobius crassipes,Saloca diceros,0.003348347,0.001156146
Oppiella falcata,Saloca diceros,6.68e-06,0.001156146
Brachychthoniidae spp.,Coleoptera sp.,7.11e-06,0.001535648
Lithobius sp2 {l},Nesovitrea hammonis,0.000157031,0.002188587
Strigamia acuminata,Walckenaeria cucullata,0.006997365,0.002215063
Arrhopalites pygmaeus,Harpactea lepida (juv) small,5.1e-06,0.002996785
Trachytes aegrota (juv) {s},Walckenaeria nudipalpis,2.42e-05,0.003178051
Enchytraeidae,Lithobius sp.,-999,0.00359344
Geophilomorpha sp.,Staphylinidae spec,0.006669259,0.004003596
Aporrectodea caliginosa (juv) {xl},Geophilus ribauti,0.267537302,0.004253993
Aporrectodea caliginosa (juv) {xxxl},Harpactea lepida (juv) large,0.207777778,0.004962887
Geholaspis sp. (juv),Phalangiidae sp. (juv),4.74e-05,0.005966949
Hahnia pusilla,Julidae sp.,0.001021355,0.00617
Aporrectodea caliginosa (juv) {xl},Strigamia acuminata,0.267537302,0.006997365
Chordeumatidae (juv) {m},Discus rotundatus,0.001220857,0.007771684
Oppiella subpectinata,Trachelipus sp.,1.52e-05,0.009576654
Harpactea lepida large,Staphylinidae sp. (juv) {s},0.014693674,0.010186866
Enchytraeidae,Harpactea lepida large,-999,0.014693674
Lithobius dentatus,Otioryhnchinae sp.,0.006537213,0.016718073
Harpactea lepida (juv) large,Trichia striolata (juv),0.004962887,0.020057741
Lysigamasus lapponicus,Trichia striolata (juv),5.21e-05,0.020057741
Lithobius cf. crassipes (juv),Monachoides incarnatus,0.000951286,0.125012001
Lithobius cf. crassipes (juv),Octolasion tyrtaeum (juv) {xxl},0.000951286,0.378272222
