"node","mass","abundance","biomass","group","mode","efficiency","growth","mte","mte.2","mte.3","new","new.2","new.3"
"Achnanthes",1.82e-07,24303887.5,4.423307525,"plant","basal",0.519437809777475,3.80560994783275,0.00641043144016511,0.007783436679982,0.0283553096277789,0.00531516138959041,0.00883194607748427,0.0235105933711647
"Capnia vidua",0.002067996,20,0.04135992,"invertebrate","scraper",0.897042821784468,NA,0.000248216582668444,0.000301380347353281,1.02662180018402e-05,0.000233692874757739,0.000316848859731571,9.66551860455008e-06
"Diatoma",3.46e-06,1631196.475,5.6439398035,"plant","basal",0.519437809777475,2.95742860044341,0.00229909587514132,0.00279152305619376,0.0129759587217727,0.00198422314982499,0.00309223277419257,0.0111988360143234
"Epithemia",1.56e-06,224251.9602,0.349833057912,"plant","basal",0.519437809777475,3.16610560626603,0.00303397630318167,0.00368380235633129,0.00106138520777459,0.00259022822479018,0.00410728599852868,0.00090614746056832
"Eukiefferiella minor",0.037851255,104,3.93653052,"invertebrate","collector gatherer",0.897042821784468,NA,9.02062555531098e-05,0.000109526899209427,0.000355099678079736,8.83550535503097e-05,0.000112444602162785,0.000347812364897029
"FPOM",1,1,1,"detritus","basal",0.145391973263698,0,2.88499872577991e-05,3.50291631905486e-05,2.88499872577991e-05,2.95453632509369e-05,3.50126838185091e-05,2.95453632509369e-05
"Gomphonema",6.14667e-08,8702476.856,0.534912534164695,"plant","basal",0.519437809777475,4.17648985621836,0.00935475902242386,0.0113583890861566,0.00500397785518479,0.00764269857533701,0.0130033436036849,0.00408817526279043
"Macropelopia sp.",0.092220758,4,0.368883032,"invertebrate","predator",0.897042821784468,NA,6.61571345093385e-05,8.03268660134405e-05,2.44042443662366e-05,6.55894754076284e-05,8.18686298506914e-05,2.41948445556554e-05
"Melosira",6.19e-07,788461.7033,0.4880577943427,"plant","basal",0.519437809777475,3.42684732365491,0.00418586714006544,0.00508240859287274,0.00204294508379193,0.00352897611216695,0.00570964825324392,0.00172234429759228
"Meridion",5.12e-07,6980935.315,3.57423888128,"plant","basal",0.519437809777475,3.482992149139,0.00447180731379499,0.00542959228203013,0.0159833075705583,0.00376032004631767,0.00610914831337866,0.0134402821156052
"Micropsectra atrofasciata",0.03057972,76,2.32405872,"invertebrate","collector gatherer",0.897042821784468,NA,9.71616471921805e-05,0.000117972017281821,0.000225809373406551,9.48918478202846e-05,0.000121326056437525,0.000220534226383645
"Oligochaeta indet.",0.036827387,2608,96.045825296,"invertebrate","collector gatherer",0.897042821784468,NA,9.10716744773477e-05,0.000110577676128475,0.00874705413626552,8.91694323552242e-05,0.000113548818739581,0.00856435172173336
"Orthocladius sp.",0.02592233,220,5.7029126,"invertebrate","collector gatherer",0.897042821784468,NA,0.000102915416352916,0.000124958145805593,0.000586917624653292,0.000100285465169409,0.000128684482434996,0.000571919242911483
"Potamophylax cingulatus",0.106138702,12,1.273664424,"invertebrate","predator",0.897042821784468,NA,6.29972667310898e-05,7.64902083721132e-05,8.02373774446278e-05,6.25762966916362e-05,7.78688186214711e-05,7.97012028818059e-05
"Prionocera turcica",0.126319069,4,0.505276276,"invertebrate","predator",0.897042821784468,NA,5.92926166240543e-05,7.19920853052425e-05,2.99591525220978e-05,5.90360699307918e-05,7.31854271630749e-05,2.9829525564306e-05
"Radix balthica",0.801445195,1208,968.14579556,"invertebrate","scraper",0.897042821784468,NA,3.11612815644804e-05,3.78354973745694e-05,0.0301686637309131,3.18163949090259e-05,3.78861768407366e-05,0.03080290896105
"Rheocricotopus effesus",0.022324188,8,0.178593504,"invertebrate","collector gatherer",0.897042821784468,NA,0.000108411928057679,0.000131631916707618,1.93616661072169e-05,0.000105426918471203,0.000135722942060857,1.88285627856945e-05
"Rhopalodia",1.89e-06,1515490.653,2.86427733417,"plant","basal",0.519437809777475,3.11452334472077,0.00283788912958497,0.00344571664966827,0.00812850151075767,0.00242915537367455,0.00383580941770929,0.00695777467799328
"Salmo trutta",11909.31001,0.210434783,2506.13306763408,"fish","predator",0.897042821784468,NA,1.09896357353263e-06,1.33434285477323e-06,0.00275414895175545,1.2787633980361e-06,1.23523182380673e-06,0.00320475123749838
"Simulium aureum",0.434251081,8,3.474008648,"invertebrate","filter feeder",0.897042821784468,NA,3.85725886221882e-05,4.68341801836764e-05,0.000134001506449228,3.90564713138426e-05,4.71323958887445e-05,0.000135682519104653
"Synedra",4.51e-06,2229596.32,10.0554794032,"plant","basal",0.519437809777475,2.89110712151413,0.00209643229600457,0.00254545238992534,0.0210806317726772,0.00181585228414315,0.00281355335258156,0.0182592652424551
"Thienemanniella sp.",0.017913053,164,2.937740692,"invertebrate","collector gatherer",0.897042821784468,NA,0.000117048447723616,0.000142118231799307,0.000343857987813101,0.000113485174633206,0.000146799068474169,0.000333390015458695
