"location","time","IS","temp","consumer","resource","con_mass","con_abun","res_mass","res_abun","source","con_taxonomy"
"Hengill","August 2008",1,22.7,"Eukiefferiella minor","Achnanthes",0.041873497,28,2.34333333333333e-07,9259091.0571,"regional","species"
"Hengill","August 2008",1,22.7,"Eukiefferiella minor","Amphora",0.041873497,28,4.3175e-07,298857.003,"regional","species"
"Hengill","August 2008",1,22.7,"Eukiefferiella minor","Cocconeis",0.041873497,28,2.125e-06,2596394.7685,"stream","species"
"Hengill","August 2008",1,22.7,"Eukiefferiella minor","CPOM",0.041873497,28,NA,NA,"regional","species"
"Hengill","August 2008",1,22.7,"Eukiefferiella minor","Cymbella",0.041873497,28,1.98e-07,239085.6024,"stream","species"
"Hengill","August 2008",1,22.7,"Eukiefferiella minor","Epithemia",0.041873497,28,8.995e-07,12742078.1995,"stream","species"
"Hengill","August 2008",1,22.7,"Eukiefferiella minor","Eunotia",0.041873497,28,1.82e-07,485747.0086,"regional","species"
"Hengill","August 2008",1,22.7,"Eukiefferiella minor","Filamentous algae",0.041873497,28,NA,NA,"stream","species"
"Hengill","August 2008",1,22.7,"Eukiefferiella minor","FPOM",0.041873497,28,NA,NA,"stream","species"
"Hengill","August 2008",1,22.7,"Eukiefferiella minor","Fragilaria",0.041873497,28,2.275e-07,1359560.03093333,"regional","species"
"Hengill","August 2008",1,22.7,"Eukiefferiella minor","Frustulia",0.041873497,28,8.08e-06,591736.715,"regional","species"
"Hengill","August 2008",1,22.7,"Eukiefferiella minor","Gomphonema",0.041873497,28,1.17533333333333e-07,1215745.2265,"regional","species"
"Hengill","August 2008",1,22.7,"Eukiefferiella minor","Macrophytes",0.041873497,28,NA,NA,"regional","species"
"Hengill","August 2008",1,22.7,"Eukiefferiella minor","Melosira",0.041873497,28,2.85e-06,1072433.188,"regional","species"
"Hengill","August 2008",1,22.7,"Eukiefferiella minor","Meridion",0.041873497,28,3.63e-07,2396578.318,"stream","species"
"Hengill","August 2008",1,22.7,"Eukiefferiella minor","Navicula",0.041873497,28,1.269e-07,1676475.39971667,"stream","species"
"Hengill","August 2008",1,22.7,"Eukiefferiella minor","Nitzschia",0.041873497,28,2.65025e-07,11675508.776175,"regional","species"
"Hengill","August 2008",1,22.7,"Eukiefferiella minor","Pinnularia",0.041873497,28,1.8975e-06,183102.10365,"regional","species"
"Hengill","August 2008",1,22.7,"Eukiefferiella minor","Rhoicosphenia",0.041873497,28,4.63e-08,2865575.206,"regional","species"
"Hengill","August 2008",1,22.7,"Eukiefferiella minor","Rhopalodia",0.041873497,28,1.16e-06,6243602.501,"regional","species"
"Hengill","August 2008",1,22.7,"Eukiefferiella minor","Synedra",0.041873497,28,7.12e-06,5340110.285,"stream","species"
"Hengill","August 2008",1,22.7,"Helobdella stagnalis","Eukiefferiella minor",0.663329906,4,0.041873497,28,"literature","species"
"Hengill","August 2008",1,22.7,"Helobdella stagnalis","Micropsectra atrofasciata",0.663329906,4,0.028482694,232,"literature","species"
"Hengill","August 2008",1,22.7,"Helobdella stagnalis","Oligochaeta indet.",0.663329906,4,0.004192389,6112,"literature","species"
"Hengill","August 2008",1,22.7,"Helobdella stagnalis","Orthocladius sp.",0.663329906,4,0.050146897,476,"literature","species"
"Hengill","August 2008",1,22.7,"Helobdella stagnalis","Pisidium sp.",0.663329906,4,0.322268984,4,"literature","species"
"Hengill","August 2008",1,22.7,"Helobdella stagnalis","Radix balthica",0.663329906,4,0.396905241,3276,"literature","species"
"Hengill","August 2008",1,22.7,"Helobdella stagnalis","Thienemanniella sp.",0.663329906,4,0.013329585,4,"literature","species"
"Hengill","August 2008",1,22.7,"Limnophora riparia","Eukiefferiella minor",0.120358479,36,0.041873497,28,"regional","species"
"Hengill","August 2008",1,22.7,"Limnophora riparia","Micropsectra atrofasciata",0.120358479,36,0.028482694,232,"literature","species"
"Hengill","August 2008",1,22.7,"Limnophora riparia","Oligochaeta indet.",0.120358479,36,0.004192389,6112,"literature","species"
"Hengill","August 2008",1,22.7,"Limnophora riparia","Orthocladius sp.",0.120358479,36,0.050146897,476,"literature","species"
"Hengill","August 2008",1,22.7,"Limnophora riparia","Simulium aureum",0.120358479,36,0.21607722,976,"literature","species"
"Hengill","August 2008",1,22.7,"Limnophora riparia","Simulium vittatum",0.120358479,36,0.179134976,888,"regional","species"
"Hengill","August 2008",1,22.7,"Limnophora riparia","Synedra",0.120358479,36,7.12e-06,5340110.285,"regional","species"
"Hengill","August 2008",1,22.7,"Limnophora riparia","Thienemanniella sp.",0.120358479,36,0.013329585,4,"literature","species"
"Hengill","August 2008",1,22.7,"Micropsectra atrofasciata","Achnanthes",0.028482694,232,2.34333333333333e-07,9259091.0571,"regional","species"
"Hengill","August 2008",1,22.7,"Micropsectra atrofasciata","Amphora",0.028482694,232,4.3175e-07,298857.003,"regional","species"
"Hengill","August 2008",1,22.7,"Micropsectra atrofasciata","Cocconeis",0.028482694,232,2.125e-06,2596394.7685,"stream","species"
"Hengill","August 2008",1,22.7,"Micropsectra atrofasciata","CPOM",0.028482694,232,NA,NA,"regional","species"
"Hengill","August 2008",1,22.7,"Micropsectra atrofasciata","Cymbella",0.028482694,232,1.98e-07,239085.6024,"regional","species"
"Hengill","August 2008",1,22.7,"Micropsectra atrofasciata","Epithemia",0.028482694,232,8.995e-07,12742078.1995,"stream","species"
"Hengill","August 2008",1,22.7,"Micropsectra atrofasciata","Filamentous algae",0.028482694,232,NA,NA,"stream","species"
"Hengill","August 2008",1,22.7,"Micropsectra atrofasciata","FPOM",0.028482694,232,NA,NA,"stream","species"
"Hengill","August 2008",1,22.7,"Micropsectra atrofasciata","Fragilaria",0.028482694,232,2.275e-07,1359560.03093333,"regional","species"
"Hengill","August 2008",1,22.7,"Micropsectra atrofasciata","Frustulia",0.028482694,232,8.08e-06,591736.715,"regional","species"
"Hengill","August 2008",1,22.7,"Micropsectra atrofasciata","Gomphonema",0.028482694,232,1.17533333333333e-07,1215745.2265,"regional","species"
"Hengill","August 2008",1,22.7,"Micropsectra atrofasciata","Macrophytes",0.028482694,232,NA,NA,"regional","species"
"Hengill","August 2008",1,22.7,"Micropsectra atrofasciata","Melosira",0.028482694,232,2.85e-06,1072433.188,"regional","species"
"Hengill","August 2008",1,22.7,"Micropsectra atrofasciata","Meridion",0.028482694,232,3.63e-07,2396578.318,"stream","species"
"Hengill","August 2008",1,22.7,"Micropsectra atrofasciata","Navicula",0.028482694,232,1.269e-07,1676475.39971667,"stream","species"
"Hengill","August 2008",1,22.7,"Micropsectra atrofasciata","Nitzschia",0.028482694,232,2.65025e-07,11675508.776175,"stream","species"
"Hengill","August 2008",1,22.7,"Micropsectra atrofasciata","Pinnularia",0.028482694,232,1.8975e-06,183102.10365,"stream","species"
"Hengill","August 2008",1,22.7,"Micropsectra atrofasciata","Rhoicosphenia",0.028482694,232,4.63e-08,2865575.206,"regional","species"
"Hengill","August 2008",1,22.7,"Micropsectra atrofasciata","Rhopalodia",0.028482694,232,1.16e-06,6243602.501,"regional","species"
"Hengill","August 2008",1,22.7,"Micropsectra atrofasciata","Synedra",0.028482694,232,7.12e-06,5340110.285,"stream","species"
"Hengill","August 2008",1,22.7,"Oligochaeta indet.","Achnanthes",0.004192389,6112,2.34333333333333e-07,9259091.0571,"regional","species"
"Hengill","August 2008",1,22.7,"Oligochaeta indet.","Amphora",0.004192389,6112,4.3175e-07,298857.003,"literature","species"
"Hengill","August 2008",1,22.7,"Oligochaeta indet.","Cocconeis",0.004192389,6112,2.125e-06,2596394.7685,"regional","species"
"Hengill","August 2008",1,22.7,"Oligochaeta indet.","CPOM",0.004192389,6112,NA,NA,"literature","species"
"Hengill","August 2008",1,22.7,"Oligochaeta indet.","Cymbella",0.004192389,6112,1.98e-07,239085.6024,"regional","species"
"Hengill","August 2008",1,22.7,"Oligochaeta indet.","Epithemia",0.004192389,6112,8.995e-07,12742078.1995,"regional","species"
"Hengill","August 2008",1,22.7,"Oligochaeta indet.","Eunotia",0.004192389,6112,1.82e-07,485747.0086,"literature","species"
"Hengill","August 2008",1,22.7,"Oligochaeta indet.","Filamentous algae",0.004192389,6112,NA,NA,"regional","species"
"Hengill","August 2008",1,22.7,"Oligochaeta indet.","FPOM",0.004192389,6112,NA,NA,"stream","species"
"Hengill","August 2008",1,22.7,"Oligochaeta indet.","Fragilaria",0.004192389,6112,2.275e-07,1359560.03093333,"regional","species"
"Hengill","August 2008",1,22.7,"Oligochaeta indet.","Frustulia",0.004192389,6112,8.08e-06,591736.715,"regional","species"
"Hengill","August 2008",1,22.7,"Oligochaeta indet.","Gomphonema",0.004192389,6112,1.17533333333333e-07,1215745.2265,"regional","species"
"Hengill","August 2008",1,22.7,"Oligochaeta indet.","Macrophytes",0.004192389,6112,NA,NA,"regional","species"
"Hengill","August 2008",1,22.7,"Oligochaeta indet.","Melosira",0.004192389,6112,2.85e-06,1072433.188,"stream","species"
"Hengill","August 2008",1,22.7,"Oligochaeta indet.","Meridion",0.004192389,6112,3.63e-07,2396578.318,"regional","species"
"Hengill","August 2008",1,22.7,"Oligochaeta indet.","Navicula",0.004192389,6112,1.269e-07,1676475.39971667,"regional","species"
"Hengill","August 2008",1,22.7,"Oligochaeta indet.","Nitzschia",0.004192389,6112,2.65025e-07,11675508.776175,"regional","species"
"Hengill","August 2008",1,22.7,"Oligochaeta indet.","Pinnularia",0.004192389,6112,1.8975e-06,183102.10365,"regional","species"
"Hengill","August 2008",1,22.7,"Oligochaeta indet.","Rhoicosphenia",0.004192389,6112,4.63e-08,2865575.206,"regional","species"
"Hengill","August 2008",1,22.7,"Oligochaeta indet.","Rhopalodia",0.004192389,6112,1.16e-06,6243602.501,"regional","species"
"Hengill","August 2008",1,22.7,"Oligochaeta indet.","Synedra",0.004192389,6112,7.12e-06,5340110.285,"stream","species"
"Hengill","August 2008",1,22.7,"Oligochaeta indet.","Tetracyclus",0.004192389,6112,6.62e-07,119542.8012,"literature","species"
"Hengill","August 2008",1,22.7,"Orthocladius sp.","Achnanthes",0.050146897,476,2.34333333333333e-07,9259091.0571,"regional","species"
