Metric,Ecosystem,NumFoodWebs,MeanEmpirical,MeanPseudo,MeanDelta,StdDelta,TStatistic,DF,PValue,RejectH0
Connectance,lakes,53,0.1064679245283019,0.10283056603773584,-0.0036373584905660377,0.003861691613660142,-6.857194247297745,52,8.360605722134714e-09,True
Connectance,streams,28,0.14866785714285716,0.14300000000000002,-0.005667857142857147,0.0048997757750230434,-6.120990492292712,27,1.5390420725899446e-06,True
Connectance,marine,134,0.1513402985074627,0.1459376616915423,-0.005402636815920397,0.003430414655335416,-18.231044614048102,133,5.476313439867514e-38,True
Connectance,terrestrial aboveground,21,0.10292380952380953,0.09941619047619046,-0.0035076190476190485,0.003172970067242843,-5.065893927184338,20,5.9080905616771526e-05,True
Connectance,terrestrial belowground,52,0.11502884615384615,0.11163884615384617,-0.003389999999999998,0.0010075440923548776,-24.262598364812384,51,1.133598360767681e-29,True
Average trophic height,lakes,53,1.7049169811320755,1.7075328301886796,0.0026158490566037585,0.04877225872255515,0.3904610753046635,52,0.6977906611651666,False
Average trophic height,streams,28,1.6625142857142856,1.6827892857142859,0.02027499999999998,0.06544846649591313,1.6392319241027347,27,0.11276674963045873,False
Average trophic height,marine,133,1.9924315789473686,1.9881090225563909,-0.00432255639097744,0.1315951438362911,-0.3788145268487789,132,0.7054342142790758,False
Average trophic height,terrestrial aboveground,20,2.14096,2.1788420000000004,0.03788200000000004,0.13149739879756678,1.2883407261013369,19,0.21309614902859267,False
Average trophic height,terrestrial belowground,48,3.3380250000000005,3.4855095833333336,0.14748458333333334,0.143576733920322,7.116773997888041,47,5.437637250892865e-09,True
Mean generality,lakes,53,7.638449056603773,7.412307169811321,-0.22614188679245292,0.24604620633169239,-6.691173218898895,52,1.53793753773768e-08,True
Mean generality,streams,28,19.06056428571429,18.402579999999997,-0.6579842857142858,0.6387470251314568,-5.450867771102944,27,9.092335346423855e-06,True
Mean generality,marine,134,7.974491791044775,7.655841940298508,-0.3186498507462687,0.4044847046096252,-9.119352745111142,133,1.0347825020254707e-15,True
Mean generality,terrestrial aboveground,21,11.794766666666666,11.384582857142858,-0.41018380952380973,0.5471066095239226,-3.435707635891785,20,0.002616601819626465,True
Mean generality,terrestrial belowground,52,15.165871153846155,14.629972692307692,-0.5358984615384617,0.18117176254230305,-21.33013836599426,51,4.528307023345589e-27,True
Mean vulnerability,lakes,53,4.307330188679245,4.18620679245283,-0.12112339622641516,0.16914563364317609,-5.213209562071023,52,3.2525403952394527e-06,True
Mean vulnerability,streams,28,10.42265357142857,10.07977,-0.34288357142857123,0.3634801223584797,-4.991660356903628,27,3.114589056051304e-05,True
Mean vulnerability,marine,134,6.783141791044776,6.53424487562189,-0.24889691542288558,0.2965374644379854,-9.716108229371594,133,3.42688867958532e-17,True
Mean vulnerability,terrestrial aboveground,21,8.714414285714286,8.371407619047618,-0.3430066666666668,0.4988932872001122,-3.1506818275628485,20,0.005031027994731685,True
Mean vulnerability,terrestrial belowground,52,15.121628846153847,14.668334615384616,-0.45329423076923064,0.16326645990762834,-20.020959514099246,51,8.164989699488476e-26,True
