IS,temp,n_nodes,n_edges,link_density,n_communities_mean,n_communities_std,n_seeds,community_method,edge_weight_mode,n_communities_counts
10,5.1,33,243,0.23011363636363635,2.7333333333333334,0.4422166387140533,30,louvain_undirected_projection,binary,"3,3,3,2,3,3,3,2,3,3,3,3,2,2,3,3,2,3,3,3,3,3,2,3,2,3,3,3,2,3"
13,6.1,36,256,0.20317460317460317,3.2333333333333334,0.4955356249106168,30,louvain_undirected_projection,binary,"3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,5,3,4,3,4,3,3,3,3,3,3,4,3"
7,8.2,40,329,0.2108974358974359,3.533333333333333,0.4988876515698589,30,louvain_undirected_projection,binary,"4,3,4,4,3,4,3,3,4,4,3,3,3,4,3,4,3,3,3,3,4,4,4,3,4,4,4,4,3,4"
14,9.7,39,289,0.1950067476383266,3.2,0.4760952285695233,30,louvain_undirected_projection,binary,"4,3,3,4,3,3,3,3,3,4,3,3,4,4,3,3,4,3,3,3,3,2,3,4,3,3,3,3,3,3"
4,12.7,41,319,0.19451219512195123,3.6,0.48989794855663565,30,louvain_undirected_projection,binary,"4,4,4,4,3,4,4,4,3,4,3,3,4,3,4,3,3,3,4,4,3,4,3,4,4,4,4,3,4,3"
11,12.8,41,280,0.17073170731707318,3.933333333333333,0.5120763831912405,30,louvain_undirected_projection,binary,"5,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,5,4,3,3,4,5,3,4,4,4,4"
16,14.5,41,334,0.20365853658536584,3.1666666666666665,0.45338235029118146,30,louvain_undirected_projection,binary,"3,3,3,3,3,3,3,3,4,3,3,4,3,3,4,3,4,3,3,4,3,3,3,3,2,3,3,3,3,4"
12,15.5,40,292,0.18717948717948718,3.3333333333333335,0.53748384988657,30,louvain_undirected_projection,binary,"3,4,3,3,4,3,3,4,4,3,4,4,3,4,4,3,4,3,3,3,4,3,3,3,3,3,2,3,4,3"
9,18.1,39,293,0.19770580296896087,3.7333333333333334,0.44221663871405326,30,louvain_undirected_projection,binary,"3,4,3,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,3,3,4,4,4,3,4,4,4,4,4,4"
6,21.0,37,249,0.18693693693693694,3.033333333333333,0.40688518719112343,30,louvain_undirected_projection,binary,"4,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3"
5,21.3,43,281,0.15559246954595793,4.066666666666666,0.35901098714230023,30,louvain_undirected_projection,binary,"4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,4,4,5,4,4,4,4,4,4,4,4,4"
1,22.7,37,223,0.16741741741741742,3.7666666666666666,0.42295258468165065,30,louvain_undirected_projection,binary,"4,4,4,4,3,4,4,3,4,4,3,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4"
3,23.7,36,231,0.18333333333333332,3.2,0.4,30,louvain_undirected_projection,binary,"3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,4,3,3,4,3,4,3"
8,24.6,33,173,0.16382575757575757,3.3,0.7371114795831993,30,louvain_undirected_projection,binary,"3,4,3,4,3,2,3,4,4,4,2,4,4,3,2,3,4,4,4,2,3,3,3,4,3,4,4,3,2,4"
