IS,temp,interaction_type,count,total_edges_with_mass,prop,total_edges_all,mass_coverage
1,5.1,pred_smaller,0,,,,
3,5.1,pred_smaller,0,,,,
4,5.1,pred_smaller,0,,,,
5,5.1,pred_smaller,0,,,,
6,5.1,pred_smaller,0,,,,
7,5.1,pred_smaller,0,,,,
8,5.1,pred_smaller,0,,,,
9,5.1,pred_smaller,0,,,,
10,5.1,pred_smaller,12,197.0,0.06091370558375635,243.0,0.8106995884773662
11,5.1,pred_smaller,0,,,,
12,5.1,pred_smaller,0,,,,
13,5.1,pred_smaller,0,,,,
14,5.1,pred_smaller,0,,,,
16,5.1,pred_smaller,0,,,,
1,5.1,0-2,0,,,,
3,5.1,0-2,0,,,,
4,5.1,0-2,0,,,,
5,5.1,0-2,0,,,,
6,5.1,0-2,0,,,,
7,5.1,0-2,0,,,,
8,5.1,0-2,0,,,,
9,5.1,0-2,0,,,,
10,5.1,0-2,23,197.0,0.116751269035533,243.0,0.8106995884773662
11,5.1,0-2,0,,,,
12,5.1,0-2,0,,,,
13,5.1,0-2,0,,,,
14,5.1,0-2,0,,,,
16,5.1,0-2,0,,,,
1,5.1,2-4,0,,,,
3,5.1,2-4,0,,,,
4,5.1,2-4,0,,,,
5,5.1,2-4,0,,,,
6,5.1,2-4,0,,,,
7,5.1,2-4,0,,,,
8,5.1,2-4,0,,,,
9,5.1,2-4,0,,,,
10,5.1,2-4,13,197.0,0.06598984771573604,243.0,0.8106995884773662
11,5.1,2-4,0,,,,
12,5.1,2-4,0,,,,
13,5.1,2-4,0,,,,
14,5.1,2-4,0,,,,
16,5.1,2-4,0,,,,
1,5.1,4-6,0,,,,
3,5.1,4-6,0,,,,
4,5.1,4-6,0,,,,
5,5.1,4-6,0,,,,
6,5.1,4-6,0,,,,
7,5.1,4-6,0,,,,
8,5.1,4-6,0,,,,
9,5.1,4-6,0,,,,
10,5.1,4-6,115,197.0,0.583756345177665,243.0,0.8106995884773662
11,5.1,4-6,0,,,,
12,5.1,4-6,0,,,,
13,5.1,4-6,0,,,,
14,5.1,4-6,0,,,,
16,5.1,4-6,0,,,,
1,5.1,>6,0,,,,
3,5.1,>6,0,,,,
4,5.1,>6,0,,,,
5,5.1,>6,0,,,,
6,5.1,>6,0,,,,
7,5.1,>6,0,,,,
8,5.1,>6,0,,,,
9,5.1,>6,0,,,,
10,5.1,>6,34,197.0,0.17258883248730963,243.0,0.8106995884773662
11,5.1,>6,0,,,,
12,5.1,>6,0,,,,
13,5.1,>6,0,,,,
14,5.1,>6,0,,,,
16,5.1,>6,0,,,,
1,6.1,pred_smaller,0,,,,
3,6.1,pred_smaller,0,,,,
4,6.1,pred_smaller,0,,,,
5,6.1,pred_smaller,0,,,,
6,6.1,pred_smaller,0,,,,
7,6.1,pred_smaller,0,,,,
8,6.1,pred_smaller,0,,,,
9,6.1,pred_smaller,0,,,,
10,6.1,pred_smaller,0,,,,
11,6.1,pred_smaller,0,,,,
12,6.1,pred_smaller,0,,,,
13,6.1,pred_smaller,8,199.0,0.04020100502512563,256.0,0.77734375
14,6.1,pred_smaller,0,,,,
16,6.1,pred_smaller,0,,,,
1,6.1,0-2,0,,,,
3,6.1,0-2,0,,,,
4,6.1,0-2,0,,,,
5,6.1,0-2,0,,,,
6,6.1,0-2,0,,,,
7,6.1,0-2,0,,,,
8,6.1,0-2,0,,,,
9,6.1,0-2,0,,,,
10,6.1,0-2,0,,,,
11,6.1,0-2,0,,,,
12,6.1,0-2,0,,,,
13,6.1,0-2,20,199.0,0.10050251256281408,256.0,0.77734375
14,6.1,0-2,0,,,,
16,6.1,0-2,0,,,,
1,6.1,2-4,0,,,,
3,6.1,2-4,0,,,,
4,6.1,2-4,0,,,,
5,6.1,2-4,0,,,,
6,6.1,2-4,0,,,,
7,6.1,2-4,0,,,,
8,6.1,2-4,0,,,,
9,6.1,2-4,0,,,,
10,6.1,2-4,0,,,,
11,6.1,2-4,0,,,,
12,6.1,2-4,0,,,,
13,6.1,2-4,25,199.0,0.12562814070351758,256.0,0.77734375
14,6.1,2-4,0,,,,
16,6.1,2-4,0,,,,
1,6.1,4-6,0,,,,
3,6.1,4-6,0,,,,
4,6.1,4-6,0,,,,
5,6.1,4-6,0,,,,
6,6.1,4-6,0,,,,
7,6.1,4-6,0,,,,
8,6.1,4-6,0,,,,
9,6.1,4-6,0,,,,
10,6.1,4-6,0,,,,
11,6.1,4-6,0,,,,
12,6.1,4-6,0,,,,
13,6.1,4-6,126,199.0,0.6331658291457286,256.0,0.77734375
14,6.1,4-6,0,,,,
16,6.1,4-6,0,,,,
1,6.1,>6,0,,,,
3,6.1,>6,0,,,,
4,6.1,>6,0,,,,
5,6.1,>6,0,,,,
6,6.1,>6,0,,,,
7,6.1,>6,0,,,,
8,6.1,>6,0,,,,
9,6.1,>6,0,,,,
10,6.1,>6,0,,,,
11,6.1,>6,0,,,,
12,6.1,>6,0,,,,
13,6.1,>6,20,199.0,0.10050251256281408,256.0,0.77734375
14,6.1,>6,0,,,,
16,6.1,>6,0,,,,
1,8.2,pred_smaller,0,,,,
3,8.2,pred_smaller,0,,,,
4,8.2,pred_smaller,0,,,,
5,8.2,pred_smaller,0,,,,
6,8.2,pred_smaller,0,,,,
7,8.2,pred_smaller,21,260.0,0.08076923076923077,329.0,0.790273556231003
8,8.2,pred_smaller,0,,,,
9,8.2,pred_smaller,0,,,,
10,8.2,pred_smaller,0,,,,
11,8.2,pred_smaller,0,,,,
12,8.2,pred_smaller,0,,,,
13,8.2,pred_smaller,0,,,,
14,8.2,pred_smaller,0,,,,
16,8.2,pred_smaller,0,,,,
1,8.2,0-2,0,,,,
3,8.2,0-2,0,,,,
4,8.2,0-2,0,,,,
5,8.2,0-2,0,,,,
6,8.2,0-2,0,,,,
7,8.2,0-2,29,260.0,0.11153846153846154,329.0,0.790273556231003
8,8.2,0-2,0,,,,
9,8.2,0-2,0,,,,
10,8.2,0-2,0,,,,
11,8.2,0-2,0,,,,
12,8.2,0-2,0,,,,
13,8.2,0-2,0,,,,
14,8.2,0-2,0,,,,
16,8.2,0-2,0,,,,
1,8.2,2-4,0,,,,
3,8.2,2-4,0,,,,
4,8.2,2-4,0,,,,
5,8.2,2-4,0,,,,
6,8.2,2-4,0,,,,
7,8.2,2-4,16,260.0,0.06153846153846154,329.0,0.790273556231003
8,8.2,2-4,0,,,,
9,8.2,2-4,0,,,,
10,8.2,2-4,0,,,,
11,8.2,2-4,0,,,,
12,8.2,2-4,0,,,,
13,8.2,2-4,0,,,,
14,8.2,2-4,0,,,,
16,8.2,2-4,0,,,,
1,8.2,4-6,0,,,,
3,8.2,4-6,0,,,,
4,8.2,4-6,0,,,,
5,8.2,4-6,0,,,,
6,8.2,4-6,0,,,,
7,8.2,4-6,148,260.0,0.5692307692307692,329.0,0.790273556231003
8,8.2,4-6,0,,,,
9,8.2,4-6,0,,,,
10,8.2,4-6,0,,,,
11,8.2,4-6,0,,,,
12,8.2,4-6,0,,,,
13,8.2,4-6,0,,,,
14,8.2,4-6,0,,,,
16,8.2,4-6,0,,,,
1,8.2,>6,0,,,,
3,8.2,>6,0,,,,
4,8.2,>6,0,,,,
5,8.2,>6,0,,,,
6,8.2,>6,0,,,,
7,8.2,>6,46,260.0,0.17692307692307693,329.0,0.790273556231003
8,8.2,>6,0,,,,
9,8.2,>6,0,,,,
10,8.2,>6,0,,,,
11,8.2,>6,0,,,,
12,8.2,>6,0,,,,
13,8.2,>6,0,,,,
14,8.2,>6,0,,,,
16,8.2,>6,0,,,,
1,9.7,pred_smaller,0,,,,
3,9.7,pred_smaller,0,,,,
4,9.7,pred_smaller,0,,,,
5,9.7,pred_smaller,0,,,,
6,9.7,pred_smaller,0,,,,
7,9.7,pred_smaller,0,,,,
8,9.7,pred_smaller,0,,,,
9,9.7,pred_smaller,0,,,,
10,9.7,pred_smaller,0,,,,
11,9.7,pred_smaller,0,,,,
12,9.7,pred_smaller,0,,,,
13,9.7,pred_smaller,0,,,,
14,9.7,pred_smaller,20,246.0,0.08130081300813008,289.0,0.8512110726643599
16,9.7,pred_smaller,0,,,,
1,9.7,0-2,0,,,,
3,9.7,0-2,0,,,,
4,9.7,0-2,0,,,,
5,9.7,0-2,0,,,,
6,9.7,0-2,0,,,,
7,9.7,0-2,0,,,,
8,9.7,0-2,0,,,,
9,9.7,0-2,0,,,,
