Version,Metric,FoodWebs,Mean,Median,SD,Variance
Directed-negative,F1,290,0.6157,0.6654,0.2115,0.0448
Directed-negative,PR-AUC,290,0.5389,0.5463,0.1626,0.0264
Directed-negative,Precision,290,0.927,0.9578,0.1225,0.015
Directed-negative,ROC-AUC,290,0.8655,0.8993,0.1116,0.0125
Directed-negative,Recall,290,0.5045,0.5438,0.2246,0.0505
Directed-negative,MCC,290,0.5853,0.6076,0.1861,0.0346
Directed-negative,TSS,290,0.4842,0.5075,0.2168,0.047
Original,F1,290,0.7082,0.7185,0.1339,0.0179
Original,PR-AUC,290,0.653,0.6859,0.1492,0.0222
Original,Precision,290,0.7534,0.7522,0.1252,0.0157
Original,ROC-AUC,290,0.8564,0.8699,0.0809,0.0066
Original,Recall,290,0.6887,0.7037,0.1506,0.0227
Original,MCC,290,0.5859,0.583,0.1725,0.0297
Original,TSS,290,0.5692,0.5695,0.1771,0.0314
