Foodweb,EcosystemType,Nodes,Edges,Connectance,negative_sampling_mode,negative_needed,role_constrained_pool,full_valid_nonlink_pool,has_sufficient_role_constrained_pool,requires_random_topup,random_topup_needed_if_full_sample,a,eval_all,role_filter,constrained_neg_first_draw,random_topup_first_draw,k_train_first_draw,k_test_first_draw,constraints_manuscript_role_pairs,constraints_internal_role_pairs
SF1M2_tax_mass,marine,10,16,0.177777778,role,30,61,75,true,false,0,2,0,1,30,0,2,28,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
PP1I3_tax_mass,marine,11,24,0.218181818,role,44,52,88,true,false,0,2,0,1,44,0,4,40,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
SP1_tax_mass,marine,11,24,0.218181818,hybrid,40,28,90,false,true,12,2,0,1,28,12,4,36,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
PC2P5_tax_mass,marine,12,33,0.25,hybrid,52,22,106,false,true,30,2,0,1,22,30,4,48,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
SF1M1_tax_mass,marine,12,28,0.212121212,role,52,79,106,true,false,0,2,0,1,52,0,4,48,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
AP4_tax_mass,marine,12,24,0.181818182,role,42,49,111,true,false,0,2,0,1,42,0,4,38,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
Twin Lake East_tax_mass,lakes,13,17,0.108974359,role,32,99,140,true,false,0,2,0,1,32,0,2,30,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
AP1_tax_mass,marine,13,17,0.108974359,role,30,104,141,true,false,0,2,0,1,30,0,2,28,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
Svalbard_tax_mass,terrestrial aboveground,13,21,0.134615385,role,42,90,135,true,false,0,2,0,1,42,0,4,38,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
PP1I2_tax_mass,marine,14,30,0.164835165,role,54,106,155,true,false,0,2,0,1,54,0,4,50,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
SF2M1_tax_mass,marine,14,32,0.175824176,role,60,121,152,true,false,0,2,0,1,60,0,6,54,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
SF2I4_tax_mass,marine,14,32,0.175824176,role,60,125,152,true,false,0,2,0,1,60,0,6,54,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
Brook trout lake_tax_mass,lakes,15,19,0.09047619,role,38,118,191,true,false,0,2,0,1,38,0,2,36,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
SF1I1_tax_mass,marine,15,30,0.142857143,role,54,130,183,true,false,0,2,0,1,54,0,4,50,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
SF2M2_tax_mass,marine,15,30,0.142857143,role,48,100,186,true,false,0,2,0,1,48,0,4,44,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
SF1M3_tax_mass,marine,15,30,0.142857143,role,56,140,182,true,false,0,2,0,1,56,0,4,52,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
SF1M4_tax_mass,marine,15,31,0.147619048,role,56,133,182,true,false,0,2,0,1,56,0,4,52,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
SF2I3_tax_mass,marine,15,31,0.147619048,role,56,133,182,true,false,0,2,0,1,56,0,4,52,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
Gull lake north_tax_mass,lakes,16,25,0.104166667,role,46,135,217,true,false,0,2,0,1,46,0,4,42,top_consumer->top_consumer;basal->basal;top_consumer->basal;top_consumer->intermediate;intermediate->basal,consumer->consumer;resource->resource;consumer->resource;consumer->consumer-resource;consumer-resource->resource
