Scenario,TrainRatio,Threshold,K,CvK,Metric,MetricLabel,MetricFamily,FoodwebGroups,RetainedFoodwebGroups,TotalRunUnits,ValidRunsBeforeTukey,OutlierRunsExcluded,RetainedRunsAfterTukey
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,10,0.5,10,0,F1Score,F1,predictive,290,290,29000,29000,483,28517
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,10,0.5,10,0,PR_AUC,PR-AUC,predictive,290,290,29000,29000,444,28556
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,10,0.5,10,0,Precision,Precision,predictive,290,290,29000,29000,724,28276
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,10,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,290,290,29000,29000,433,28567
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,10,0.5,10,0,PseudoMeanGenerality,Pseudo mean generality,pseudo_ecological,290,290,29000,29000,1100,27900
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,10,0.5,10,0,PseudoMeanTrophicHeight,Pseudo average trophic height,pseudo_ecological,290,290,29000,25307,2800,22507
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,10,0.5,10,0,PseudoMeanVulnerability,Pseudo mean vulnerability,pseudo_ecological,290,290,29000,29000,1020,27980
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,10,0.5,10,0,ROC_AUC,ROC-AUC,predictive,290,290,29000,29000,469,28531
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,10,0.5,10,0,Recall,Recall,predictive,290,290,29000,29000,415,28585
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,10,0.5,10,0,TestMCC,MCC,predictive,290,290,29000,29000,511,28489
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,10,0.5,10,0,TestTPR,TPR,predictive,290,290,29000,29000,415,28585
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,10,0.5,10,0,TestTSS,TSS,predictive,290,290,29000,29000,522,28478
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,10,0.5,10,0,TrainConnectance,Training-graph connectance,train_ecological,290,290,29000,29000,0,29000
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,10,0.5,10,0,TrainMeanGenerality,Training-graph mean generality,train_ecological,290,290,29000,29000,1062,27938
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,10,0.5,10,0,TrainMeanTrophicHeight,Training-graph average trophic height,train_ecological,290,290,29000,28972,1004,27968
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,10,0.5,10,0,TrainMeanVulnerability,Training-graph mean vulnerability,train_ecological,290,290,29000,29000,1103,27897
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,20,0.5,10,0,F1Score,F1,predictive,290,290,29000,29000,360,28640
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,20,0.5,10,0,PR_AUC,PR-AUC,predictive,290,290,29000,29000,376,28624
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,20,0.5,10,0,Precision,Precision,predictive,290,290,29000,29000,512,28488
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,20,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,290,290,29000,29000,338,28662
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,20,0.5,10,0,PseudoMeanGenerality,Pseudo mean generality,pseudo_ecological,290,290,29000,29000,711,28289
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,20,0.5,10,0,PseudoMeanTrophicHeight,Pseudo average trophic height,pseudo_ecological,290,290,29000,25926,2666,23260
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,20,0.5,10,0,PseudoMeanVulnerability,Pseudo mean vulnerability,pseudo_ecological,290,290,29000,29000,594,28406
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,20,0.5,10,0,ROC_AUC,ROC-AUC,predictive,290,290,29000,29000,502,28498
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,20,0.5,10,0,Recall,Recall,predictive,290,290,29000,29000,310,28690
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,20,0.5,10,0,TestMCC,MCC,predictive,290,290,29000,29000,356,28644
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,20,0.5,10,0,TestTPR,TPR,predictive,290,290,29000,29000,310,28690
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,20,0.5,10,0,TestTSS,TSS,predictive,290,290,29000,29000,355,28645
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,20,0.5,10,0,TrainConnectance,Training-graph connectance,train_ecological,290,290,29000,29000,0,29000
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,20,0.5,10,0,TrainMeanGenerality,Training-graph mean generality,train_ecological,290,290,29000,29000,920,28080
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,20,0.5,10,0,TrainMeanTrophicHeight,Training-graph average trophic height,train_ecological,290,290,29000,28979,675,28304
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,20,0.5,10,0,TrainMeanVulnerability,Training-graph mean vulnerability,train_ecological,290,290,29000,29000,848,28152
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,30,0.5,10,0,F1Score,F1,predictive,290,290,29000,29000,424,28576
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,30,0.5,10,0,PR_AUC,PR-AUC,predictive,290,290,29000,29000,436,28564
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,30,0.5,10,0,Precision,Precision,predictive,290,290,29000,29000,503,28497
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,30,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,290,290,29000,29000,391,28609
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,30,0.5,10,0,PseudoMeanGenerality,Pseudo mean generality,pseudo_ecological,290,290,29000,29000,550,28450
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,30,0.5,10,0,PseudoMeanTrophicHeight,Pseudo average trophic height,pseudo_ecological,290,290,29000,26548,2422,24126
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,30,0.5,10,0,PseudoMeanVulnerability,Pseudo mean vulnerability,pseudo_ecological,290,290,29000,29000,476,28524
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,30,0.5,10,0,ROC_AUC,ROC-AUC,predictive,290,290,29000,29000,664,28336
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,30,0.5,10,0,Recall,Recall,predictive,290,290,29000,29000,388,28612
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,30,0.5,10,0,TestMCC,MCC,predictive,290,290,29000,29000,413,28587
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,30,0.5,10,0,TestTPR,TPR,predictive,290,290,29000,29000,388,28612
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,30,0.5,10,0,TestTSS,TSS,predictive,290,290,29000,29000,381,28619
