Scenario,TrainRatio,Threshold,K,CvK,Metric,MetricLabel,MetricFamily,FoodwebGroups,RetainedFoodwebGroups,TotalRunUnits,ValidRunsBeforeTukey,OutlierRunsExcluded,RetainedRunsAfterTukey
result_wlnm_dir_neg_roleormass_trophicv2_100x290_train10-90_tau1p00_Apocrita_20260918_010757,10,0.5,10,0,F1Score,F1,predictive,290,290,29000,29000,445,28555
result_wlnm_dir_neg_roleormass_trophicv2_100x290_train10-90_tau1p00_Apocrita_20260918_010757,10,0.5,10,0,PR_AUC,PR-AUC,predictive,290,290,29000,29000,390,28610
result_wlnm_dir_neg_roleormass_trophicv2_100x290_train10-90_tau1p00_Apocrita_20260918_010757,10,0.5,10,0,Precision,Precision,predictive,290,290,29000,29000,657,28343
result_wlnm_dir_neg_roleormass_trophicv2_100x290_train10-90_tau1p00_Apocrita_20260918_010757,10,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,290,290,29000,29000,459,28541
result_wlnm_dir_neg_roleormass_trophicv2_100x290_train10-90_tau1p00_Apocrita_20260918_010757,10,0.5,10,0,PseudoMeanGenerality,Pseudo mean generality,pseudo_ecological,290,290,29000,29000,1163,27837
result_wlnm_dir_neg_roleormass_trophicv2_100x290_train10-90_tau1p00_Apocrita_20260918_010757,10,0.5,10,0,PseudoMeanTrophicHeight,Pseudo average trophic height,pseudo_ecological,290,290,29000,25789,2870,22919
result_wlnm_dir_neg_roleormass_trophicv2_100x290_train10-90_tau1p00_Apocrita_20260918_010757,10,0.5,10,0,PseudoMeanVulnerability,Pseudo mean vulnerability,pseudo_ecological,290,290,29000,29000,1103,27897
result_wlnm_dir_neg_roleormass_trophicv2_100x290_train10-90_tau1p00_Apocrita_20260918_010757,10,0.5,10,0,ROC_AUC,ROC-AUC,predictive,290,290,29000,29000,421,28579
result_wlnm_dir_neg_roleormass_trophicv2_100x290_train10-90_tau1p00_Apocrita_20260918_010757,10,0.5,10,0,Recall,Recall,predictive,290,290,29000,29000,434,28566
result_wlnm_dir_neg_roleormass_trophicv2_100x290_train10-90_tau1p00_Apocrita_20260918_010757,10,0.5,10,0,TestMCC,MCC,predictive,290,290,29000,29000,513,28487
result_wlnm_dir_neg_roleormass_trophicv2_100x290_train10-90_tau1p00_Apocrita_20260918_010757,10,0.5,10,0,TestTPR,TPR,predictive,290,290,29000,29000,434,28566
result_wlnm_dir_neg_roleormass_trophicv2_100x290_train10-90_tau1p00_Apocrita_20260918_010757,10,0.5,10,0,TestTSS,TSS,predictive,290,290,29000,29000,491,28509
result_wlnm_dir_neg_roleormass_trophicv2_100x290_train10-90_tau1p00_Apocrita_20260918_010757,10,0.5,10,0,TrainConnectance,Training-graph connectance,train_ecological,290,290,29000,29000,0,29000
result_wlnm_dir_neg_roleormass_trophicv2_100x290_train10-90_tau1p00_Apocrita_20260918_010757,10,0.5,10,0,TrainMeanGenerality,Training-graph mean generality,train_ecological,290,290,29000,29000,1062,27938
result_wlnm_dir_neg_roleormass_trophicv2_100x290_train10-90_tau1p00_Apocrita_20260918_010757,10,0.5,10,0,TrainMeanTrophicHeight,Training-graph average trophic height,train_ecological,290,290,29000,28972,1004,27968
