"consumer","resource","res_group","flux.mte","flux.mte.2","flux.new","flux.new.2"
"Capnia vidua","Achnanthes","plant",7.26265990221872e-07,8.93570390097461e-07,6.57482726068641e-07,8.90347165966326e-07
"Capnia vidua","Cocconeis","plant",1.04198064742685e-08,1.282013843593e-08,9.43296651371056e-09,1.27738945361443e-08
"Capnia vidua","CPOM","detritus",2.08854055339959e-08,2.56966183486783e-08,1.89073886846136e-08,2.56039273181027e-08
"Capnia vidua","Diatoma","plant",3.7328775630579e-06,4.59279231730058e-06,3.3793438620057e-06,4.5762255205597e-06
"Capnia vidua","FPOM","detritus",2.08854055339959e-08,2.56966183486783e-08,1.89073886846136e-08,2.56039273181027e-08
"Capnia vidua","Fragilaria","plant",1.98451641874812e-07,2.44167444755858e-07,1.79656666082889e-07,2.4328670115838e-07
"Capnia vidua","Meridion","plant",1.2310138841616e-06,1.51459323649401e-06,1.11442691146759e-06,1.50912990252186e-06
"Capnia vidua","Synedra","plant",6.00926584832843e-08,7.39357494442189e-08,5.44013976260013e-08,7.36690536199133e-08
"Cricotopus sp. A","Achnanthes","plant",1.85071955579897e-06,2.27705581385007e-06,1.8642544469549e-06,2.31308645412791e-06
"Cricotopus sp. A","Cocconeis","plant",2.65524475456688e-08,3.26691339411025e-08,2.67466339021744e-08,3.31860689262096e-08
"Cricotopus sp. A","CPOM","detritus",5.32215868193825e-08,6.54818410005309e-08,5.36108129355109e-08,6.65179827777639e-08
"Cricotopus sp. A","Diatoma","plant",9.51236819342721e-06,1.17036604657128e-05,9.5819351182105e-06,1.18888515258569e-05
"Cricotopus sp. A","FPOM","detritus",5.32215868193825e-08,6.54818410005309e-08,5.36108129355109e-08,6.65179827777639e-08
"Cricotopus sp. A","Fragilaria","plant",5.0570774267693e-07,6.22203808223325e-07,5.09406141622572e-07,6.32049153891729e-07
"Cricotopus sp. A","Meridion","plant",3.13695188753354e-06,3.85958775379801e-06,3.15989339816173e-06,3.92065934331814e-06
"Cricotopus sp. A","Synedra","plant",1.53132130255731e-07,1.88408020217588e-07,1.54252033435547e-07,1.91389265367852e-07
"Diamesa bertrami","Achnanthes","plant",0.000194356664957131,0.000239129138995933,0.000198361878344616,0.000243491109628234
"Diamesa bertrami","Cocconeis","plant",2.78845335332152e-06,3.43080824965367e-06,2.84591652652202e-06,3.4933898526021e-06
"Diamesa bertrami","CPOM","detritus",5.58916129973891e-06,6.87669409027346e-06,5.70434018319768e-06,7.00213232751646e-06
"Diamesa bertrami","Diatoma","plant",0.000998958568371892,0.00122908109377196,0.00101954465031804,0.00125150084428108
"Diamesa bertrami","FPOM","detritus",5.58916129973891e-06,6.87669409027346e-06,5.70434018319768e-06,7.00213232751646e-06
"Diamesa bertrami","Fragilaria","plant",5.31078142021662e-05,6.53418594465035e-05,5.42022357825609e-05,6.65337646788073e-05
"Diamesa bertrami","Meridion","plant",0.000329432682051489,0.000405321595909611,0.000336221480309162,0.000412715094273794
"Diamesa bertrami","Synedra","plant",1.60814479109106e-05,1.97860093637243e-05,1.6412847044957e-05,2.01469272850507e-05
"Diamesa zernyi","Achnanthes","plant",2.80949408025771e-05,3.45669596962052e-05,2.8971149881379e-05,3.5263386714667e-05
"Diamesa zernyi","Cocconeis","plant",4.03080758303789e-07,4.95935422128557e-07,4.15651812373558e-07,5.05927126068331e-07
"Diamesa zernyi","CPOM","detritus",8.0793296122289e-07,9.9405036316238e-07,8.33130316172357e-07,1.01407768221798e-06
"Diamesa zernyi","Diatoma","plant",0.000144402981234659,0.00017766800319766,0.000148906539510613,0.000181247513771643
"Diamesa zernyi","FPOM","detritus",8.0793296122289e-07,9.9405036316238e-07,8.33130316172357e-07,1.01407768221798e-06
"Diamesa zernyi","Fragilaria","plant",7.67692168670021e-06,9.44539603766482e-06,7.91634516605208e-06,9.63569420269043e-06
"Diamesa zernyi","Meridion","plant",4.76206550606961e-05,5.85906649797595e-05,4.91058210411437e-05,5.97711020931232e-05
"Diamesa zernyi","Synedra","plant",2.32462996407361e-06,2.86013737638317e-06,2.39712920490453e-06,2.91776110039395e-06
"Dicranota exclusa","Achnanthes","plant",5.14975406568917e-05,6.33606393709566e-05,5.71238278647442e-05,6.54982453846854e-05
"Dicranota exclusa","Cocconeis","plant",7.38840059661419e-07,9.09041052754786e-07,8.1956093144087e-07,9.39709487296906e-07
"Dicranota exclusa","CPOM","detritus",1.48092714666984e-06,1.8220771259734e-06,1.64272363937196e-06,1.88354877557522e-06
