Score,Label
0.2449697,1
0.2449697,1
0.3086443,1
2.637015e-06,1
0.7668791,1
6.4309e-05,1
0.5936906,1
0.5936906,1
0.8094123,1
0.0003653318,1
0.9398243,1
0.000113763,1
0.6185739,1
0.3688137,1
0.9789064,1
0.5409659,1
0.2567829,1
0.192877,1
0.1646178,1
0.9998631,1
0.524728,1
0.376911,1
0.9999741,1
0.4870567,1
0.2726903,1
0.9746864,1
0.7433667,1
0.7546012,1
0.9793256,1
0.7470993,1
0.7470993,1
0.3269948,1
0.7683997,1
0.5778344,1
0.06058728,1
4.792746e-09,1
0.9930903,1
0.9447845,1
0.02907337,1
0.1713884,1
0.6290279,1
0.573132,1
0.2449697,1
0.3290813,1
0.999983,1
1.142788e-06,1
0.09350534,1
0.9998701,1
0.9995065,1
0.2449697,1
0.001328985,1
0.9959364,1
0.9995552,1
0.9999746,1
0.1792353,1
0.9930845,1
0.9874994,1
0.9997728,1
0.1831272,1
0.573132,1
0.2449697,1
0.1706093,1
0.4403101,1
0.479798,1
0.4870567,1
0.5153369,1
0.5471159,1
0.1775889,1
0.06276873,1
0.9574025,1
0.7826033,1
0.6145858,1
0.9820842,1
0.4870567,1
0.4870567,1
0.4870567,1
0.9794132,1
0.9187247,1
0.192877,1
0.8894984,1
0.5662181,1
0.9985184,1
0.525108,1
0.07559428,1
0.9946123,1
0.4367812,1
0.9753062,1
0.2523019,1
0.9395763,1
0.255782,1
0.03436315,1
0.06372518,1
0.3905228,1
1.490765e-12,1
3.689479e-05,1
0.3235731,1
1.642082e-13,1
0.722997,1
0.9930628,1
0.920804,1
0.1713884,1
0.9171439,1
0.3986277,1
0.00719454,1
0.3398578,1
0.2726903,1
0.9398243,1
0.9741077,1
0.01733663,1
0.1118842,1
0.3728042,1
0.1699541,1
0.9999998,1
0.8233564,1
0.9999412,1
0.9999999,1
0.9999992,1
0.9997116,1
0.6807874,1
1,1
0.9998966,1
0.2800341,1
0.1985168,1
0.3086443,1
0.9482898,1
0.2012339,1
0.9130079,1
0.1036851,1
0.189638,1
0.3279552,1
0.9287438,1
0.7947283,1
0.4199226,1
0.999951,1
0.2053614,1
0.959524,1
0.1699541,1
0.3086443,1
0.855168,1
0.6329979,1
0.1336766,1
0.6459334,1
0.376911,1
1,1
0.9999998,1
0.9999313,1
2.454454e-06,1
0.5112425,1
0.1681863,1
0.9414367,1
0.4725543,1
0.5611436,1
0.08484016,1
0.8054045,1
0.3372041,1
0.999083,1
0.7668791,1
0.1336766,1
0.3740199,1
0.5156636,1
0.4587021,1
0.1988514,1
0.005269086,1
1.003931e-12,1
0.01326437,1
1.003931e-12,1
0.2563325,1
0.7216926,1
0.7952914,1
0.2449697,1
0.500013,1
0.7697297,1
0.8883973,1
0.2449697,1
0.9538745,1
0.2449697,1
5.459365e-05,1
0.907736,1
0.4199226,1
0.1185742,1
0.2449697,1
0.500013,1
0.4233782,1
0.3028432,1
0.3996165,1
0.06425516,1
0.6544943,1
0.0508471,1
0.8230665,1
0.01026535,1
2.325999e-09,1
2.39792e-05,1
0.8165004,1
0.9896147,1
1.208901e-05,1
0.311114,1
1.473401e-11,1
0.9999999,1
0.5156636,1
0.7947283,1
0.9799619,1
0.9999729,1
0.9735969,1
1,1
0.1087358,1
0.9562096,1
0.2449697,1
0.7947283,1
0.4933363,1
0.9793256,1
0.0712603,1
0.3711872,1
0.376911,1
0.2449697,1
0.1713884,1
0.2449697,1
0.9999839,1
0.716127,1
0.1077273,1
0.3629386,1
0.4870567,1
0.9093879,1
0.4303859,1
1,1
0.7543561,1
0.0803569,1
0.7812032,1
0.5156636,1
0.7639065,1
0.7591991,1
0.629999,1
0.3840048,1
0.960214,1
0.6300461,1
0.9840713,1
0.4461897,1
0.3327472,1
0.01523615,1
0.3996939,1
0.9765539,1
0.629999,1
0.5026297,1
0.1780267,1
0.4371715,1
0.922989,1
0.2449697,1
0.9695292,1
1,1
0.56778,1
0.5856442,1
0.998765,1
0.7237068,1
0.990071,1
0.4870567,1
0.9974112,1
0.4870567,1
0.4870567,1
0.5383122,1
0.1328906,1
0.9986057,1
0.8585611,1
0.9937935,1
0.376911,1
0.8015274,1
0.8027433,1
0.2257707,1
0.9999987,1
0.9648885,1
0.3233389,1
0.5156636,1
0.4870567,1
0.5156636,1
0.1956616,1
0.4870567,1
2.605385e-05,1
0.7668791,1
0.9999373,1
0.1656822,1
2.401117e-05,1
0.5748101,1
0.003959613,1
0.5164874,1
7.732021e-11,1
0.1656822,1
0.04646782,1
1.845931e-05,1
0.3421471,1
0.6668969,1
0.4870567,1
0.9996822,1
0.9089686,1
0.5156636,1
0.005161271,1
0.6044486,1
0.9652065,1
0.9998858,1
0.8451279,1
0.6145858,1
0.6427946,1
1,1
0.4174835,1
0.2643163,1
0.5156636,1
0.9794132,1
0.9893308,1
0.9847865,1
1,1
0.9986125,1
1,1
0.4870567,1
0.9999104,1
0.9554968,1
0.9999542,1
0.0001131578,1
0.7668791,1
0.1708977,1
0.5156636,1
0.9398243,1
0.9966063,1
0.4492371,1
0.4725543,1
0.5941949,1
0.3239749,1
0.5156636,1
0.2449697,1
0.4204744,1
0.4174835,1
0.8320766,1
0.4725543,1
0.6985744,1
0.9032386,1
0.1574015,1
0.7010672,1
0.5150501,1
0.9996521,1
0.67854,1
0.2449697,1
0.9961714,1
0.7051287,1
0.2449697,1
0.004313652,1
0.5683594,1
0.9999931,1
0.8585611,1
0.6329979,1
0.2449697,1
0.67078,1
0.2449697,1
0.8221526,1
0.5072423,1
0.9956292,1
0.8468832,1
0.01065403,1
0.3943499,1
0.3467425,1
0.9999207,1
0.7810097,1
0.9992724,1
0.4174835,1
0.000896583,1
0.3878091,1
0.00855078,1
0.5072423,1
0.3996165,1
0.1504274,1
0.5668646,1
0.5383122,1
0.128949,1
0.02907337,1
0.189638,1
0.2273001,1
0.1713884,1
0.003329636,1
0.1612964,1
0.2033352,1
0.2033352,1
0.5485249,1
0.1574015,1
0.4194471,1
0.06886134,1
0.3335222,1
0.4199226,1
0.7668791,1
0.9996142,1
0.189638,1
0.4350941,1
0.6329979,1
0.0002746345,1
0.4406854,0
3.773269e-05,0
5.714521e-32,0
