Scenario,Version,FoodWeb,FW_KEY,Ecosystem,Metric,EmpiricalValue,MeanPseudoAfterFiltering,ValidRunsAfterFiltering,OutlierRunsRemoved,Difference,DifferenceDirection
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,WLNM_dir_neg,FXAP3,fxap3,marine,Connectance,0.198412698413,0.163944444445,100,0,-0.034468253968,Pseudo < empirical
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,WLNM_dir_neg,FXAP4,fxap4,marine,Connectance,0.188034188034,0.174065352637,98,2,-0.013968835397,Pseudo < empirical
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,WLNM_dir_neg,FXBP1,fxbp1,marine,Connectance,0.19247311828,0.153333333333,100,0,-0.039139784947,Pseudo < empirical
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,WLNM_dir_neg,FXBP2,fxbp2,marine,Connectance,0.160101010101,0.129135440426,93,7,-0.030965569675,Pseudo < empirical
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,WLNM_dir_neg,FXBP3,fxbp3,marine,Connectance,0.162677304965,0.118603675742,93,7,-0.044073629223,Pseudo < empirical
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,WLNM_dir_neg,FXBP4,fxbp4,marine,Connectance,0.176020408163,0.128847789116,100,0,-0.047172619047,Pseudo < empirical
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,WLNM_dir_neg,GJAP1,gjap1,marine,Connectance,0.225806451613,0.178757954795,98,2,-0.047048496818,Pseudo < empirical
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,WLNM_dir_neg,GJAP2,gjap2,marine,Connectance,0.159770114943,0.147885057471,100,0,-0.011885057472,Pseudo < empirical
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,WLNM_dir_neg,GJAP3,gjap3,marine,Connectance,0.166007905138,0.155256916996,100,0,-0.010750988142,Pseudo < empirical
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,WLNM_dir_neg,GJAP4,gjap4,marine,Connectance,0.133333333333,0.11935,100,0,-0.013983333333,Pseudo < empirical
