Foodweb,ExperimentID,ResourceCount,RemovedPredictedLinks,RemovedTrueLinks,StrictMeanAfterResourceConstraint
Ythan Estuary_tax_mass,47,4,4,0,2.6502679806886023
Ythan Estuary_tax_mass,30,4,8,0,2.6143694151755064
Dutch Microfauna food web PlotB_tax_mass,31,26,9,0,1.8290950698486417
Dutch Microfauna food web PlotB_tax_mass,49,26,6,0,1.836681328722243
Ythan Estuary_tax_mass,49,4,7,0,2.681433308459368
Ythan Estuary_tax_mass,37,4,7,0,2.5808782691577075
Dutch Microfauna food web PlotB_tax_mass,45,26,4,0,1.8468172795535456
Dutch Microfauna food web PlotB_tax_mass,41,26,4,0,1.8371372330121671
Ythan Estuary_tax_mass,16,4,2,0,2.71065487014915
Ythan Estuary_tax_mass,20,4,8,0,2.6645854199268357
Ythan Estuary_tax_mass,9,4,5,0,2.690534547547289
Ythan Estuary_tax_mass,25,4,4,0,2.7038115050962457
Ythan Estuary_tax_mass,1,4,4,0,2.661044661665361
Dutch Microfauna food web PlotB_tax_mass,19,26,4,0,1.8171449311029648
Dutch Microfauna food web PlotB_tax_mass,4,26,9,0,1.8337967392825605
Dutch Microfauna food web PlotB_tax_mass,15,26,4,0,1.8120995892076202
Dutch Microfauna food web PlotB_tax_mass,3,26,2,0,1.7912793508050893
Ythan Estuary_tax_mass,12,4,8,0,2.5978641712577617
Ythan Estuary_tax_mass,4,4,7,0,2.6161956748795427
Ythan Estuary_tax_mass,28,4,13,0,2.6826354564849795
Dutch Microfauna food web PlotB_tax_mass,6,26,0,0,1.842741453750292
Dutch Microfauna food web PlotB_tax_mass,7,26,8,0,1.8024234071569056
Ythan Estuary_tax_mass,44,4,6,0,2.6508320841298327
Dutch Microfauna food web PlotB_tax_mass,2,26,3,0,1.754745069074056
Dutch Microfauna food web PlotB_tax_mass,11,26,8,0,1.8116067832268883
Ythan Estuary_tax_mass,33,4,8,0,2.570396083876234
Dutch Microfauna food web PlotB_tax_mass,40,26,4,0,1.8246044546424682
Dutch Microfauna food web PlotB_tax_mass,29,26,4,0,1.7886878339706302
Dutch Microfauna food web PlotB_tax_mass,8,26,5,0,1.836274195579733
Dutch Microfauna food web PlotB_tax_mass,21,26,8,0,1.8370462192599275
Ythan Estuary_tax_mass,34,4,7,0,2.6225185450402937
Ythan Estuary_tax_mass,43,4,8,0,2.6101992352691026
Ythan Estuary_tax_mass,3,4,6,0,2.648480731874543
Ythan Estuary_tax_mass,15,4,8,0,2.520815891518332
Ythan Estuary_tax_mass,26,4,5,0,2.5669767242440407
Dutch Microfauna food web PlotB_tax_mass,25,26,10,0,1.8309867100808308
