Prey,Predator,PreyMass,PredatorMass
Eunotia incisa,Diatoma	sp.	1,-999,-999
Diura bicaudata,Chaetopteryx	villosa,0.000370816,0.006197168
Eunotia incisa,Sigara	lateralis,-999,4
