Scenario,Foodweb,Version,TrainRatio,Threshold,K,Metric,MetricLabel,MetricFamily,Formula,ReferenceFormula,TotalRunUnits,ValidRunsBeforeTukey,InvalidRunsBeforeTukey,OutlierRunsExcluded,RetainedRunsAfterTukey,ExpectedRuns,MinimumRetainedRuns,MeetsMinimumRetainedRuns,Q1,Q3,IQR,LowerFence,UpperFence,MeanBeforeTukey,MeanAfterTukey,StdAfterTukey,SEAfterTukey,ReferenceValue,DeltaAfterTukey,RelativeDeltaAfterTukey
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,AEW01,WLNM_dir_neg,10,0.5,10,ConsumerToResourceRatio,Consumer-to-resource ratio,pseudo_ratio,PseudoMeanVulnerability/PseudoMeanGenerality,EmpiricalMeanVulnerability/EmpiricalMeanGenerality,100,100,0,1,99,100,25,1,0.848531777956,1.0532134434,0.20468166544,0.541509279796,1.36023594156,0.954484558095,0.950297052429,0.148525151263,0.0149273393537,0.982905982905,-0.0326089304767,-0.0331760423111
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,AEW02,WLNM_dir_neg,10,0.5,10,ConsumerToResourceRatio,Consumer-to-resource ratio,pseudo_ratio,PseudoMeanVulnerability/PseudoMeanGenerality,EmpiricalMeanVulnerability/EmpiricalMeanGenerality,100,100,0,0,100,100,25,1,0.798339693821,1,0.201660306179,0.495849234553,1.30249045927,0.904416408608,0.904416408608,0.134666240494,0.0134666240494,0.967105263157,-0.062688854549,-0.0648211285133
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,AEW03,WLNM_dir_neg,10,0.5,10,ConsumerToResourceRatio,Consumer-to-resource ratio,pseudo_ratio,PseudoMeanVulnerability/PseudoMeanGenerality,EmpiricalMeanVulnerability/EmpiricalMeanGenerality,100,100,0,6,94,100,25,1,0.817233437204,0.968421052636,0.151187615431,0.590452014057,1.19520247578,0.894482945165,0.885692960149,0.10635748447,0.0109699369181,0.97478991597,-0.0890969558209,-0.0914011874366
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,AEW04,WLNM_dir_neg,10,0.5,10,ConsumerToResourceRatio,Consumer-to-resource ratio,pseudo_ratio,PseudoMeanVulnerability/PseudoMeanGenerality,EmpiricalMeanVulnerability/EmpiricalMeanGenerality,100,100,0,1,99,100,25,1,0.840969269033,1.03057220948,0.18960294045,0.556564858358,1.31497662016,0.934463278903,0.929634625155,0.144305554205,0.0145032538928,1.02608695652,-0.0964523313666,-0.0940001534505
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,AEW05,WLNM_dir_neg,10,0.5,10,ConsumerToResourceRatio,Consumer-to-resource ratio,pseudo_ratio,PseudoMeanVulnerability/PseudoMeanGenerality,EmpiricalMeanVulnerability/EmpiricalMeanGenerality,100,100,0,1,99,100,25,1,0.793733130903,0.977171412141,0.183438281238,0.518575709047,1.252328834,0.890519557633,0.886727255722,0.148107381128,0.0148853518753,0.975409836066,-0.0886825803433,-0.0909182756461
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,AEW06,WLNM_dir_neg,10,0.5,10,ConsumerToResourceRatio,Consumer-to-resource ratio,pseudo_ratio,PseudoMeanVulnerability/PseudoMeanGenerality,EmpiricalMeanVulnerability/EmpiricalMeanGenerality,100,100,0,1,99,100,25,1,0.799561403506,0.981693077568,0.182131674061,0.526363892414,1.25489058866,0.891968411182,0.895670882721,0.125118298438,0.0125748621311,0.96581196581,-0.0701410830887,-0.0726239532867
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,AEW07,WLNM_dir_neg,10,0.5,10,ConsumerToResourceRatio,Consumer-to-resource ratio,pseudo_ratio,PseudoMeanVulnerability/PseudoMeanGenerality,EmpiricalMeanVulnerability/EmpiricalMeanGenerality,100,100,0,0,100,100,25,1,0.816788237979,1.02569628647,0.208908048487,0.503426165249,1.3390583592,0.913503137451,0.913503137451,0.164450277482,0.0164450277482,1.00826446281,-0.0947613253586,-0.0939845931836
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,AEW08,WLNM_dir_neg,10,0.5,10,ConsumerToResourceRatio,Consumer-to-resource ratio,pseudo_ratio,PseudoMeanVulnerability/PseudoMeanGenerality,EmpiricalMeanVulnerability/EmpiricalMeanGenerality,100,100,0,0,100,100,25,1,0.85356290996,1.04264246683,0.189079556866,0.569943574661,1.32626180212,0.956904159576,0.956904159576,0.140082506902,0.0140082506902,0.98484848485,-0.0279443252734,-0.0283742379699
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,AEW09,WLNM_dir_neg,10,0.5,10,ConsumerToResourceRatio,Consumer-to-resource ratio,pseudo_ratio,PseudoMeanVulnerability/PseudoMeanGenerality,EmpiricalMeanVulnerability/EmpiricalMeanGenerality,100,100,0,0,100,100,25,1,0.796068948412,1.03214285714,0.23607390873,0.441958085317,1.38625372024,0.919424479506,0.919424479506,0.142997388997,0.0142997388997,0.969465648855,-0.0500411693496,-0.0516172691717
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,AEW11,WLNM_dir_neg,10,0.5,10,ConsumerToResourceRatio,Consumer-to-resource ratio,pseudo_ratio,PseudoMeanVulnerability/PseudoMeanGenerality,EmpiricalMeanVulnerability/EmpiricalMeanGenerality,100,100,0,4,96,100,25,1,0.852447552448,1.00862264579,0.156175093346,0.618184912428,1.24288528581,0.927218230524,0.919142885694,0.116487254806,0.0118889306588,0.966101694917,-0.0469588092237,-0.0486064867402
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,AEW17,WLNM_dir_neg,10,0.5,10,ConsumerToResourceRatio,Consumer-to-resource ratio,pseudo_ratio,PseudoMeanVulnerability/PseudoMeanGenerality,EmpiricalMeanVulnerability/EmpiricalMeanGenerality,100,100,0,1,99,100,25,1,0.861742424243,1.02442194933,0.162679525089,0.61772313661,1.26844123697,0.942135786388,0.938804533478,0.127700946888,0.0128344280666,1,-0.0611954665224,-0.0611954665224
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,AEW18,WLNM_dir_neg,10,0.5,10,ConsumerToResourceRatio,Consumer-to-resource ratio,pseudo_ratio,PseudoMeanVulnerability/PseudoMeanGenerality,EmpiricalMeanVulnerability/EmpiricalMeanGenerality,100,100,0,1,99,100,25,1,0.837469287466,0.972788697792,0.135319410326,0.634490171977,1.17576781328,0.893042417408,0.895875041699,0.0974108430988,0.00979015809306,0.93693693694,-0.0410618952403,-0.0438256766506
result_wlnm_dir_neg_roleonly_trophicv2_100x290_train10-90_Apocrita_20260910_011848,AEW25,WLNM_dir_neg,10,0.5,10,ConsumerToResourceRatio,Consumer-to-resource ratio,pseudo_ratio,PseudoMeanVulnerability/PseudoMeanGenerality,EmpiricalMeanVulnerability/EmpiricalMeanGenerality,100,100,0,1,99,100,25,1,0.825372578243,1,0.174627421757,0.563431445607,1.26194113264,0.911627684611,0.906646530872,0.117932152788,0.0118526273187,0.966942148759,-0.0602956178869,-0.0623570065327
