Species,FP_as_Predator,FP_as_Prey,FP_total,Mass
Barleeia sp.,1.0,1.0,2.0,0.0017
Codium sp.,0.0,2.0,2.0,0.00022799999999999999
Nematoda,0.0,2.0,2.0,0.01
Ophiuroidea,1.0,0.0,1.0,0.0002
Mytilus galloprovincialis,1.0,0.0,1.0,1.38
Procerodes sp.,0.0,1.0,1.0,0.01
Dictyota dichotoma,0.0,1.0,1.0,0.00022799999999999999
Lithophyllum sp.,0.0,1.0,1.0,0.000228
Lophozozymus incisus,0.0,1.0,1.0,2.05
Zooplankton,0.0,1.0,1.0,0.001
Nucella sp.,1.0,0.0,1.0,0.8800000000000001
Omalogyra atomus,1.0,0.0,1.0,0.0004
Stenothoidae,1.0,0.0,1.0,0.01
Caprella sp.,1.0,0.0,1.0,0.01
Anemonia sulcata,1.0,0.0,1.0,0.01
Oligochaeta,1.0,0.0,1.0,0.01
Idoteidae,1.0,0.0,1.0,0.0077
Rissoidae,1.0,0.0,1.0,0.0019
Copepoda,0.0,1.0,1.0,0.001
