Species,FP_as_Predator,FP_as_Prey,FP_total,Mass
Tabellaria flocculosa,0.0,4.0,4.0,-999.0
Sephanodiscus sp.,0.0,3.0,3.0,-999.0
Gomphoneis herculeana,0.0,3.0,3.0,-999.0
Cymbella sinuata,0.0,3.0,3.0,-999.0
Navicula rhynchocephala,2.0,0.0,2.0,-999.0
Pinnularia (small - mesolepta??),2.0,0.0,2.0,-999.0
Terrestrial invertebrates,2.0,0.0,2.0,-999.0
Nitzschia sp. (large),0.0,2.0,2.0,-999.0
Epithemia zebra,2.0,0.0,2.0,-999.0
Salmo trutta,1.0,0.0,1.0,634.0
Unidentified detritus,0.0,1.0,1.0,-999.0
Synedra ulna,0.0,1.0,1.0,-999.0
Nitzschia sp. (small),0.0,1.0,1.0,-999.0
Gomphonema cf. olivaceum,0.0,1.0,1.0,-999.0
Navicula cf. radiosa,1.0,0.0,1.0,-999.0
Oedogonium,1.0,0.0,1.0,-999.0
Macrophyte,1.0,0.0,1.0,-999.0
Gomphonema truncatum,1.0,0.0,1.0,-999.0
Asterionella sp.,1.0,0.0,1.0,-999.0
Pinnularia sp. (large),1.0,0.0,1.0,-999.0
Cyclotella sp.,1.0,0.0,1.0,-999.0
Rhopalodia novae zelandicae,1.0,0.0,1.0,-999.0
Unknown green algae filaments,1.0,0.0,1.0,-999.0
Surirella (small),1.0,0.0,1.0,-999.0
Meridion circulare,1.0,0.0,1.0,-999.0
Galaxias sp.,0.0,1.0,1.0,20.0
