Species,FP_as_Predator,FP_as_Prey,FP_total,Mass
Solecurtus strigilatus,1.0,2.0,3.0,0.0025
Insecta,2.0,1.0,3.0,0.01
Musculus costulatus,1.0,1.0,2.0,0.01
Sphacelaria cirrosa,0.0,2.0,2.0,0.000228
Omalogyra atomus,2.0,0.0,2.0,0.0059
Ampithoidae,2.0,0.0,2.0,0.0055
Xantho pilipes,2.0,0.0,2.0,0.01
Nematoda,0.0,2.0,2.0,0.01
Pachygrapsus marmoratus,0.0,1.0,1.0,1.35
Epitonium clathrus,0.0,1.0,1.0,0.035
Turbellaria,0.0,1.0,1.0,0.01
Zooplankton,0.0,1.0,1.0,0.001
Nemertea,0.0,1.0,1.0,0.01
Mytilus galloprovincialis,0.0,1.0,1.0,0.6
Actinothoe sphyrodeta,0.0,1.0,1.0,4.21
Aulactinia verrucosa,0.0,1.0,1.0,0.27
Rissoidae,0.0,1.0,1.0,0.0034
Patella ulyssiponensis,1.0,0.0,1.0,1.34
Lipophrys pholis,0.0,1.0,1.0,0.75
Coryphoblennius galerita,1.0,0.0,1.0,0.81
Gibbula umbilicalis,1.0,0.0,1.0,0.32
Gammaridae,1.0,0.0,1.0,0.01
Gobius paganellus,1.0,0.0,1.0,0.01
Copepoda,1.0,0.0,1.0,0.001
Ellisolandia elongata,1.0,0.0,1.0,0.000228
Dictyopteris polypodioides,1.0,0.0,1.0,0.000228
Chondrus crispus,1.0,0.0,1.0,0.000228
Anemonia sulcata,0.0,1.0,1.0,27.5
