Species,FP_as_Predator,FP_as_Prey,FP_total,Mass
Diatomophyceae,0.0,3.0,3.0,0.0002
PhytoP,1.0,0.0,1.0,0.0001
Dictyosiphon foeniculaceus,1.0,0.0,1.0,0.000228
Ulvaria obscura,1.0,0.0,1.0,0.000228
