Species,FP_as_Predator,FP_as_Prey,FP_total,Mass
plankton,2.0,7.0,9.0,1e-05
petroglossum spp.,1.0,1.0,2.0,-999.0
Prionitis decipiens,1.0,0.0,1.0,-999.0
cladophora spp.,1.0,0.0,1.0,-999.0
codium dimorpha,1.0,0.0,1.0,-999.0
petalonia fascia,1.0,0.0,1.0,-999.0
schottera nicaensis,1.0,0.0,1.0,-999.0
ulvella spp.,1.0,0.0,1.0,-999.0
isolauctis spp.,1.0,0.0,1.0,11.0
glossophora kunthii,0.0,1.0,1.0,-999.0
Cinclodes nifrofumanus,0.0,1.0,1.0,280.0
