Species,FP_as_Predator,FP_as_Prey,FP_total,Mass
Morula nodulosa,1.0,0.0,1.0,0.72
Crassostrea virginica,1.0,0.0,1.0,5.83
Lithophyllum,0.0,1.0,1.0,0.000228
Ischnochiton striolatus,0.0,1.0,1.0,0.1
