Species,FP_as_Predator,FP_as_Prey,FP_total,Mass
Zercon cf peltatus,5.0,0.0,5.0,1.34e-05
Veigaia planicola (juv),3.0,1.0,4.0,1.03e-05
Veigaia nemorensis,3.0,0.0,3.0,4.83e-05
Dissorhina ornata,1.0,2.0,3.0,1.17e-05
Geophilomorpha sp.,1.0,1.0,2.0,0.006669259
Euophrys herbigrada,0.0,2.0,2.0,0.004108892
dead organic matter,0.0,2.0,2.0,-999.0
Diplocephalus picinus,0.0,2.0,2.0,0.001612679
Entomobrya quinquelineata,0.0,2.0,2.0,4.750000000000001e-06
Enchytraeidae,0.0,2.0,2.0,-999.0
Pterostichinae sp.,1.0,1.0,2.0,0.088703415
Friesea mirabilis,1.0,1.0,2.0,6.36e-06
Pergamasinae (juv) {s},1.0,1.0,2.0,1.87e-05
Linyphiidae cf Erigoniinae (juv) {m},1.0,1.0,2.0,0.000220271
Phthiracarus longulus,1.0,1.0,2.0,6.8e-05
Zercon cf gurensis,2.0,0.0,2.0,1.22e-05
Veigaia cerva (juv),2.0,0.0,2.0,3.3e-05
Uropoda minima (juv),2.0,0.0,2.0,7.91e-06
Microneta viaria,2.0,0.0,2.0,0.0018632269999999999
Lithobius sp.,1.0,1.0,2.0,0.00359344
Mesaphorura sp.,0.0,1.0,1.0,1.46e-05
Suctobelbella sp.,0.0,1.0,1.0,6.17e-06
Mesaphorura macrochaeta,0.0,1.0,1.0,1.46e-05
bacterivorous nematodes,0.0,1.0,1.0,8.52e-07
Parisotoma notabilis,0.0,1.0,1.0,2.41e-06
mykorrhiza,0.0,1.0,1.0,-999.0
Trachytes aegrota,0.0,1.0,1.0,3.7e-05
Scolopendrella cf. subnuda {s},0.0,1.0,1.0,2.33e-05
Micraphorura absoloni,0.0,1.0,1.0,3.88e-06
Rhysotritia duplicata,0.0,1.0,1.0,0.000173747
Tapinocyba insecta,0.0,1.0,1.0,0.001163738
amoebae,0.0,1.0,1.0,2.8e-08
bacteria,0.0,1.0,1.0,9.500000000000003e-16
Carabodes ornatus,0.0,1.0,1.0,7.15e-05
leaf litter,0.0,1.0,1.0,-999.0
Isotomiella minor,0.0,1.0,1.0,3.27e-06
root exudates,0.0,1.0,1.0,-999.0
Stenus sp.,0.0,1.0,1.0,0.001769014
plants,0.0,1.0,1.0,-999.0
Agriotes sp. (juv),0.0,1.0,1.0,0.001333964
predacious nematodes,1.0,0.0,1.0,3.56e-06
Oppiella nova,0.0,1.0,1.0,8.99e-06
Uropoda minima,0.0,1.0,1.0,1.34e-05
Leptacinus sp. (juv),1.0,0.0,1.0,0.00045783
Athous sp. (juv),1.0,0.0,1.0,0.000875669
Salticidae sp. (juv),1.0,0.0,1.0,0.0018207369999999998
Neon reticulatus,1.0,0.0,1.0,0.0018806800000000002
Tachyusa sp. (juv),1.0,0.0,1.0,0.000198338
Micrargus herbigradus,1.0,0.0,1.0,0.001961535
Othius sp. (juv) {m},1.0,0.0,1.0,0.002792224
Staphylinidae spec,1.0,0.0,1.0,0.004003596
Oribatida sp. (juv),1.0,0.0,1.0,7.36e-07
Geholaspis longispinosus,1.0,0.0,1.0,0.000112778
Mesaphorura yosii,1.0,0.0,1.0,1.43e-06
Scheloribates initialis,1.0,0.0,1.0,4.24e-05
Microtritia minima,1.0,0.0,1.0,2.74e-05
Chamobates voigtsi,1.0,0.0,1.0,1.17e-05
Protaphorura armata,1.0,0.0,1.0,8.73e-06
Micranurida pygmaea,1.0,0.0,1.0,5.04e-06
roots,0.0,1.0,1.0,-999.0
fungivorous nematodes,0.0,1.0,1.0,5.35e-07
