Species,FP_as_Predator,FP_as_Prey,FP_total,Mass
Insecta,2.0,0.0,2.0,0.0002
Stenothoidae,2.0,0.0,2.0,0.0034
Ulva lactuca,1.0,0.0,1.0,0.000228
Harparticoida,0.0,1.0,1.0,0.001
Spirorbis spirorbis,0.0,1.0,1.0,0.0002
Furcellaria lumbricalis,0.0,1.0,1.0,0.000228
Ostracoda,0.0,1.0,1.0,0.001
PhytoP,0.0,1.0,1.0,0.0001
