Species,FP_as_Predator,FP_as_Prey,FP_total,Mass
Mytilus sp.,2.0,0.0,2.0,2.652
Eteone longa,1.0,0.0,1.0,0.147
Nematoda,0.0,1.0,1.0,0.01
Dictyosiphon foeniculaceus,0.0,1.0,1.0,0.000228
Hediste diversicolor,0.0,1.0,1.0,0.0362
