Species,FP_as_Predator,FP_as_Prey,FP_total,Mass
Veigaia nemorensis,6.0,1.0,7.0,4.83e-05
Gyrohypnus sp. (juv),4.0,1.0,5.0,0.001929925
Anthicus flavipes,4.0,1.0,5.0,0.000122167
Zora spinimana (juv),4.0,1.0,5.0,0.00256692
Veigaia nemorensis (juv),4.0,1.0,5.0,1.79e-05
Xysticus cristatus,3.0,1.0,4.0,0.132734205
Stilicus rufipes,1.0,3.0,4.0,0.003846051
Pergamasinae (juv) {s},4.0,0.0,4.0,1.87e-05
Veigaia cerva (juv),3.0,0.0,3.0,3.3e-05
plants,0.0,3.0,3.0,-999.0
Pterostichus sp.,1.0,2.0,3.0,0.14115915
Euryopis flavomaculata,0.0,3.0,3.0,0.006459925
amoebae,0.0,3.0,3.0,2.8e-08
Lithobius sp.,1.0,2.0,3.0,0.00359344
Lysigamasus vagabundus,1.0,2.0,3.0,5.29e-05
Euophrys frontalis,0.0,2.0,2.0,0.00313298
Carabodes ornatus,1.0,1.0,2.0,7.15e-05
Lycosidae sp. (juv),0.0,2.0,2.0,0.015682465
Enchytraeidae,0.0,2.0,2.0,-999.0
bacterivorous nematodes,1.0,1.0,2.0,8.520000000000001e-07
Suctobelbella sp.,0.0,2.0,2.0,6.17e-06
roots,0.0,2.0,2.0,-999.0
Micraphorura absoloni,1.0,1.0,2.0,3.88e-06
Oppiella subpectinata,1.0,1.0,2.0,1.5199999999999998e-05
Megalothorax minimus,1.0,1.0,2.0,1.52e-05
Atheta sp. (juv),1.0,1.0,2.0,0.000175231
Tapinocyba insecta,2.0,0.0,2.0,0.001163738
algae,2.0,0.0,2.0,-999.0
Theridiidae sp. (juv),2.0,0.0,2.0,0.003831577
Xantholinus sp. (juv) {m},2.0,0.0,2.0,0.001552369
Othius subuliformis,1.0,1.0,2.0,0.003693547
Schendyla nemorensis,1.0,1.0,2.0,0.005111424
Scheloribates laevigatus,0.0,1.0,1.0,6.58e-05
Robertus lividus,0.0,1.0,1.0,0.008396656
Tectocepheus velatus alatus,0.0,1.0,1.0,1.35e-05
bacteria,0.0,1.0,1.0,9.5e-16
Lepidocyrtus lanuginosus,0.0,1.0,1.0,8.99e-06
Stenus mendicus,0.0,1.0,1.0,0.001056938
Nesovitrea hammonis (juv),0.0,1.0,1.0,0.001439063
Isotomiella minor,0.0,1.0,1.0,3.2700000000000005e-06
Linyphiidae (juv),0.0,1.0,1.0,0.000519895
Carabodes labyrinthicus,0.0,1.0,1.0,4.35e-05
Trochosa sp. (juv),0.0,1.0,1.0,0.023372445
Veigaia cerva,0.0,1.0,1.0,8.03e-05
ciliates,0.0,1.0,1.0,2.63e-09
root exudates,0.0,1.0,1.0,-999.0
root feeding nematodes,0.0,1.0,1.0,2.3500000000000003e-07
Oppiella nova,0.0,1.0,1.0,8.99e-06
Oribatida sp. (juv),0.0,1.0,1.0,7.36e-07
Thomisidae sp. (juv),0.0,1.0,1.0,0.010942955
Trachytes aegrota (juv) {xs},1.0,0.0,1.0,3.57e-06
Zercon cf gurensis,0.0,1.0,1.0,1.2199999999999998e-05
leaf litter,1.0,0.0,1.0,-999.0
Pachygnatha degeeri,1.0,0.0,1.0,0.004607536
Geophilomorpha sp.,1.0,0.0,1.0,0.006669259
Xysticus erraticus,1.0,0.0,1.0,0.041920982
Microlestes minutulus,1.0,0.0,1.0,0.001762372
Agriotinae sp1 (juv),1.0,0.0,1.0,0.00030966
Pelecopsis radicicola,1.0,0.0,1.0,0.000905469
Leptacinus sp. (juv),1.0,0.0,1.0,0.00045783000000000005
Pseudoparasitus placentulus (juv),1.0,0.0,1.0,2.22e-05
Mesaphorura sylvatica,0.0,1.0,1.0,1.46e-05
Mesaphorura macrochaeta,1.0,0.0,1.0,1.46e-05
Rhodacarellus cf kreuzi (juv),1.0,0.0,1.0,1.2500000000000002e-05
Prozercon kochi,1.0,0.0,1.0,7.03e-06
Carabidae sp. (juv),1.0,0.0,1.0,0.623319917
Oppiella fallax,0.0,1.0,1.0,1.22e-05
Chamobates borealis,0.0,1.0,1.0,1.99e-05
dead organic matter,0.0,1.0,1.0,-999.0
Linyphiidae cf Erigoniinae (juv) {m},0.0,1.0,1.0,0.000220271
