Species,FP_as_Predator,FP_as_Prey,FP_total,Mass
Omalogyra atomus,2.0,0.0,2.0,0.0003
Zooplankton,1.0,1.0,2.0,0.001
Mysida,1.0,0.0,1.0,0.0002
Tanaidacea,1.0,0.0,1.0,0.0021
Palaemon elegans,1.0,0.0,1.0,0.009999999999999998
Oligochaeta,0.0,1.0,1.0,0.0002
Bivalvia,0.0,1.0,1.0,0.01
Insecta,0.0,1.0,1.0,0.0002
PhytoP,0.0,1.0,1.0,0.0001
Gibbula umbilicalis,0.0,1.0,1.0,0.01
