Species,FP_as_Predator,FP_as_Prey,FP_total,Mass
Ampithoidae,4.0,0.0,4.0,0.01
Eriphia verrucosa,1.0,1.0,2.0,0.01
Cumacea,1.0,1.0,2.0,0.01
Xantho pilipes,0.0,2.0,2.0,0.01
Venerupis sp.,1.0,0.0,1.0,0.006
Insecta,1.0,0.0,1.0,0.01
Ophiuroidea,1.0,0.0,1.0,0.005
Palaemon longirostris,1.0,0.0,1.0,0.09
Gobius paganellus,1.0,0.0,1.0,0.17
Paracentrotus lividus,1.0,0.0,1.0,4.85
Codium sp.,1.0,0.0,1.0,0.000228
Omalogyra atomus,0.0,1.0,1.0,0.0007
Bifurcaria bifurcata,0.0,1.0,1.0,0.000228
Gammaridae,0.0,1.0,1.0,0.01
Nucella sp.,0.0,1.0,1.0,0.0021
Oligochaeta,0.0,1.0,1.0,0.01
Stenothoidae,0.0,1.0,1.0,0.01
Tricolia pullus,0.0,1.0,1.0,0.019
Gibbula umbilicalis,0.0,1.0,1.0,0.26
Nematoda,0.0,1.0,1.0,0.01
