Species,FP_as_Predator,FP_as_Prey,FP_total,Mass
Unknown green algae filaments,3.0,0.0,3.0,-999.0
Gomphonema sp.,0.0,3.0,3.0,-999.0
Psilachorema bidens,3.0,0.0,3.0,0.000271585
Stictocladius,1.0,1.0,2.0,0.00024686
Galaxias depressiceps,0.0,2.0,2.0,21.33
Rhopalodia novae zelandicae,0.0,2.0,2.0,-999.0
Nitzschia sp. (large),0.0,2.0,2.0,-999.0
Navicula cryptocephala,0.0,2.0,2.0,-999.0
Gobiomorphus breviceps,1.0,1.0,2.0,33.1
Acnanthidium saxonica ,2.0,0.0,2.0,-999.0
Blue-green algae,1.0,1.0,2.0,-999.0
Orychmontia sp.,2.0,0.0,2.0,0.000695792
Larsia II,2.0,0.0,2.0,0.000374514
Oligochaeta type I,2.0,0.0,2.0,4.27e-05
Orchymontia sp.,0.0,1.0,1.0,0.000695792
Surirella sp.,0.0,1.0,1.0,-999.0
Aoteapsyche sp.,0.0,1.0,1.0,6.11e-05
Salmo trutta,0.0,1.0,1.0,33.0
Paranephrops zealandicus,0.0,1.0,1.0,2.5
Terrestial invertebrates,0.0,1.0,1.0,-999.0
Nitzschia sp. (small),0.0,1.0,1.0,-999.0
Hydrobiosis spathulata/charadera,0.0,1.0,1.0,0.000738755
Acnanthidium minutissima,1.0,0.0,1.0,-999.0
Epithemia zebra,0.0,1.0,1.0,-999.0
Cymbella cuspidata,1.0,0.0,1.0,-999.0
Synedra rumpens,1.0,0.0,1.0,-999.0
Audouinella sp.,1.0,0.0,1.0,-999.0
Podaena sp.,1.0,0.0,1.0,0.000743063
Cricotopus I ,1.0,0.0,1.0,0.000251333
Pycnocentria sp.,1.0,0.0,1.0,6.89e-05
Pinnularia sp. (large),0.0,1.0,1.0,-999.0
