Species,FP_as_Predator,FP_as_Prey,FP_total,Mass
Veigaia nemorensis (juv),5.0,1.0,6.0,1.79e-05
Lithobius aeruginosus {s},3.0,1.0,4.0,5.6e-05
amoebae,1.0,3.0,4.0,2.8e-08
Veigaia cerva,2.0,1.0,3.0,8.03e-05
Lysigamasus jugincola,3.0,0.0,3.0,2.1e-05
bacteria,0.0,3.0,3.0,9.5e-16
Lithobius sp2 {s},2.0,1.0,3.0,6.6e-05
Saloca diceros,2.0,1.0,3.0,0.001156146
Tapinocyba pallens,1.0,2.0,3.0,0.000732341
Lithobius sp3 {m},2.0,1.0,3.0,0.000204057
Centromerus brevivulvatus,3.0,0.0,3.0,0.000600973
Harpactea lepida (juv) large,3.0,0.0,3.0,0.004962887
Lysigamasus minorleitneriae,1.0,2.0,3.0,2.32e-05
Strigamia acuminata,0.0,2.0,2.0,0.006997365
Oppiella falcata,0.0,2.0,2.0,6.6799999999999996e-06
algae,1.0,1.0,2.0,-999.0
Athous zebei (juv) {m},0.0,2.0,2.0,0.004052368
Trachytes aegrota (juv) {s},0.0,2.0,2.0,2.42e-05
flagellates,0.0,2.0,2.0,3.6299999999999995e-07
Staphylinidae spec,0.0,2.0,2.0,0.004003596
Fuscozetes setosus,0.0,2.0,2.0,7.6e-05
Molops piceus,1.0,1.0,2.0,0.110875648
Oribatida sp. (juv),1.0,1.0,2.0,7.36e-07
Veigaia exigua,1.0,1.0,2.0,1.59e-05
mykorrhiza,1.0,1.0,2.0,-999.0
Lithobius sp.,1.0,1.0,2.0,0.00359344
Aegopinella nitens (juv),1.0,1.0,2.0,0.009240836
Athous subfuscus (juv) {l},2.0,0.0,2.0,0.00467099
Zerconidae sp. (juv),2.0,0.0,2.0,2e-05
Lysigamasus sp. (juv),2.0,0.0,2.0,2.42e-05
Quadroppia quadricarinata,0.0,2.0,2.0,4.77e-06
Atropacarus striculus,0.0,1.0,1.0,2.49e-05
Platynothrus peltifer,0.0,1.0,1.0,0.000111057
Trichoniscus sp.,0.0,1.0,1.0,0.001742812
dead organic matter,0.0,1.0,1.0,-999.0
fungivorous nematodes,0.0,1.0,1.0,5.35e-07
Trachytes pauperior (juv),0.0,1.0,1.0,1.16e-05
Eupelops hirtus,0.0,1.0,1.0,0.00024160699999999997
Octolasion tyrtaeum (juv) {xxl},0.0,1.0,1.0,0.378272222
Nesovitrea hammonis (juv),0.0,1.0,1.0,0.001439063
Linyphiidae (juv),0.0,1.0,1.0,0.000519895
Chamobates voigtsi,0.0,1.0,1.0,1.17e-05
Pergamasinae (juv) {xs},0.0,1.0,1.0,6.46e-06
leaf litter,0.0,1.0,1.0,-999.0
Phthiracarus clavatus,0.0,1.0,1.0,0.000222343
Micrargus herbigradus,0.0,1.0,1.0,0.001961535
Coleoptera sp. (juv),0.0,1.0,1.0,0.027960341
Carabodes ornatus,0.0,1.0,1.0,7.15e-05
Achipteria coleoptrata,0.0,1.0,1.0,5e-05
Suctobelbella sp.,1.0,0.0,1.0,6.17e-06
Troxochrus nasutus,0.0,1.0,1.0,0.000946801
Geophilus ribauti,1.0,0.0,1.0,0.004253993
Gyrohypnus sp. (juv),1.0,0.0,1.0,0.001929925
Macrargus rufus,1.0,0.0,1.0,0.004556828
Neobisium sp.,1.0,0.0,1.0,0.0016035249999999997
Erigonella hiemalis,1.0,0.0,1.0,0.001322539
Carabidae sp.,1.0,0.0,1.0,0.065971077
Athous sp. (juv),1.0,0.0,1.0,0.000875669
Malthodes sp. (juv),1.0,0.0,1.0,0.004000437
Ceratinella brevis,1.0,0.0,1.0,0.0018161090000000002
roots,1.0,0.0,1.0,-999.0
Adoristes ovatus,1.0,0.0,1.0,6.44e-05
Veigaia nemorensis,1.0,0.0,1.0,4.83e-05
Epicrius canestrinii,1.0,0.0,1.0,2.2e-05
Lysigamasus truncellus,1.0,0.0,1.0,2.1199999999999997e-05
Oppiella subpectinata,1.0,0.0,1.0,1.52e-05
Brachychthoniidae spp.,1.0,0.0,1.0,7.11e-06
bacterivorous nematodes,1.0,0.0,1.0,8.52e-07
Chamobates borealis,0.0,1.0,1.0,1.99e-05
