Species,FP_as_Predator,FP_as_Prey,FP_total,Mass
Cyclotella sp.,0.0,5.0,5.0,-999.0
Terrestrial invertebrates,3.0,0.0,3.0,-999.0
Rhopalodia novae zelandicae,3.0,0.0,3.0,-999.0
Navicula rhynchocephala,0.0,3.0,3.0,-999.0
Nitzschia sp. (small),0.0,3.0,3.0,-999.0
Closterium sp.,3.0,0.0,3.0,-999.0
Podonomus,1.0,1.0,2.0,0.000341517
Hydraena orchymontia ,0.0,2.0,2.0,0.000942872
Macrophyte,0.0,2.0,2.0,-999.0
Philorheithrus agilis,0.0,2.0,2.0,0.000208587
Cocconeis sp.,0.0,2.0,2.0,-999.0
Eunotia sp.,0.0,2.0,2.0,-999.0
Tabellaria flocculosa,0.0,2.0,2.0,-999.0
Ulothrix,2.0,0.0,2.0,-999.0
unknown red algae spp.,2.0,0.0,2.0,-999.0
Psilachorema bidens,2.0,0.0,2.0,0.000450872
Asterionella sp.,2.0,0.0,2.0,-999.0
Salmo trutta,2.0,0.0,2.0,462.2
Gomphonema cf. olivaceum,0.0,1.0,1.0,-999.0
Fragilaria vaucheriae,0.0,1.0,1.0,-999.0
Cymbella minuta,0.0,1.0,1.0,-999.0
Diatoma heimale,0.0,1.0,1.0,-999.0
Meridion circulare,0.0,1.0,1.0,-999.0
Navicula avenacea,0.0,1.0,1.0,-999.0
Nannochorista philpotti,0.0,1.0,1.0,0.000316978
Psilochorema bidens,0.0,1.0,1.0,0.000450872
Tanyderid sp. ,0.0,1.0,1.0,0.000670082
Unidentified detritus,0.0,1.0,1.0,-999.0
Achnanthes lanceoloata,0.0,1.0,1.0,-999.0
Frustulia rhomboides,0.0,1.0,1.0,-999.0
Pinnularia (small - mesolepta??),0.0,1.0,1.0,-999.0
Synedra ulna,0.0,1.0,1.0,-999.0
Melosira varians,1.0,0.0,1.0,-999.0
Gomphonema sp. (skinny - tenue??),1.0,0.0,1.0,-999.0
Austroperla cyrene,1.0,0.0,1.0,0.000156756
Stauroneis sp.,1.0,0.0,1.0,-999.0
Fragilaria spp.,1.0,0.0,1.0,-999.0
Hydora nitida adult,1.0,0.0,1.0,0.000861375
Amphora sp.,1.0,0.0,1.0,-999.0
Polypedellum,1.0,0.0,1.0,0.00044639900000000005
Unknown orthoclad,1.0,0.0,1.0,0.000207966
Hydora nitida larvae,1.0,0.0,1.0,0.000168991
Oxyethira albiceps,1.0,0.0,1.0,6.06e-05
Achnanthes saxonica,1.0,0.0,1.0,-999.0
Blue-green algae,1.0,0.0,1.0,-999.0
Rhoicosphenia curvata,1.0,0.0,1.0,-999.0
Surirella (small),1.0,0.0,1.0,-999.0
Navicula sp.,1.0,0.0,1.0,-999.0
Eunotia sp. large,1.0,0.0,1.0,-999.0
Synedra rumpens,1.0,0.0,1.0,-999.0
Epithemia sorex,1.0,0.0,1.0,-999.0
Pycnocentria spp.,0.0,1.0,1.0,1.92e-05
