Species,FP_as_Predator,FP_as_Prey,FP_total,Mass
plankton,2.0,5.0,7.0,1e-05
isolauctis spp.,2.0,1.0,3.0,11.0
anthotoe spp.,1.0,2.0,3.0,10.0
Cinclodes nifrofumanus,1.0,1.0,2.0,280.0
Gelidium chilensis,1.0,0.0,1.0,-999.0
Nothogenia fastigiata,1.0,0.0,1.0,-999.0
ahnfeltiopsis spp.,1.0,0.0,1.0,-999.0
codium dimorpha,1.0,0.0,1.0,-999.0
laurencia chilensis,1.0,0.0,1.0,-999.0
Larus dominicanus,1.0,0.0,1.0,500.0
hildenbrandia lecanelieri,0.0,1.0,1.0,-999.0
lessonia nigrescens,0.0,1.0,1.0,-999.0
trimusculus peruvianus,0.0,1.0,1.0,-999.0
