Species,FP_as_Predator,FP_as_Prey,FP_total,Mass
Campodea sp. {l},9.0,1.0,10.0,0.002292383
Geophilus studeri (juv),6.0,2.0,8.0,0.006076453
Vulgarogamasus kraepelini,6.0,2.0,8.0,0.000101723
Veigaia nemorensis (juv),6.0,1.0,7.0,1.79e-05
Staphylinidae spec,5.0,1.0,6.0,0.004003596
Lysigamasus jugincola,5.0,1.0,6.0,2.1e-05
Pergamasinae (juv) {xs},4.0,2.0,6.0,6.46e-06
Philonthus carbonarius,4.0,2.0,6.0,0.025923117
omnivorous nematodes,4.0,1.0,5.0,6.019999999999999e-05
Othius sp. (juv) {s},5.0,0.0,5.0,0.000543988
flagellates,2.0,3.0,5.0,3.63e-07
Geophilus ribauti,3.0,2.0,5.0,0.004253993
Geophilus studeri,3.0,1.0,4.0,0.01252014
Aegopinella nitens,2.0,2.0,4.0,0.026216488
Harpactea lepida (juv) small,2.0,2.0,4.0,0.002996785
Lithobius piceus,2.0,2.0,4.0,0.007029911999999999
Helicodonta obvoluta,1.0,3.0,4.0,0.071694192
Athous subfuscus (juv) {l},4.0,0.0,4.0,0.00467099
Lithobius cf. mutabilis (juv),3.0,1.0,4.0,0.0017846740000000002
Lithobius aeruginosus {l},3.0,1.0,4.0,0.002201557
Lithobius aulacopus,3.0,1.0,4.0,0.005282779
bacterivorous nematodes,0.0,3.0,3.0,8.52e-07
Lepidocyrtus cyaneus,1.0,2.0,3.0,8.99e-06
Oppiella subpectinata,1.0,2.0,3.0,1.52e-05
Lithobius sp3 {xs},2.0,1.0,3.0,7.96e-06
Carabidae sp.,0.0,3.0,3.0,0.065971077
Saloca diceros,2.0,1.0,3.0,0.001156146
Geophilus ribauti (juv),3.0,0.0,3.0,0.001222346
algae,0.0,3.0,3.0,-999.0
Protaphorura armata,0.0,3.0,3.0,8.73e-06
Lithobius mutabilis,3.0,0.0,3.0,0.004660424
Oppiella nova,0.0,3.0,3.0,8.99e-06
saphrophytes,0.0,3.0,3.0,-999.0
Lithobius sp.,2.0,1.0,3.0,0.0035934399999999994
Abax parallelepipedus,1.0,1.0,2.0,0.427211499
Stenaphorura denisi,0.0,2.0,2.0,4.75e-06
Oribatida sp. (juv),0.0,2.0,2.0,7.36e-07
Steganacarus herculeanus,0.0,2.0,2.0,0.000275361
Lumbricus terrestris,0.0,2.0,2.0,6.054848485
root feeding nematodes,0.0,2.0,2.0,2.35e-07
Quadroppia hammerae,0.0,2.0,2.0,2.7e-06
Ena montana (juv),0.0,2.0,2.0,0.073539299
Ena montana,0.0,2.0,2.0,0.185357828
dead organic matter,0.0,2.0,2.0,-999.0
Dissorhina ornata,0.0,2.0,2.0,1.17e-05
Allaiulus nitidus (juv) {l},0.0,2.0,2.0,0.0013953879999999998
Porcellio conspersum,0.0,2.0,2.0,0.004025013
Isotomiella minor,0.0,2.0,2.0,3.27e-06
Megalothorax minimus,0.0,2.0,2.0,1.52e-05
Sminthurinus aureus,1.0,1.0,2.0,5.1e-06
ciliates,0.0,2.0,2.0,2.63e-09
Rhynchaenus fagi,0.0,2.0,2.0,0.001056494
Lumbricus terrestris (juv) {xl},0.0,2.0,2.0,0.073333333
Phthiracarus longulus,0.0,2.0,2.0,6.8e-05
Aegopinella nitens (juv),0.0,2.0,2.0,0.009240836
