Version,Metric,FoodWebs,MinimumRetainedRuns,MedianRetainedRuns,MaximumRetainedRuns
Modified WLNM,F1,290,76,99.0,100
Modified WLNM,PR-AUC,290,80,100.0,100
Modified WLNM,Precision,290,75,98.0,100
Modified WLNM,ROC-AUC,290,75,98.0,100
Modified WLNM,Recall,290,52,99.0,100
Modified WLNM,MCC,290,76,99.0,100
Modified WLNM,TSS,290,76,99.0,100
Original WLNM,F1,290,38,49.0,50
Original WLNM,PR-AUC,290,38,50.0,50
Original WLNM,Precision,290,38,50.0,50
Original WLNM,ROC-AUC,290,39,50.0,50
Original WLNM,Recall,290,26,50.0,50
Original WLNM,MCC,290,31,50.0,50
Original WLNM,TSS,290,31,50.0,50
