Scenario,TrainRatio,Threshold,K,CvK,Metric,MetricLabel,MetricFamily,FoodwebGroups,RetainedFoodwebGroups,TotalRunUnits,ValidRunsBeforeTukey,OutlierRunsExcluded,RetainedRunsAfterTukey
tau0p80_checkconntrue,10,0.5,10,0,F1Score,F1,predictive,290,278,14500,13900,474,13426
tau0p80_checkconntrue,10,0.5,10,0,PR_AUC,PR-AUC,predictive,290,278,14500,13900,426,13474
tau0p80_checkconntrue,10,0.5,10,0,Precision,Precision,predictive,290,278,14500,13900,487,13413
tau0p80_checkconntrue,10,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,290,278,14500,13900,508,13392
tau0p80_checkconntrue,10,0.5,10,0,PseudoMeanGenerality,Pseudo mean generality,pseudo_ecological,290,278,14500,13900,571,13329
tau0p80_checkconntrue,10,0.5,10,0,PseudoMeanTrophicHeight,Pseudo average trophic height,pseudo_ecological,290,222,14500,10952,973,9979
tau0p80_checkconntrue,10,0.5,10,0,PseudoMeanVulnerability,Pseudo mean vulnerability,pseudo_ecological,290,278,14500,13900,572,13328
tau0p80_checkconntrue,10,0.5,10,0,ROC_AUC,ROC-AUC,predictive,290,278,14500,13900,452,13448
tau0p80_checkconntrue,10,0.5,10,0,Recall,Recall,predictive,290,278,14500,13900,489,13411
tau0p80_checkconntrue,10,0.5,10,0,TestMCC,MCC,predictive,290,278,14500,13900,437,13463
tau0p80_checkconntrue,10,0.5,10,0,TestTPR,TPR,predictive,290,278,14500,13900,489,13411
tau0p80_checkconntrue,10,0.5,10,0,TestTSS,TSS,predictive,290,278,14500,13900,488,13412
tau0p80_checkconntrue,10,0.5,10,0,TrainConnectance,Training-graph connectance,train_ecological,290,278,14500,13900,273,13627
tau0p80_checkconntrue,10,0.5,10,0,TrainMeanGenerality,Training-graph mean generality,train_ecological,290,278,14500,13900,274,13626
tau0p80_checkconntrue,10,0.5,10,0,TrainMeanTrophicHeight,Training-graph average trophic height,train_ecological,290,278,14500,13900,556,13344
tau0p80_checkconntrue,10,0.5,10,0,TrainMeanVulnerability,Training-graph mean vulnerability,train_ecological,290,278,14500,13900,280,13620
