Scenario,Foodweb,Version,TrainRatio,Threshold,K,CvK,Metric,MetricLabel,MetricFamily,SourceColumn,ReferenceColumn,TotalRunUnits,ValidRunsBeforeTukey,InvalidRunsBeforeTukey,OutlierRunsExcluded,RetainedRunsAfterTukey,ExpectedRuns,MinimumRetainedRuns,MeetsMinimumRetainedRuns,Q1,Q3,IQR,LowerFence,UpperFence,MeanBeforeTukey,MeanAfterTukey,StdAfterTukey,SEAfterTukey,ReferenceValue,DeltaAfterTukey,RelativeDeltaAfterTukey
tau0p90_checkconnfalse,AEW17,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,0,50,50,25,1,0.12970545977,0.130220306513,0.000514846743,0.128933189655,0.130992576628,0.12997605364,0.12997605364,0.00035738263338,5.05415367083e-05,0.134961685824,-0.00498563218414,-0.0369410929754
tau0p90_checkconnfalse,AEW18,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,1,49,50,25,1,0.123607698607,0.124447174447,0.0008394758395,0.122348484848,0.125706388206,0.12399017199,0.124025138311,0.000612553625661,8.75076608087e-05,0.128992628993,-0.00496749068212,-0.0385098801451
tau0p90_checkconnfalse,AEW25,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,1,49,50,25,1,0.116769958683,0.117403038784,0.00063308010075,0.115820338532,0.118352658935,0.117049180328,0.117074258732,0.000395342827182,5.64775467403e-05,0.120884979342,-0.00381072061002,-0.031523524517
tau0p90_checkconnfalse,AEW27,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,0,50,50,25,1,0.0880952380952,0.0887254901961,0.0006302521009,0.0871498599439,0.0896708683475,0.0883977591036,0.0883977591036,0.000492627756897,6.96680855005e-05,0.0922969187675,-0.00389915966385,-0.0422458270105
tau0p90_checkconnfalse,AEW30,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,1,49,50,25,1,0.104797391709,0.10541841329,0.000621021581,0.103865859338,0.106349945661,0.105115665269,0.105142755752,0.000420750363541,6.01071947916e-05,0.1082906381,-0.00314788234843,-0.0290688318368
tau0p90_checkconnfalse,AEW49,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,2,48,50,25,1,0.115609880316,0.116076733724,0.000466853408,0.114909600204,0.116777013836,0.115841609371,0.115884864047,0.000331533116006,4.78526834428e-05,0.120278414396,-0.00439355034937,-0.0365281698419
tau0p90_checkconnfalse,AP1,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,1,49,50,25,1,0.0833333333333,0.0897435897436,0.0064102564103,0.0737179487178,0.0993589743591,0.0879487179487,0.0876504447933,0.00460538652919,0.000657912361313,0.0961538461538,-0.00850340136052,-0.0884353741494
tau0p90_checkconnfalse,AP2,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,0,50,50,25,1,0.114379084967,0.12091503268,0.006535947713,0.104575163397,0.13071895425,0.117973856209,0.117973856209,0.00418869244754,0.000592370566792,0.12091503268,-0.00294117647072,-0.0243243243254
tau0p90_checkconnfalse,AP3,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,1,49,50,25,1,0.153594771242,0.160130718954,0.006535947712,0.143790849674,0.169934640522,0.15614379085,0.155795651594,0.00413303716366,0.000590433880522,0.160130718954,-0.00433506736002,-0.0270720533096
tau0p90_checkconnfalse,AP4,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,4,46,50,25,1,0.151515151515,0.159090909091,0.007575757576,0.140151515151,0.170454545455,0.154848484848,0.154808959157,0.00792980341833,0.00116918572792,0.159090909091,-0.00428194993426,-0.0269151138725
tau0p90_checkconnfalse,Afon Hafren 2005,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,0,50,50,25,1,0.205627705628,0.212121212121,0.006493506493,0.195887445889,0.22186147186,0.209220779221,0.209220779221,0.00472218372352,0.000667817626582,0.222943722944,-0.0137229437231,-0.061553398059
tau0p90_checkconnfalse,Alert,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,5,45,50,25,1,0.145833333333,0.15,0.004166666667,0.139583333333,0.15625,0.1475,0.1475,0.00401229172032,0.00059811713548,0.15,-0.00250000000002,-0.0166666666668
tau0p90_checkconnfalse,Alford lake,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,1,49,50,25,1,0.0649350649351,0.0659090909091,0.000974025974,0.0634740259741,0.0673701298701,0.0654155844156,0.0653723827193,0.00071854978593,0.000102649969419,0.0704545454545,-0.00508216273517,-0.0721339226928
tau0p90_checkconnfalse,Allt a Mharcaidh,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,1,49,50,25,1,0.177364864865,0.179992492492,0.0026276276275,0.173423423424,0.183933933933,0.178948948949,0.178479499908,0.00157609618826,0.000225156598323,0.192942942943,-0.014463443035,-0.0749622806326
tau0p90_checkconnfalse,BP1,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,0,50,50,25,1,0.110119047619,0.115079365079,0.00496031746025,0.102678571428,0.122519841269,0.112777777778,0.112777777778,0.00285092225364,0.000403181291637,0.117724867725,-0.00494708994724,-0.0420224719113
tau0p90_checkconnfalse,BP2,WLNM_dir_neg,90,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,3,47,50,25,1,0.104575163399,0.107843137255,0.003267973856,0.099673202615,0.112745098039,0.105424836601,0.105896259213,0.00278129213427,0.000405693153519,0.107843137255,-0.001946878042,-0.0180528691167
