"node","mass","abundance","biomass","group","mode","efficiency","growth","mte","mte.2","mte.3","new","new.2","new.3"
"Achnanthes",1.905e-07,682416.53495,0.130000349907975,"plant","basal",0.569373791434623,4.19464451581573,0.0149394024027847,0.017929198475118,0.00194212753977805,0.10167453523342,0.177559815059524,0.0132177251570753
"Amphora",1.355e-08,4835277.9905,0.065518016771275,"plant","basal",0.569373791434623,5.15819755597431,0.037500245056644,0.0450051025040204,0.00245694168454812,0.349227906791148,0.642902144276775,0.0228807198541397
"Cocconeis",1.1595e-06,10692519.058,12.397975847751,"plant","basal",0.569373791434623,3.6514386702589,0.00796572656604809,0.00955989327756346,0.0987588855756528,0.0437566819219945,0.0737101664274295,0.54249428564661
"CPOM",1,1,1,"detritus","basal",0.17225869236368,0,6.83115071986099e-05,8.19825678214571e-05,6.83115071986099e-05,7.41456225132915e-05,9.50915190758451e-05,7.41456225132915e-05
"Cricotopus sp. A",0.038682034,124,4.796572216,"invertebrate","collector gatherer",0.914220888787003,NA,0.000211983400846843,0.000254407262401949,0.00101679369075516,0.000338434287328324,0.000463139627925842,0.0016233244995408
"Cyclotella",1.98e-06,293643.3812,0.581413894776,"plant","basal",0.569373791434623,3.50603072827245,0.00661163928640114,0.00793481491533276,0.0038440989483605,0.0340844567586772,0.056807119379959,0.0198171767553867
"Cymbella",2.64e-07,709205.6817,0.1872302999688,"plant","basal",0.569373791434623,4.09016646604477,0.0133349780263115,0.0160036834974411,0.00249671193594366,0.0873089225604023,0.151482969515847,0.0163468757609369
"Diatoma",2.62e-06,163653.5461,0.428772290782,"plant","basal",0.569373791434623,3.43254754413713,0.0059973209798073,0.00719755417699382,0.00257148505506692,0.0299070348327962,0.0495670330313729,0.0128233078357551
"Eukiefferiella minor",0.038317561,40,1.53270244,"invertebrate","collector gatherer",0.914220888787003,NA,0.00021268330402407,0.000255247235959093,0.000325980219024954,0.000339933283528184,0.000465278843690186,0.00052101657310086
"Filamentous algae",1,1,1,"plant","basal",0.569373791434623,1.41551806916936,6.83115071986099e-05,8.19825678214571e-05,6.83115071986099e-05,7.41456225132915e-05,9.50915190758451e-05,7.41456225132915e-05
"FPOM",1,1,1,"detritus","basal",0.17225869236368,0,6.83115071986099e-05,8.19825678214571e-05,6.83115071986099e-05,7.41456225132915e-05,9.50915190758451e-05,7.41456225132915e-05
"Fragilaria",2.90033333333333e-07,7442057.33273333,2.15844469507042,"plant","basal",0.569373791434623,4.06059312432952,0.0129053873197674,0.0154881195656965,0.0278555647981811,0.0835586763217199,0.144704432266285,0.180356781633723
"Gomphonema",7.44e-08,4256532.9572,0.31668605201568,"plant","basal",0.569373791434623,4.5125981565631,0.0207254902178236,0.0248732457692024,0.00656347367317215,0.157698645790836,0.280612551051321,0.049940961543719
"Green algae",1,1,1,"plant","basal",0.569373791434623,1.41551806916936,6.83115071986099e-05,8.19825678214571e-05,6.83115071986099e-05,7.41456225132915e-05,9.50915190758451e-05,7.41456225132915e-05
"Hebridae indet.",1.816136911,4,7.264547644,"invertebrate","detritivore",0.914220888787003,NA,5.54960705003812e-05,6.66024005354465e-05,0.000403153848204802,5.61187451043828e-05,7.11203386324359e-05,0.000407677297532281
"Limnophora riparia",0.201229577,60,12.07377462,"invertebrate","predator",0.914220888787003,NA,0.000119381736256302,0.000143273391126038,0.00144138817730288,0.000156725981887314,0.000207534195626155,0.00189227418240563
"Macrophytes",1,1,1,"plant","basal",0.569373791434623,1.41551806916936,6.83115071986099e-05,8.19825678214571e-05,6.83115071986099e-05,7.41456225132915e-05,9.50915190758451e-05,7.41456225132915e-05
"Melosira",4.26e-08,657774.7423,0.02802120402198,"plant","basal",0.569373791434623,4.71366370957618,0.0251664778329594,0.0302030003491092,0.000705195009871994,0.204586209275384,0.368117960229255,0.00573275191018904
"Meridion",6.22e-07,163653.5461,0.1017925056742,"plant","basal",0.569373791434623,3.82931379370908,0.00989469895059153,0.0118749074798086,0.00100720619907259,0.0585210257021843,0.0998139931045189,0.0059570018408496
"Micropsectra atrofasciata",0.023697944,96,2.275002624,"invertebrate","collector gatherer",0.914220888787003,NA,0.000251417286319486,0.000301732981344516,0.00057197498609579,0.000425416676200939,0.000587892270434082,0.000967824054650495
"Naucoridae indet.",1.703762187,4,6.815048748,"invertebrate","detritivore",0.914220888787003,NA,5.67441046160751e-05,6.81002015023596e-05,0.000386713839120164,5.78172659079708e-05,7.33663414125693e-05,0.0003940274856389
"Navicula",5.337e-07,1278877.3927,0.68253686448399,"plant","basal",0.569373791434623,3.87451856553188,0.0104364911624136,0.0125251276048264,0.00712328995420862,0.0628568689771377,0.107537239525464,0.0429021302629365
"Nitzschia",6.965e-08,191455.89675,0.0133349032086375,"plant","basal",0.569373791434623,4.53588807721503,0.0212070832897857,0.0254512192074064,0.000282794403006806,0.162631027386623,0.289770506884042,0.0021686690089219
"Oligochaeta indet.",0.016911153,7712,130.418811936,"invertebrate","basal",0.914220888787003,NA,0.000282759540783848,0.000339347705534853,0.0368771633725984,0.000497991755666295,0.000692833750998445,0.0649474931279209
"Orthocladius sp.",0.050257836,56,2.814438816,"invertebrate","collector gatherer",0.914220888787003,NA,0.00019351522924791,0.000232243088418116,0.000544636772682455,0.000299501290392942,0.000407725532323027,0.000842928057123983
"Radix balthica",0.413969579,6120,2533.49382348,"invertebrate","scraper",0.914220888787003,NA,9.28666313620298e-05,0.00011145186537683,0.235277036963097,0.000111916728814434,0.000146080865780511,0.283540341195456
"Rhoicosphenia",2.65e-08,90592321.7,2.40069652505,"plant","basal",0.569373791434623,4.89259662326881,0.0296896817522336,0.0356314250360955,0.0712759158124276,0.255340177166071,0.463813177894836,0.612994276028238
"Rhopalodia",9.04e-06,880930.1436,7.963608498144,"plant","basal",0.569373791434623,3.12799472009403,0.00389654822855234,0.0046763575057435,0.0310305845863274,0.0167757689662523,0.0271250622808062,0.133595656302547
"Salmo trutta",6676.57988,0.076190476,508.691799109223,"fish","predator",0.914220888787003,NA,3.18303745010525e-06,3.82005308231292e-06,0.00161918504712607,1.21529105361074e-06,1.30746766015122e-06,0.000618208592502592
"Simulium aureum",0.229900129,3332,766.027229828,"invertebrate","filter feeder",0.914220888787003,NA,0.000113971508668881,0.000136780424299443,0.0873052790649405,0.00014727745438772,0.000194505010323819,0.112818540400745
"Simulium vittatum",0.289858474,1580,457.97638892,"invertebrate","filter feeder",0.914220888787003,NA,0.00010513627890217,0.000126177015689799,0.048149933356102,0.000132175702830845,0.000173755314693217,0.0605333510854333
"Synedra",3.84e-06,37091104.97,142.4298430848,"plant","basal",0.569373791434623,3.33505693574067,0.00524986542666304,0.00630051167138767,0.747737508935934,0.0250187781272015,0.0411503104204424,3.56342064283073
"Terrestrial",1,1,1,"detritus","basal",0.17225869236368,0,6.83115071986099e-05,8.19825678214571e-05,6.83115071986099e-05,7.41456225132915e-05,9.50915190758451e-05,7.41456225132915e-05
