"node","mass","abundance","biomass","group","mode","efficiency","growth","mte","mte.2","mte.3","new","new.2","new.3"
"Achnanthes",1.7738e-07,128400998.4,22.775769096192,"plant","basal",0.476696907735133,3.47111949928617,0.00311149660833396,0.00381652491393008,0.0708667282949988,0.00221950899626152,0.00358852202458633,0.0505510244057733
"Cocconeis",2.22433e-06,49222370.14,109.486794573506,"plant","basal",0.476696907735133,2.72852081622189,0.00128991087511088,0.00158218941278102,0.141228207001397,0.000987474877303452,0.00151021796048007,0.108115459037821
"Cricotopus sp. B",0.082868765,188,15.57932782,"invertebrate","collector gatherer",0.880136145438191,NA,3.30323611732167e-05,4.05171032633783e-05,0.000514621983386183,3.39307554151694e-05,4.11730555588955e-05,0.000528618361793165
"Diamesa bertrami",0.051846603,204,10.576707012,"invertebrate","collector gatherer",0.880136145438191,NA,3.88914951886668e-05,4.77038477014492e-05,0.000411343949869136,3.9429330217238e-05,4.8341097318302e-05,0.000417032473387125
"Diamesa zernyi",0.0666824,84,5.6013216,"invertebrate","collector gatherer",0.880136145438191,NA,3.56287994936136e-05,4.37018637772531e-05,0.000199568364185647,3.63763218003609e-05,4.43520005629993e-05,0.000203755477028912
"Diatoma",5.52e-07,256480045.1,141.5769848952,"plant","basal",0.476696907735133,3.11774703205601,0.00209556998730915,0.00257040134449381,0.296684480440102,0.00154298508550268,0.00243322049335854,0.218451176143732
"Dicranota exclusa",0.31205251,8,2.49642008,"invertebrate","predator",0.880136145438191,NA,2.08181394098239e-05,2.55352834087791e-05,5.19708212509237e-05,2.2191197095213e-05,2.61541726856076e-05,5.53985500277273e-05
"Eukiefferiella minor",0.044540927,2548,113.490281996,"invertebrate","collector gatherer",0.880136145438191,NA,4.10035336954622e-05,5.0294449137033e-05,0.00465350260193049,4.13945865254364e-05,5.09202766864359e-05,0.0046978832978796
"FPOM",1,1,1,"detritus","basal",0.125397594152005,0,1.3878406633742e-05,1.70230893202516e-05,1.3878406633742e-05,1.52829156339664e-05,1.75568852420253e-05,1.52829156339664e-05
"Fragilaria",1.1985e-07,77917476.11,9.3384095117835,"plant","basal",0.476696907735133,3.60138480134349,0.00356659340299488,0.00437474125600192,0.0333063097591916,0.00251643145509307,0.00410380756151589,0.0234994674359923
"Gomphonema",6.42333e-08,284708257.3,18.2877509036281,"plant","basal",0.476696907735133,3.81788369137907,0.0044316879594151,0.00543585600015424,0.0810456054843912,0.00307279947326832,0.00508032077208117,0.0561945913439307
"Meridion",4.31e-07,58795925.18,25.34104375258,"plant","basal",0.476696907735133,3.19185782007046,0.00228411913880737,0.00280167350216414,0.0578819630326228,0.0016702311135118,0.00264824870855464,0.0423253997244229
"Metriocnemus sp. A",0.092032293,48,4.417550064,"invertebrate","collector gatherer",0.880136145438191,NA,3.18478421226522e-05,3.90641862152299e-05,0.000140689437007184,3.28100020272651e-05,3.97213920556021e-05,0.000144939826555385
"Metriocnemus sp. B",0.01307428,4,0.05229712,"invertebrate","collector gatherer",0.880136145438191,NA,6.2831086281982e-05,7.7067866801524e-05,3.28588485901917e-06,6.1295258805902e-05,7.74599463742144e-05,3.20556550520331e-06
"Micropsectra atrofasciata",0.062955018,24,1.510920432,"invertebrate","collector gatherer",0.880136145438191,NA,3.63495594610362e-05,4.45859394228007e-05,5.49212920838786e-05,3.7052622576365e-05,4.52337473655902e-05,5.59835645098143e-05
"Oligochaeta indet.",0.017262717,5548,95.773553916,"invertebrate","collector gatherer",0.880136145438191,NA,5.70363402578682e-05,6.99600999115675e-05,0.00546257300885826,5.60757705789992e-05,7.04323624141739e-05,0.00537057583692903
"Potamophylax cingulatus",0.364880307,12,4.378563684,"invertebrate","predator",0.880136145438191,NA,1.9714793652832e-05,2.41819325618073e-05,8.63224795258439e-05,2.11070892705387e-05,2.47910759421018e-05,9.24187345549268e-05
"Prosimulium ursinum",1.350163011,12,16.201956132,"invertebrate","filter feeder",0.880136145438191,NA,1.25008946401978e-05,1.53334494123959e-05,0.000202538946571239,1.38819281931005e-05,1.5842532674747e-05,0.000224914391612189
"Radix balthica",0.126560867,20,2.53121734,"invertebrate","scraper",0.880136145438191,NA,2.85039746121191e-05,3.49626379028683e-05,7.21497547971156e-05,2.96275997903227e-05,3.56182809953278e-05,7.49938943318452e-05
"Rheocricotopus effesus",0.050034471,36,1.801240956,"invertebrate","collector gatherer",0.880136145438191,NA,3.93762581346613e-05,4.82984521936356e-05,7.09261288461801e-05,3.98811441303055e-05,4.89332872100897e-05,7.18355501796454e-05
"Simulium aureum",0.010696603,16,0.171145648,"invertebrate","filter feeder",0.880136145438191,NA,6.73793027332124e-05,8.26466552705758e-05,1.15316744280638e-05,6.53647862955933e-05,8.29679881774889e-05,1.11868987069408e-05
"Simulium vittatum",0.004228722,60,0.25372332,"invertebrate","filter feeder",0.880136145438191,NA,9.30803132178912e-05,0.000114171210548968,2.36166460962832e-05,8.79867149135342e-05,0.000113984095803037,2.23242814237554e-05
"Synedra",5.04e-06,23261183.8,117.236366352,"plant","basal",0.476696907735133,2.52086768700086,0.00097022734283687,0.00119006937568086,0.113745928209551,0.000759910723621766,0.00114147570170529,0.0890891719893347
"Thienemanniella sp.",0.024392703,1568,38.247758304,"invertebrate","collector gatherer",0.880136145438191,NA,5.05674917186214e-05,6.20254868548318e-05,0.00193409320129335,5.01983206002559e-05,6.25727508533163e-05,0.00191997323358529
