Foodweb,EcosystemType,N_nodes,N_edges_total,N_edges_backbone,Backbone_edge_fraction,N_backbone_nodes,Backbone_node_fraction,HighDeg_threshold_total,N_highdeg_total,N_highdeg_backbone,Prop_highdeg_total,Prop_highdeg_backbone,Mean_deg_all_endpoints,Median_deg_all_endpoints,Mean_deg_backbone_endpoints,Median_deg_backbone_endpoints
"SF1M2_tax_mass",marine,10,16,7,0.4375,7,0.7,5,1,1,0.1,0.142857142857143,3.5625,3,4.21428571428571,4
"PP1I3_tax_mass",marine,11,24,7,0.291666666666667,7,0.636363636363636,6.2,1,1,0.0909090909090909,0.142857142857143,4.875,5,6.42857142857143,8
"SP1_tax_mass",marine,11,24,7,0.291666666666667,7,0.636363636363636,7.8,1,1,0.0909090909090909,0.142857142857143,5.45833333333333,5,6.78571428571429,9
"PC2P5_tax_mass",marine,12,33,8,0.242424242424242,9,0.75,8.3,1,1,0.0833333333333333,0.111111111111111,6.3030303030303,7,6.75,8
"SF1M1_tax_mass",marine,12,28,7,0.25,7,0.583333333333333,6.6,1,1,0.0833333333333333,0.142857142857143,5.21428571428571,5,6.85714285714286,8
"AP4_tax_mass",marine,12,24,7,0.291666666666667,8,0.666666666666667,8,2,1,0.166666666666667,0.125,5.25,5,5.92857142857143,6.5
"Twin Lake East_tax_mass",lakes,13,17,6,0.352941176470588,7,0.538461538461538,5.2,1,1,0.0769230769230769,0.142857142857143,3.64705882352941,4,3.83333333333333,5.5
"AP1_tax_mass",marine,13,17,7,0.411764705882353,7,0.538461538461538,5.8,1,1,0.0769230769230769,0.142857142857143,4.41176470588235,4,6.07142857142857,9
"Svalbard_tax_mass",terrestrial aboveground,13,21,10,0.476190476190476,8,0.615384615384615,5.4,1,1,0.0769230769230769,0.125,3.95238095238095,4,4.25,4.5
"PP1I2_tax_mass",marine,14,30,24,0.8,11,0.785714285714286,5.1,1,1,0.0714285714285714,0.0909090909090909,4.66666666666667,5,4.91666666666667,5
"SF2M1_tax_mass",marine,14,32,26,0.8125,11,0.785714285714286,7,2,2,0.142857142857143,0.181818181818182,5.3125,6,5.46153846153846,6
"SF2I4_tax_mass",marine,14,32,11,0.34375,11,0.785714285714286,11.1,1,1,0.0714285714285714,0.0909090909090909,6.71875,6,8.36363636363636,12
"Brook trout lake_tax_mass",lakes,15,19,9,0.473684210526316,10,0.666666666666667,6,3,2,0.2,0.2,4.73684210526316,6,5.55555555555556,7.5
"SF1I1_tax_mass",marine,15,30,10,0.333333333333333,10,0.666666666666667,7,2,1,0.133333333333333,0.1,5.5,5,7.3,11
"SF2M2_tax_mass",marine,15,30,16,0.533333333333333,14,0.933333333333333,8,3,3,0.2,0.214285714285714,6.23333333333333,7,6.53125,8
"SF1M3_tax_mass",marine,15,30,23,0.766666666666667,11,0.733333333333333,6,2,2,0.133333333333333,0.181818181818182,4.76666666666667,5,5.02173913043478,5
"SF1M4_tax_mass",marine,15,31,7,0.225806451612903,7,0.466666666666667,7,2,2,0.133333333333333,0.285714285714286,5.19354838709677,5,6.5,9
"SF2I3_tax_mass",marine,15,31,18,0.580645161290323,10,0.666666666666667,7,2,2,0.133333333333333,0.2,4.87096774193548,4.5,5.25,6
"Gull lake north_tax_mass",lakes,16,25,8,0.32,9,0.5625,7.7,2,1,0.125,0.111111111111111,5.08,5,5.5,7
"RMP4_tax_mass",marine,16,45,13,0.288888888888889,13,0.8125,9,4,4,0.25,0.307692307692308,7.4,8,10.0769230769231,14
"SF2I1_tax_mass",marine,16,34,21,0.617647058823529,10,0.625,7,4,3,0.25,0.3,5.14705882352941,5.5,5.5,6.5
"Bylot_tax_mass",terrestrial aboveground,16,32,13,0.40625,10,0.625,7.9,2,2,0.125,0.2,5.28125,5,5.46153846153846,5
"Alert_tax_mass",terrestrial aboveground,16,36,12,0.333333333333333,9,0.5625,6,4,4,0.25,0.444444444444444,4.91666666666667,5,5.5,6
"SF2M4_tax_mass",marine,17,49,16,0.326530612244898,13,0.764705882352941,10.4,2,2,0.117647058823529,0.153846153846154,7.02040816326531,7,8.96875,11
"Zackenberg_tax_mass",terrestrial aboveground,17,37,28,0.756756756756757,15,0.882352941176471,5.8,2,2,0.117647058823529,0.133333333333333,4.97297297297297,5,5.08928571428571,5
"RMP3_tax_mass",marine,17,40,11,0.275,12,0.705882352941177,10.6,2,2,0.117647058823529,0.166666666666667,6.825,5,7.63636363636364,11
"PC1P4_tax_mass",marine,17,82,42,0.51219512195122,16,0.941176470588235,17,4,4,0.235294117647059,0.25,12.3048780487805,15,13.1071428571429,15
"PGSBP1_tax_mass",marine,17,44,28,0.636363636363636,14,0.823529411764706,8.8,2,2,0.117647058823529,0.142857142857143,6.47727272727273,7,6.96428571428571,7
"PC2P4_tax_mass",marine,17,68,21,0.308823529411765,12,0.705882352941177,11.6,2,2,0.117647058823529,0.166666666666667,8.69117647058824,8,10.2857142857143,12
"PGUBP1_tax_mass",marine,18,48,28,0.583333333333333,12,0.666666666666667,8,3,3,0.166666666666667,0.25,6.1875,6,6.89285714285714,7
"CGP2_tax_mass",marine,18,34,10,0.294117647058824,10,0.555555555555556,7,3,1,0.166666666666667,0.1,5.76470588235294,5,7.7,12
"PC2P3_tax_mass",marine,18,61,37,0.60655737704918,14,0.777777777777778,10.7,2,2,0.111111111111111,0.142857142857143,8.29508196721311,8.5,8.7027027027027,10
"CGP1_tax_mass",marine,18,27,11,0.407407407407407,11,0.611111111111111,6.8,2,1,0.111111111111111,0.0909090909090909,5.81481481481481,3,8.04545454545454,13
"BP2_tax_mass",marine,18,36,18,0.5,11,0.611111111111111,9,3,3,0.166666666666667,0.272727272727273,5.91666666666667,5.5,6.61111111111111,9
"AP3_tax_mass",marine,18,52,27,0.519230769230769,16,0.888888888888889,9,4,4,0.222222222222222,0.25,7.05769230769231,8,7.53703703703704,9
"PGUBP4_tax_mass",marine,18,54,40,0.740740740740741,13,0.722222222222222,8,7,6,0.388888888888889,0.461538461538462,6.83333333333333,8,7.0625,8
"AP2_tax_mass",marine,18,40,9,0.225,9,0.5,8,3,1,0.166666666666667,0.111111111111111,5.9,6,7.83333333333333,11
"PP2M1_tax_mass",marine,18,47,16,0.340425531914894,10,0.555555555555556,8,3,2,0.166666666666667,0.2,6.36170212765957,6,7.25,8
"PP1I4_tax_mass",marine,18,60,20,0.333333333333333,12,0.666666666666667,9.7,2,2,0.111111111111111,0.166666666666667,7.51666666666667,6,8.35,10
"PP2M4_tax_mass",marine,18,49,16,0.326530612244898,10,0.555555555555556,8.7,2,2,0.111111111111111,0.2,6.36734693877551,6,7.46875,9
"Deep lake_tax_mass",lakes,19,28,18,0.642857142857143,18,0.947368421052632,8.00000000000001,2,2,0.105263157894737,0.111111111111111,5.53571428571429,5,6.5,10
"PP2M2_tax_mass",marine,19,58,19,0.327586206896552,11,0.578947368421053,10.2,2,2,0.105263157894737,0.181818181818182,7.51724137931035,7,9.28947368421053,11
"PC2P1_tax_mass",marine,19,77,28,0.363636363636364,17,0.894736842105263,14.8,2,2,0.105263157894737,0.117647058823529,9.98701298701299,9,12.3214285714286,16
"MBP2_tax_mass",marine,19,92,29,0.315217391304348,17,0.894736842105263,15.6,2,2,0.105263157894737,0.117647058823529,11.3369565217391,11,13.5172413793103,16
"PP2M3_tax_mass",marine,19,58,47,0.810344827586207,15,0.789473684210526,8.6,2,2,0.105263157894737,0.133333333333333,7.37931034482759,8,7.79787234042553,8
"SF2I2_tax_mass",marine,19,51,40,0.784313725490196,15,0.789473684210526,7.6,2,2,0.105263157894737,0.133333333333333,6.27450980392157,7,6.6375,7
"SF1I2_tax_mass",marine,20,58,35,0.603448275862069,13,0.65,8.5,2,2,0.1,0.153846153846154,6.98275862068965,7,7.8,8
"SF2M3_tax_mass",marine,20,55,33,0.6,15,0.75,9.5,2,2,0.1,0.133333333333333,7.07272727272727,8,7.5,9
"PGUBP2_tax_mass",marine,20,51,18,0.352941176470588,12,0.6,9,4,3,0.2,0.25,6.68627450980392,7,7.61111111111111,9
"RMP2_tax_mass",marine,20,67,19,0.283582089552239,16,0.8,10,2,2,0.1,0.125,7.80597014925373,8,9.36842105263158,11
"Dargall Lane_tax_mass",streams,20,72,45,0.625,18,0.9,12,2,2,0.1,0.111111111111111,8.54166666666667,8,8.55555555555556,10
"PP2I4_tax_mass",marine,20,64,20,0.3125,12,0.6,9.5,2,2,0.1,0.166666666666667,7.375,6.5,8.4,10
"RMP5_tax_mass",marine,21,97,31,0.319587628865979,17,0.80952380952381,14.8,2,2,0.0952380952380952,0.117647058823529,10.659793814433,9,13.4193548387097,16
"PGUBP3_tax_mass",marine,21,68,20,0.294117647058824,14,0.666666666666667,10,3,2,0.142857142857143,0.142857142857143,7.70588235294118,8,8.625,10
"Mosendale Beck_tax_mass",streams,21,85,43,0.505882352941176,15,0.714285714285714,14.8,2,2,0.0952380952380952,0.133333333333333,9.95294117647059,9,10.0232558139535,11
"Old Lodge_tax_mass",streams,21,87,42,0.482758620689655,18,0.857142857142857,16.4,2,2,0.0952380952380952,0.111111111111111,11.2758620689655,10,12.7380952380952,16
"PC1P2_tax_mass",marine,21,115,30,0.260869565217391,18,0.857142857142857,13.8,2,2,0.0952380952380952,0.111111111111111,12.1478260869565,11,14.8333333333333,15
