Scenario,TrainRatio,Threshold,K,CvK,Metric,MetricLabel,MetricFamily,FoodwebGroups,RetainedFoodwebGroups,TotalRunUnits,ValidRunsBeforeTukey,OutlierRunsExcluded,RetainedRunsAfterTukey
tau1p00_checkconnfalse,20,0.5,10,0,Precision,Precision,predictive,290,290,14500,14500,249,14251
tau1p00_checkconnfalse,20,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,290,290,14500,14500,227,14273
tau1p00_checkconnfalse,20,0.5,10,0,PseudoMeanGenerality,Pseudo mean generality,pseudo_ecological,290,290,14500,14500,382,14118
tau1p00_checkconnfalse,20,0.5,10,0,PseudoMeanTrophicHeight,Pseudo average trophic height,pseudo_ecological,290,288,14500,12699,1144,11555
tau1p00_checkconnfalse,20,0.5,10,0,PseudoMeanVulnerability,Pseudo mean vulnerability,pseudo_ecological,290,290,14500,14500,345,14155
tau1p00_checkconnfalse,20,0.5,10,0,ROC_AUC,ROC-AUC,predictive,290,290,14500,14500,267,14233
tau1p00_checkconnfalse,20,0.5,10,0,Recall,Recall,predictive,290,290,14500,14500,176,14324
tau1p00_checkconnfalse,20,0.5,10,0,TestMCC,MCC,predictive,290,290,14500,14500,193,14307
tau1p00_checkconnfalse,20,0.5,10,0,TestTPR,TPR,predictive,290,290,14500,14500,176,14324
tau1p00_checkconnfalse,20,0.5,10,0,TestTSS,TSS,predictive,290,290,14500,14500,205,14295
tau1p00_checkconnfalse,20,0.5,10,0,TrainConnectance,Training-graph connectance,train_ecological,290,290,14500,14500,0,14500
tau1p00_checkconnfalse,20,0.5,10,0,TrainMeanGenerality,Training-graph mean generality,train_ecological,290,290,14500,14500,482,14018
tau1p00_checkconnfalse,20,0.5,10,0,TrainMeanTrophicHeight,Training-graph average trophic height,train_ecological,290,290,14500,14487,357,14130
tau1p00_checkconnfalse,20,0.5,10,0,TrainMeanVulnerability,Training-graph mean vulnerability,train_ecological,290,290,14500,14500,512,13988
tau1p00_checkconnfalse,30,0.5,10,0,F1Score,F1,predictive,290,290,14500,14500,262,14238
tau1p00_checkconnfalse,30,0.5,10,0,PR_AUC,PR-AUC,predictive,290,290,14500,14500,174,14326
tau1p00_checkconnfalse,30,0.5,10,0,Precision,Precision,predictive,290,290,14500,14500,288,14212
tau1p00_checkconnfalse,30,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,290,290,14500,14500,190,14310
tau1p00_checkconnfalse,30,0.5,10,0,PseudoMeanGenerality,Pseudo mean generality,pseudo_ecological,290,290,14500,14500,326,14174
tau1p00_checkconnfalse,30,0.5,10,0,PseudoMeanTrophicHeight,Pseudo average trophic height,pseudo_ecological,290,288,14500,13200,1151,12049
tau1p00_checkconnfalse,30,0.5,10,0,PseudoMeanVulnerability,Pseudo mean vulnerability,pseudo_ecological,290,290,14500,14500,277,14223
tau1p00_checkconnfalse,30,0.5,10,0,ROC_AUC,ROC-AUC,predictive,290,290,14500,14500,315,14185
tau1p00_checkconnfalse,30,0.5,10,0,Recall,Recall,predictive,290,290,14500,14500,218,14282
tau1p00_checkconnfalse,30,0.5,10,0,TestMCC,MCC,predictive,290,290,14500,14500,249,14251
tau1p00_checkconnfalse,30,0.5,10,0,TestTPR,TPR,predictive,290,290,14500,14500,218,14282
tau1p00_checkconnfalse,30,0.5,10,0,TestTSS,TSS,predictive,290,290,14500,14500,226,14274
tau1p00_checkconnfalse,30,0.5,10,0,TrainConnectance,Training-graph connectance,train_ecological,290,290,14500,14500,0,14500
tau1p00_checkconnfalse,30,0.5,10,0,TrainMeanGenerality,Training-graph mean generality,train_ecological,290,290,14500,14500,497,14003
tau1p00_checkconnfalse,30,0.5,10,0,TrainMeanTrophicHeight,Training-graph average trophic height,train_ecological,290,290,14500,14497,438,14059
tau1p00_checkconnfalse,30,0.5,10,0,TrainMeanVulnerability,Training-graph mean vulnerability,train_ecological,290,290,14500,14500,434,14066
tau1p00_checkconnfalse,40,0.5,10,0,F1Score,F1,predictive,290,290,14500,14500,269,14231
tau1p00_checkconnfalse,40,0.5,10,0,PR_AUC,PR-AUC,predictive,290,290,14500,14500,213,14287
tau1p00_checkconnfalse,40,0.5,10,0,Precision,Precision,predictive,290,290,14500,14500,254,14246
tau1p00_checkconnfalse,40,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,290,290,14500,14500,228,14272
tau1p00_checkconnfalse,40,0.5,10,0,PseudoMeanGenerality,Pseudo mean generality,pseudo_ecological,290,290,14500,14500,282,14218
