Version,Metric,FoodWebs,Mean,Median,SD,Variance
Directed-negative,F1,290,0.6652,0.711,0.2276,0.0518
Directed-negative,PR-AUC,290,0.5035,0.5101,0.178,0.0317
Directed-negative,Precision,290,0.904,0.9706,0.1497,0.0224
Directed-negative,ROC-AUC,290,0.8788,0.9093,0.1113,0.0124
Directed-negative,Recall,290,0.583,0.6153,0.2563,0.0657
Directed-negative,MCC,290,0.6206,0.6325,0.2194,0.0482
Directed-negative,TSS,290,0.5444,0.5597,0.2545,0.0648
Original,F1,290,0.7082,0.7185,0.1339,0.0179
Original,PR-AUC,290,0.653,0.6859,0.1492,0.0222
Original,Precision,290,0.7534,0.7522,0.1252,0.0157
Original,ROC-AUC,290,0.8564,0.8699,0.0809,0.0066
Original,Recall,290,0.6887,0.7037,0.1506,0.0227
Original,MCC,290,0.5859,0.583,0.1725,0.0297
Original,TSS,290,0.5692,0.5695,0.1771,0.0314
