Version,Metric,FoodWebs,Mean,Median,SD,Variance
Modified WLNM,F1,290,0.6652,0.711,0.2276,0.0518
Modified WLNM,Precision,290,0.904,0.9706,0.1497,0.0224
Modified WLNM,ROC-AUC,290,0.8788,0.9093,0.1113,0.0124
Modified WLNM,MCC,290,0.6206,0.6325,0.2194,0.0482
Original WLNM,F1,290,0.6236,0.671,0.1941,0.0377
Original WLNM,Precision,290,0.6706,0.7207,0.2022,0.0409
Original WLNM,ROC-AUC,290,0.809,0.8391,0.1127,0.0127
Original WLNM,MCC,290,0.4992,0.5437,0.2082,0.0434
