TRAINRATIO,Metric,MetricLabel,FoodWebs,MinimumRetainedRuns,MedianRetainedRuns,MaximumRetainedRuns
10,F1Score,F1,290,38,50.0,50
10,PR_AUC,PR-AUC,290,40,49.0,50
10,Precision,Precision,290,38,49.0,50
10,ROC_AUC,ROC-AUC,290,41,49.0,50
10,Recall,Recall,290,38,50.0,50
10,TestMCC,MCC,290,29,50.0,50
10,TestTSS,TSS,290,29,50.0,50
20,F1Score,F1,290,44,50.0,50
20,PR_AUC,PR-AUC,290,42,50.0,50
20,Precision,Precision,290,37,50.0,50
20,ROC_AUC,ROC-AUC,290,41,49.0,50
20,Recall,Recall,290,44,50.0,50
20,TestMCC,MCC,290,44,50.0,50
20,TestTSS,TSS,290,41,50.0,50
30,F1Score,F1,290,40,50.0,50
30,PR_AUC,PR-AUC,290,38,50.0,50
30,Precision,Precision,290,43,50.0,50
30,ROC_AUC,ROC-AUC,290,41,49.0,50
30,Recall,Recall,290,41,50.0,50
30,TestMCC,MCC,290,41,50.0,50
30,TestTSS,TSS,290,41,50.0,50
40,F1Score,F1,290,42,49.0,50
40,PR_AUC,PR-AUC,290,40,50.0,50
40,Precision,Precision,290,39,49.0,50
40,ROC_AUC,ROC-AUC,290,42,49.0,50
40,Recall,Recall,290,41,50.0,50
40,TestMCC,MCC,290,41,50.0,50
40,TestTSS,TSS,290,41,50.0,50
50,F1Score,F1,290,39,49.0,50
50,PR_AUC,PR-AUC,290,39,50.0,50
50,Precision,Precision,290,39,49.0,50
50,ROC_AUC,ROC-AUC,290,39,49.0,50
50,Recall,Recall,290,39,50.0,50
50,TestMCC,MCC,290,42,50.0,50
50,TestTSS,TSS,290,39,50.0,50
60,F1Score,F1,290,39,49.0,50
60,PR_AUC,PR-AUC,290,40,49.5,50
60,Precision,Precision,290,40,49.0,50
60,ROC_AUC,ROC-AUC,290,39,49.0,50
60,Recall,Recall,290,39,50.0,50
60,TestMCC,MCC,290,42,49.0,50
60,TestTSS,TSS,290,42,49.0,50
70,F1Score,F1,290,38,49.0,50
70,PR_AUC,PR-AUC,290,38,50.0,50
70,Precision,Precision,290,38,49.0,50
70,ROC_AUC,ROC-AUC,290,40,49.0,50
70,Recall,Recall,290,38,50.0,50
70,TestMCC,MCC,290,35,50.0,50
70,TestTSS,TSS,290,38,50.0,50
80,F1Score,F1,290,41,49.0,50
80,PR_AUC,PR-AUC,290,40,50.0,50
80,Precision,Precision,290,38,49.0,50
80,ROC_AUC,ROC-AUC,290,39,49.0,50
80,Recall,Recall,290,42,50.0,50
80,TestMCC,MCC,290,41,49.0,50
80,TestTSS,TSS,290,40,50.0,50
90,F1Score,F1,290,31,49.0,50
90,PR_AUC,PR-AUC,290,40,50.0,50
90,Precision,Precision,290,38,48.5,50
90,ROC_AUC,ROC-AUC,290,38,49.0,50
90,Recall,Recall,290,32,50.0,50
90,TestMCC,MCC,290,31,49.0,50
90,TestTSS,TSS,290,31,49.0,50
