"node","mass","abundance","biomass","group","mode","efficiency","growth","mte","mte.2","mte.3","new","new.2","new.3"
"Achnanthes",2.67e-07,42789938.64,11.42491361688,"plant","basal",0.534109079083809,3.80068678922208,0.00721570979546007,0.00873112452297519,0.0824388610976062,0.00882972793703726,0.0147535010208511,0.100878878941203
"Amphora",4.11666666666667e-08,18012608.5390333,0.741519051523538,"plant","basal",0.534109079083809,4.440407785788,0.0138354483328981,0.0167411142701064,0.0102592485252135,0.017365225841114,0.0301997403265414,0.0128766457951949
"Asterionella",2.54e-06,1273051.049,3.23354966446,"plant","basal",0.534109079083809,3.15468298753878,0.00329338052956627,0.00398504323487024,0.0106493095063181,0.00390871192994641,0.00622367074090105,0.012639014149549
"Chaetocladius sp.",0.009994692,4,0.039978768,"invertebrate","collector gatherer",0.902353149212339,NA,0.000184475818488722,0.00022321869758623,7.37511594897073e-06,0.000195679544790182,0.000260994549666908,7.8230271235123e-06
"Cocconeis",6.715e-07,136744051.94,91.82363087771,"plant","basal",0.534109079083809,3.52101351785345,0.00523382128062167,0.00633300764962259,0.480588473351708,0.00632487021998924,0.0103616392078012,0.580772548429713
"CPOM",1,1,1,"detritus","basal",0.152858971180092,0,3.71098570455199e-05,4.49035219096673e-05,3.71098570455199e-05,3.69786243195767e-05,4.46924778241877e-05,3.69786243195767e-05
"Cyclotella",1.05e-06,948514.6481,0.995940380505,"plant","basal",0.534109079083809,3.39322294108322,0.00447941316267846,0.00542016173347311,0.00446122844967709,0.00538045734781866,0.0087305504722038,0.00535861473827744
"Cymbella",5.495e-07,1906691.73405,1.04772710786048,"plant","basal",0.534109079083809,3.57994487751296,0.00561226602057156,0.00679093185156962,0.00588012324627706,0.00680068550299971,0.0111890419298333,0.00712526255352655
"Diatoma",5.31e-07,27390576.61,14.54439617991,"plant","basal",0.534109079083809,3.59011239079942,0.00567958840777297,0.00687239301928583,0.0826061839414743,0.00688546296165376,0.0113368297044025,0.100144901196389
"Epithemia",4.946e-06,52609145.04,260.20483136784,"plant","basal",0.534109079083809,2.98633745272467,0.00261138010357751,0.00315981178670744,0.679493719488717,0.00307138462801811,0.00482118649697766,0.799189119199229
"Eukiefferiella minor",0.030104226,576,17.340034176,"invertebrate","collector gatherer",0.902353149212339,NA,0.000125663249178588,0.000152054545933961,0.00217900503542393,0.000131315451980906,0.000171062535060227,0.0022770144251858
"Eunotia",4.96e-07,716217.2051,0.3552437337296,"plant","basal",0.534109079083809,3.61044545126521,0.00581604302477844,0.00703750529327989,0.00206611283965429,0.0070574166835035,0.011636916350889,0.00250710305313335
"Filamentous algae",1,1,1,"plant","basal",0.534109079083809,1.12960422212191,3.71098570455199e-05,4.49035219096673e-05,3.71098570455199e-05,3.69786243195767e-05,4.46924778241877e-05,3.69786243195767e-05
"FPOM",1,1,1,"detritus","basal",0.152858971180092,0,3.71098570455199e-05,4.49035219096673e-05,3.71098570455199e-05,3.69786243195767e-05,4.46924778241877e-05,3.69786243195767e-05
