Species,IsBasal,ReachableFromBasal,NumResources,NumConsumers
Abatus cavernosus,0,1,2,0
Abatus curvidens,0,1,2,0
Abatus nimrodi,0,1,2,0
Abatus shackeltoni,0,1,2,0
Abyssocucumis liouvillei,0,1,1,15
Abyssorchomene nodimanus,0,1,89,48
Abyssorchomene plebs,0,1,64,43
Abyssorchomene rossi,0,1,116,48
Achlyonice violaecuspidata,0,1,2,15
Acodontaster capitatus,0,1,7,6
Acodontaster conspicuus,0,1,7,6
Acodontaster hodgsoni,0,1,7,6
Actinocyclus actinochilus,1,1,0,81
Actinocyclus spiritus,1,1,0,81
Actinocyclus utricularis,1,1,0,81
Aega antarctica,0,1,1,29
Aegires albus,0,1,34,26
Aethotaxis mitopteryx,0,1,84,25
Ainigmaptilon antarcticus,0,1,1,22
Alacia belgicae,0,1,67,57
Alacia hettacra,0,1,67,57
Alcyonium antarcticum,1,1,0,23
Alexandrella mixta,0,1,11,48
Alluroteuthis antarcticus,0,1,3,16
Alomasoma belyaevi,0,1,1,1
Amauropsis rossiana,0,1,4,26
Ammothea carolinensis,0,1,128,7
Ampelisca richardsoni,0,1,60,48
Amphidinium hadai,0,0,1,32
Anoxycalyx joubini,0,1,1,47
Antarctomysis maxima,0,1,78,27
Anthomastus bathyproctus,0,1,61,23
Anthometra adriani,0,1,2,5
Aphrodroma brevirostris,0,1,11,0
Aplidium vastum,0,1,1,4
Aporocidaris milleri,0,1,60,0
Aptenodytes forsteri,0,1,53,0
Arctocephalus gazella,0,1,59,2
Arcturidae,0,1,1,29
Armadillogorgia cyathella,0,1,1,22
Artedidraco loennbergi,0,1,108,25
Artedidraco orianae,0,1,27,25
Artedidraco skottsbergi,0,1,110,25
Ascidia challengeri,0,1,1,4
Astrochlamys bruneus,0,1,17,20
Astrotoma agassizii,0,1,203,20
Atolla wyvillei,0,1,17,3
Austrocidaris canaliculata,0,1,25,0
Austrodoris kerguelenensis,0,1,10,26
Austroflustra vulgaris,0,1,1,30
Austrosignum grande,0,1,60,29
Axociella nidificata,0,1,1,42
Azpeitia tabularis,1,1,0,81
Balaenoptera acutorostrata,0,1,28,1
Balaenoptera musculus,0,1,37,0
Balaenoptera physalus,0,1,37,0
Banquisia belgicae,1,1,0,81
Bargmannia,0,1,16,38
Barrukia cristata,0,1,33,64
Baseodiscus antarcticus,0,1,90,0
Bathybiaster loripes,0,1,95,6
Bathydoris clavigera,0,1,20,26
Bathydorus spinosus,0,1,1,42
Bathylagus antarcticus,0,1,19,42
Bathypanoploea schellenbergi,0,1,146,47
Bathyplotes bongraini,0,1,2,15
Bathyplotes gourdoni,0,1,2,15
