Foodweb,TrainRatio,TotalRunUnits,ValidRunsBeforeTukey,InvalidRunsBeforeTukey,OutlierRunsExcluded,RetainedRunsAfterTukey,MinimumRetainedRuns,MeetsMinimumRetainedRuns,Q1,Q3,IQR,LowerFence,UpperFence
Dutch Microfauna food web PlotB,10,50,43,7,2,41,25,1,1.4010259705999999,1.83432492545,0.43329895484999997,0.75107753832500002,2.4842733577199998
Ythan Estuary,10,50,36,14,8,28,25,1,2.2644499651899999,3.5029763944300001,1.23852642924,0.40666032132399998,5.3607660382900004
Dutch Microfauna food web PlotB,20,50,38,12,0,38,25,1,1.47571798829,1.9364398941500001,0.46072190587,0.78463512948000003,2.62752275296
Ythan Estuary,20,50,25,25,3,22,25,0,2.8329485070899998,9.5537291461899994,6.7207806391,-7.2482224515600002,19.6349001048
Dutch Microfauna food web PlotB,30,50,40,10,3,37,25,1,1.8604505439100001,2.3551646912200002,0.49471414730800001,1.1183793229500001,3.0972359121799999
Ythan Estuary,30,50,18,32,2,16,25,0,3.1748840761700001,16.479811852899999,13.3049277767,-16.7825075889,36.437203517999997
Dutch Microfauna food web PlotB,40,50,33,17,5,28,25,1,1.89017823717,2.2289397443499999,0.33876150717999998,1.3820359764000001,2.73708200512
Ythan Estuary,40,50,16,34,0,16,25,0,2.9986887576200001,57.729793422199997,54.731104664599997,-79.097968239300002,139.826450419
Dutch Microfauna food web PlotB,50,50,33,17,5,28,25,1,1.8949473053000001,2.3774470291599998,0.48249972386000001,1.1711977195100001,3.1011966149500001
Ythan Estuary,50,50,24,26,2,22,25,0,3.0499621485900001,16.962676196299999,13.9127140477,-17.819108923000002,37.831747267899999
Dutch Microfauna food web PlotB,60,50,27,23,6,21,25,0,1.87886523842,1.9655239825299999,0.086658744100000004,1.7488771222699999,2.09551209868
Ythan Estuary,60,50,21,29,2,19,25,0,2.9851487213199999,15.5074236696,12.5222749483,-15.7982637011,34.290836091999999
Dutch Microfauna food web PlotB,70,50,40,10,8,32,25,1,1.8585803838799999,1.9180774390299999,0.059497055149999999,1.7693348011600001,2.00732302176
Ythan Estuary,70,50,24,26,6,18,25,0,2.7855852785800002,4.6883466929099997,1.90276141433,-0.068556842916199998,7.5424888144100004
Dutch Microfauna food web PlotB,80,50,46,4,8,38,25,1,1.8407650877999999,1.8882827961599999,0.047517708365000001,1.7694885252500001,1.95955935871
Ythan Estuary,80,50,35,15,7,28,25,1,2.6849816381,3.0027730570100002,0.31779141891500001,2.20829450972,3.4794601853799998
Dutch Microfauna food web PlotB,90,50,49,1,2,47,25,1,1.8243762510299999,1.8581845156600001,0.033808264630000001,1.77366385408,1.9088969126099999
Ythan Estuary,90,50,41,9,5,36,25,1,2.67640678325,2.8936259527599999,0.21721916951,2.3505780289899998,3.2194547070200001
