Version,K,TrainRatio,ExperimentID,Seed,Threshold,EmpiricalNetworkXMeanTrophicLevel,EmpiricalNetworkXTrophicLevelStatusCode,PseudoNetworkXMeanTrophicLevel,PseudoNetworkXTrophicLevelNumSpeciesFull,PseudoNetworkXTrophicLevelNumSpeciesLargest,PseudoNetworkXTrophicLevelStatusCode,Foodweb,SourceFile,FiniteValue,FiniteReference
WLNM_dir_neg,10,60,11,1701054130,0.5,1.83578367157,0,1.88542085484,95,95,0,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,True,True
WLNM_dir_neg,10,60,12,1701054131,0.5,1.83578367157,0,1.8561591363900001,95,95,0,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,True,True
WLNM_dir_neg,10,60,13,1701054132,0.5,1.83578367157,0,1.92426076889,95,94,0,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,True,True
WLNM_dir_neg,10,60,14,1701054133,0.5,1.83578367157,0,2.9258033267300001,95,95,0,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,True,True
WLNM_dir_neg,10,60,15,1701054134,0.5,1.83578367157,0,1.88789735228,95,95,0,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,True,True
WLNM_dir_neg,10,60,16,1701054135,0.5,1.83578367157,0,1.8793721407099999,95,93,0,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,True,True
WLNM_dir_neg,10,60,17,1701054136,0.5,1.83578367157,0,,95,94,2,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,False,True
WLNM_dir_neg,10,60,18,1701054137,0.5,1.83578367157,0,1.82018871734,95,91,0,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,True,True
WLNM_dir_neg,10,60,19,1701054138,0.5,1.83578367157,0,,95,95,2,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,False,True
WLNM_dir_neg,10,60,20,1701054139,0.5,1.83578367157,0,2.3307412151400002,95,95,0,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,True,True
WLNM_dir_neg,10,60,21,1701054140,0.5,1.83578367157,0,,95,95,2,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,False,True
WLNM_dir_neg,10,60,22,1701054141,0.5,1.83578367157,0,1.8857773518600001,95,95,0,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,True,True
WLNM_dir_neg,10,60,23,1701054142,0.5,1.83578367157,0,,95,95,2,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,False,True
WLNM_dir_neg,10,60,24,1701054143,0.5,1.83578367157,0,,95,94,2,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,False,True
WLNM_dir_neg,10,60,25,1701054144,0.5,1.83578367157,0,3.2679373657999999,95,95,0,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,True,True
WLNM_dir_neg,10,60,26,1701054145,0.5,1.83578367157,0,1.83790880097,95,90,0,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,True,True
WLNM_dir_neg,10,60,27,1701054146,0.5,1.83578367157,0,1.97724293767,95,95,0,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,True,True
WLNM_dir_neg,10,60,28,1701054147,0.5,1.83578367157,0,,95,95,2,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,False,True
WLNM_dir_neg,10,60,29,1701054148,0.5,1.83578367157,0,1.8785958431900001,95,95,0,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,True,True
WLNM_dir_neg,10,60,30,1701054149,0.5,1.83578367157,0,1.8850319572900001,95,95,0,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,True,True
WLNM_dir_neg,10,60,31,1701054150,0.5,1.83578367157,0,,95,95,2,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,False,True
WLNM_dir_neg,10,60,32,1701054151,0.5,1.83578367157,0,2.3569150344400001,95,95,0,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,True,True
WLNM_dir_neg,10,60,33,1701054152,0.5,1.83578367157,0,,95,95,2,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,False,True
WLNM_dir_neg,10,60,34,1701054153,0.5,1.83578367157,0,2.3333478384099999,95,95,0,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,True,True
WLNM_dir_neg,10,60,35,1701054154,0.5,1.83578367157,0,,95,95,2,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,False,True
WLNM_dir_neg,10,60,36,1701054155,0.5,1.83578367157,0,1.88703062281,95,95,0,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,True,True
WLNM_dir_neg,10,60,37,1701054156,0.5,1.83578367157,0,3.2517492367899998,95,94,0,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,True,True
WLNM_dir_neg,10,60,38,1701054157,0.5,1.83578367157,0,,95,95,2,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,False,True
WLNM_dir_neg,10,60,39,1701054158,0.5,1.83578367157,0,1.88157619152,95,95,0,Dutch Microfauna food web PlotB,/Users/acw792/Developer/qmul-phd-framework/src/matlab/data/result_wlnm_dir_neg_sweep_train_ratios_10-90_pseudo_properties_Apocrita_neg_const/prediction_scores_logs/Dutch Microfauna food web PlotB_tax_mass_results_random_wlnm_dir_neg.csv,True,True
