TrainRatio,IQRMultiplier,MinimumRetainedFraction,MinimumRetainedRuns,IncludedFoodwebs
10,1.5,0.38,19,287
10,1.5,0.40000000000000002,20,287
10,1.5,0.5,25,275
10,2.0,0.38,19,288
10,2.0,0.40000000000000002,20,287
10,2.0,0.5,25,278
10,3.0,0.38,19,288
10,3.0,0.40000000000000002,20,287
10,3.0,0.5,25,280
10,5.0,0.38,19,288
10,5.0,0.40000000000000002,20,288
10,5.0,0.5,25,281
10,15.0,0.38,19,290
10,15.0,0.40000000000000002,20,289
10,15.0,0.5,25,282
10,none,0.38,19,290
10,none,0.40000000000000002,20,289
10,none,0.5,25,282
20,1.5,0.38,19,289
20,1.5,0.40000000000000002,20,289
20,1.5,0.5,25,286
20,2.0,0.38,19,289
20,2.0,0.40000000000000002,20,289
20,2.0,0.5,25,287
20,3.0,0.38,19,289
20,3.0,0.40000000000000002,20,289
20,3.0,0.5,25,287
20,5.0,0.38,19,289
20,5.0,0.40000000000000002,20,289
20,5.0,0.5,25,287
20,15.0,0.38,19,289
20,15.0,0.40000000000000002,20,289
20,15.0,0.5,25,289
20,none,0.38,19,289
20,none,0.40000000000000002,20,289
20,none,0.5,25,289
30,1.5,0.38,19,289
30,1.5,0.40000000000000002,20,288
30,1.5,0.5,25,288
30,2.0,0.38,19,289
30,2.0,0.40000000000000002,20,289
30,2.0,0.5,25,288
30,3.0,0.38,19,289
30,3.0,0.40000000000000002,20,289
30,3.0,0.5,25,288
30,5.0,0.38,19,289
30,5.0,0.40000000000000002,20,289
30,5.0,0.5,25,288
30,15.0,0.38,19,289
30,15.0,0.40000000000000002,20,289
30,15.0,0.5,25,288
30,none,0.38,19,289
30,none,0.40000000000000002,20,289
30,none,0.5,25,288
40,1.5,0.38,19,289
40,1.5,0.40000000000000002,20,289
40,1.5,0.5,25,288
40,2.0,0.38,19,289
40,2.0,0.40000000000000002,20,289
40,2.0,0.5,25,288
40,3.0,0.38,19,289
40,3.0,0.40000000000000002,20,289
40,3.0,0.5,25,289
40,5.0,0.38,19,289
40,5.0,0.40000000000000002,20,289
40,5.0,0.5,25,289
40,15.0,0.38,19,289
40,15.0,0.40000000000000002,20,289
40,15.0,0.5,25,289
40,none,0.38,19,289
40,none,0.40000000000000002,20,289
40,none,0.5,25,289
50,1.5,0.38,19,290
50,1.5,0.40000000000000002,20,290
50,1.5,0.5,25,289
50,2.0,0.38,19,290
50,2.0,0.40000000000000002,20,290
50,2.0,0.5,25,289
50,3.0,0.38,19,290
50,3.0,0.40000000000000002,20,290
50,3.0,0.5,25,289
50,5.0,0.38,19,290
50,5.0,0.40000000000000002,20,290
50,5.0,0.5,25,289
50,15.0,0.38,19,290
50,15.0,0.40000000000000002,20,290
50,15.0,0.5,25,289
50,none,0.38,19,290
50,none,0.40000000000000002,20,290
50,none,0.5,25,289
60,1.5,0.38,19,290
60,1.5,0.40000000000000002,20,289
60,1.5,0.5,25,288
60,2.0,0.38,19,290
60,2.0,0.40000000000000002,20,289
60,2.0,0.5,25,288
60,3.0,0.38,19,290
60,3.0,0.40000000000000002,20,290
60,3.0,0.5,25,288
60,5.0,0.38,19,290
60,5.0,0.40000000000000002,20,290
60,5.0,0.5,25,288
60,15.0,0.38,19,290
60,15.0,0.40000000000000002,20,290
60,15.0,0.5,25,289
60,none,0.38,19,290
60,none,0.40000000000000002,20,290
60,none,0.5,25,289
70,1.5,0.38,19,289
70,1.5,0.40000000000000002,20,289
70,1.5,0.5,25,289
70,2.0,0.38,19,289
70,2.0,0.40000000000000002,20,289
70,2.0,0.5,25,289
70,3.0,0.38,19,290
70,3.0,0.40000000000000002,20,289
70,3.0,0.5,25,289
70,5.0,0.38,19,290
70,5.0,0.40000000000000002,20,290
70,5.0,0.5,25,289
70,15.0,0.38,19,290
70,15.0,0.40000000000000002,20,290
70,15.0,0.5,25,289
70,none,0.38,19,290
70,none,0.40000000000000002,20,290
70,none,0.5,25,289
80,1.5,0.38,19,290
80,1.5,0.40000000000000002,20,290
80,1.5,0.5,25,290
80,2.0,0.38,19,290
80,2.0,0.40000000000000002,20,290
80,2.0,0.5,25,290
80,3.0,0.38,19,290
80,3.0,0.40000000000000002,20,290
80,3.0,0.5,25,290
80,5.0,0.38,19,290
80,5.0,0.40000000000000002,20,290
80,5.0,0.5,25,290
80,15.0,0.38,19,290
80,15.0,0.40000000000000002,20,290
80,15.0,0.5,25,290
80,none,0.38,19,290
80,none,0.40000000000000002,20,290
80,none,0.5,25,290
90,1.5,0.38,19,290
90,1.5,0.40000000000000002,20,290
90,1.5,0.5,25,290
90,2.0,0.38,19,290
90,2.0,0.40000000000000002,20,290
90,2.0,0.5,25,290
90,3.0,0.38,19,290
90,3.0,0.40000000000000002,20,290
90,3.0,0.5,25,290
90,5.0,0.38,19,290
90,5.0,0.40000000000000002,20,290
90,5.0,0.5,25,290
90,15.0,0.38,19,290
90,15.0,0.40000000000000002,20,290
90,15.0,0.5,25,290
90,none,0.38,19,290
90,none,0.40000000000000002,20,290
90,none,0.5,25,290
