Scenario,Foodweb,Version,TrainRatio,Threshold,K,CvK,Metric,MetricLabel,MetricFamily,SourceColumn,ReferenceColumn,TotalRunUnits,ValidRunsBeforeTukey,InvalidRunsBeforeTukey,OutlierRunsExcluded,RetainedRunsAfterTukey,ExpectedRuns,MinimumRetainedRuns,MeetsMinimumRetainedRuns,Q1,Q3,IQR,LowerFence,UpperFence,MeanBeforeTukey,MeanAfterTukey,StdAfterTukey,SEAfterTukey,ReferenceValue,DeltaAfterTukey,RelativeDeltaAfterTukey
tau1p00_checkconntrue,AEW01,WLNM_dir_neg,40,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,0,50,50,25,1,0.0929235537191,0.0957988980716,0.00287534435255,0.0886105371902,0.1001119146,0.0944931129477,0.0944931129477,0.00232654173629,0.000329022687688,0.124380165289,-0.0298870523413,-0.240287929124
tau1p00_checkconntrue,AEW02,WLNM_dir_neg,40,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,2,48,50,25,1,0.0981037151703,0.100930942552,0.0028272273817,0.0938628740978,0.105171783625,0.0996439628483,0.0993739966747,0.00229993573482,0.000331967128905,0.141554867561,-0.0421808708863,-0.297982482786
tau1p00_checkconntrue,AEW03,WLNM_dir_neg,40,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,0,50,50,25,1,0.0912308630267,0.094346971955,0.00311610892838,0.0865566996341,0.0990211353476,0.0927624983065,0.0927624983065,0.00230014956651,0.000325290271245,0.122679853678,-0.0299173553715,-0.243865267806
tau1p00_checkconntrue,AEW04,WLNM_dir_neg,40,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,0,50,50,25,1,0.0854838709677,0.0888870967742,0.0034032258065,0.080379032258,0.093991935484,0.087215483871,0.087215483871,0.00250553499702,0.000354336157379,0.116,-0.028784516129,-0.248142380423
tau1p00_checkconntrue,AEW05,WLNM_dir_neg,40,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,0,50,50,25,1,0.0832380952381,0.0860793650793,0.00284126984125,0.0789761904762,0.0903412698412,0.084813968254,0.084813968254,0.00211439797128,0.000299021028724,0.116761904762,-0.031947936508,-0.273616095705
tau1p00_checkconntrue,AEW06,WLNM_dir_neg,40,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,1,49,50,25,1,0.0861344537815,0.0891456582633,0.0030112044818,0.0816176470588,0.093662464986,0.0877044817927,0.0875435888641,0.00211134902116,0.000301621288737,0.119677871148,-0.0321342822839,-0.268506466364
tau1p00_checkconntrue,AEW07,WLNM_dir_neg,40,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,1,49,50,25,1,0.0802446705426,0.083121366279,0.00287669573645,0.0759296269379,0.0874364098837,0.0816472868217,0.0817747884037,0.00208212759456,0.000297446799222,0.116279069767,-0.0345042813633,-0.296736819725
tau1p00_checkconntrue,AEW08,WLNM_dir_neg,40,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,2,48,50,25,1,0.0886301742919,0.0913262527233,0.00269607843135,0.0845860566449,0.0953703703703,0.0898910675381,0.0896287218591,0.00199590607507,0.000288084227429,0.123148148148,-0.0335194262889,-0.272187822496
tau1p00_checkconntrue,AEW09,WLNM_dir_neg,40,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,0,50,50,25,1,0.0911934687465,0.0934519133655,0.002258444619,0.087805801818,0.096839580294,0.0921456626641,0.0921456626641,0.00187861073594,0.000265675678118,0.130625070138,-0.0384794074739,-0.2945790378
tau1p00_checkconntrue,AEW11,WLNM_dir_neg,40,0.5,10,0,PseudoConnectance,Pseudo connectance,pseudo_ecological,PseudoConnectance,EmpiricalConnectance,50,50,0,1,49,50,25,1,0.0958858543417,0.0990196078431,0.0031337535014,0.0911852240896,0.103720238095,0.0975028011204,0.0973275024295,0.00231412058886,0.000330588655552,0.128361344538,-0.0310338421085,-0.241769375509
