autoID,link.citation,link.methodology,interactionType,interaction.dimensionality,interaction.classification,conTaxonomy,con.taxonomy.level,con.common,con.lifestage,con.metabolic.type,con.movement.type,con.size.citation,con.size.method,con.length.min.cm.,con.length.mean.cm.,con.length.max.cm.,con.mass.min.g.,conMassMean,con.mass.max.g.,resTaxonomy,res.taxonomy.level,res.common,res.lifestage,res.metabolic.type,res.movement.type,res.size.citation,res.size.method,res.length.min.cm.,res.length.mean.cm.,res.length.max.cm.,res.mass.min.g.,resMassMean,res.mass.max.g.,geographic.location,longitude,latitude,ecosystem.type,study.site,altitude,depth,sampling.time,sampling.start.year,sampling.end.year,notes,foodwebName,bodyMassRatio
221641,Mendonca et al. (2018),,herbivorous,3D  ,ibi,Gammaridae,family,,,invertebrate,swimming,,,-999,-999.0,-999,-999,0.0014,-999,PhytoP,,PhytoPlamcton,,primary producer,other,,,-999,-999.0,-999,-999,0.0001,-999,England,-4.082385,50.316449,marine,Intertidal rocky pools,-999.0,-999.0,,,,,WP4,14.0
221642,Mendonca et al. (2018),,herbivorous,,ibi,Zooplankton,,Zooplankton,,invertebrate,swimming,,,-999,-999.0,-999,-999,0.001,-999,PhytoP,,PhytoPlamcton,,primary producer,other,,,-999,-999.0,-999,-999,0.0001,-999,England,-4.082385,50.316449,marine,Intertidal rocky pools,-999.0,-999.0,,,,,WP4,10.0
221643,Mendonca et al. (2018),,herbivorous,,ibi,Polychaeta,class,,,invertebrate,walking,,,-999,-999.0,-999,-999,0.005,-999,PhytoP,,PhytoPlamcton,,primary producer,other,,,-999,-999.0,-999,-999,0.0001,-999,England,-4.082385,50.316449,marine,Intertidal rocky pools,-999.0,-999.0,,,,,WP4,50.0
221644,Mendonca et al. (2018),,herbivorous,,ibi,Spirorbis spirorbis,species,,,invertebrate,sessile,,,-999,-999.0,-999,-999,0.0002,-999,PhytoP,,PhytoPlamcton,,primary producer,other,,,-999,-999.0,-999,-999,0.0001,-999,England,-4.082385,50.316449,marine,Intertidal rocky pools,-999.0,-999.0,,,,,WP4,2.0
221645,Mendonca et al. (2018),,herbivorous,,ibi,Harparticoida,order,,,invertebrate,swimming,,,-999,-999.0,-999,-999,0.001,-999,PhytoP,,PhytoPlamcton,,primary producer,other,,,-999,-999.0,-999,-999,0.0001,-999,England,-4.082385,50.316449,marine,Intertidal rocky pools,-999.0,-999.0,,,,,WP4,10.0
221646,Mendonca et al. (2018),,herbivorous,,ibi,Ostracoda,class,,,invertebrate,swimming,,,-999,-999.0,-999,-999,0.001,-999,PhytoP,,PhytoPlamcton,,primary producer,other,,,-999,-999.0,-999,-999,0.0001,-999,England,-4.082385,50.316449,marine,Intertidal rocky pools,-999.0,-999.0,,,,,WP4,10.0
221647,Mendonca et al. (2018),,herbivorous,,ibi,Amphipholis squamata,species,brooding snake star,,invertebrate,walking,,,-999,-999.0,-999,-999,0.0045,-999,PhytoP,,PhytoPlamcton,,primary producer,other,,,-999,-999.0,-999,-999,0.0001,-999,England,-4.082385,50.316449,marine,Intertidal rocky pools,-999.0,-999.0,,,,,WP4,44.99999999999999
221648,Mendonca et al. (2018),,herbivorous,,ibi,Bivalvia,class,,,invertebrate,sessile,,,-999,-999.0,-999,-999,0.001,-999,PhytoP,,PhytoPlamcton,,primary producer,other,,,-999,-999.0,-999,-999,0.0001,-999,England,-4.082385,50.316449,marine,Intertidal rocky pools,-999.0,-999.0,,,,,WP4,10.0
221649,Mendonca et al. (2018),,herbivorous,,ibi,Venerupis sp.,genus,,,invertebrate,sessile,,,-999,-999.0,-999,-999,0.007,-999,PhytoP,,PhytoPlamcton,,primary producer,other,,,-999,-999.0,-999,-999,0.0001,-999,England,-4.082385,50.316449,marine,Intertidal rocky pools,-999.0,-999.0,,,,,WP4,70.0
221650,Mendonca et al. (2018),,herbivorous,,ibi,Mytilus galloprovincialis,species,,,invertebrate,other,,,-999,-999.0,-999,-999,0.0059,-999,PhytoP,,PhytoPlamcton,,primary producer,other,,,-999,-999.0,-999,-999,0.0001,-999,England,-4.082385,50.316449,marine,Intertidal rocky pools,-999.0,-999.0,,,,,WP4,58.99999999999999
221651,Mendonca et al. (2018),,predacious,3D  ,ibi,Gammaridae,family,,,invertebrate,swimming,,,-999,-999.0,-999,-999,0.0014,-999,Zooplankton,,Zooplankton,,invertebrate,swimming,,,-999,-999.0,-999,-999,0.001,-999,England,-4.082385,50.316449,marine,Intertidal rocky pools,-999.0,-999.0,,,,,WP4,1.4
221652,Mendonca et al. (2018),,predacious,3D  ,ibi,Stenothoidae,family,,,invertebrate,swimming,,,-999,-999.0,-999,-999,0.0034,-999,Zooplankton,,Zooplankton,,invertebrate,swimming,,,-999,-999.0,-999,-999,0.001,-999,England,-4.082385,50.316449,marine,Intertidal rocky pools,-999.0,-999.0,,,,,WP4,3.4
221653,Mendonca et al. (2018),,predacious,3D  ,ibi,Ampithoidae,family,,,invertebrate,swimming,,,-999,-999.0,-999,-999,0.0067,-999,Zooplankton,,Zooplankton,,invertebrate,swimming,,,-999,-999.0,-999,-999,0.001,-999,England,-4.082385,50.316449,marine,Intertidal rocky pools,-999.0,-999.0,,,,,WP4,6.7
221654,Mendonca et al. (2018),,predacious,3D  ,ibi,Zooplankton,,Zooplankton,,invertebrate,swimming,,,-999,-999.0,-999,-999,0.001,-999,Zooplankton,,Zooplankton,,invertebrate,swimming,,,-999,-999.0,-999,-999,0.001,-999,England,-4.082385,50.316449,marine,Intertidal rocky pools,-999.0,-999.0,,,,,WP4,1.0
221655,Mendonca et al. (2018),,predacious,3D  ,ibi,Polychaeta,class,,,invertebrate,walking,,,-999,-999.0,-999,-999,0.005,-999,Zooplankton,,Zooplankton,,invertebrate,swimming,,,-999,-999.0,-999,-999,0.001,-999,England,-4.082385,50.316449,marine,Intertidal rocky pools,-999.0,-999.0,,,,,WP4,5.0
221656,Mendonca et al. (2018),,predacious,2D,ibi,Nereis sp.,genus,,,invertebrate,walking,,,-999,-999.0,-999,-999,0.0028,-999,Zooplankton,,Zooplankton,,invertebrate,swimming,,,-999,-999.0,-999,-999,0.001,-999,England,-4.082385,50.316449,marine,Intertidal rocky pools,-999.0,-999.0,,,,,WP4,2.8
221657,Mendonca et al. (2018),,predacious,3D  ,ibi,Oligochaeta,,,,invertebrate,walking,,,-999,-999.0,-999,-999,0.0008,-999,Zooplankton,,Zooplankton,,invertebrate,swimming,,,-999,-999.0,-999,-999,0.001,-999,England,-4.082385,50.316449,marine,Intertidal rocky pools,-999.0,-999.0,,,,,WP4,0.8
221658,Mendonca et al. (2018),,predacious,2D,ibi,Carcinus maenas,species,Shore Crab,,invertebrate,walking,,,-999,-999.0,-999,-999,0.01,-999,Zooplankton,,Zooplankton,,invertebrate,swimming,,,-999,-999.0,-999,-999,0.001,-999,England,-4.082385,50.316449,marine,Intertidal rocky pools,-999.0,-999.0,,,,,WP4,10.0
221659,Mendonca et al. (2018),,predacious,2D,ibi,Amphipholis squamata,species,brooding snake star,,invertebrate,walking,,,-999,-999.0,-999,-999,0.0045,-999,Zooplankton,,Zooplankton,,invertebrate,swimming,,,-999,-999.0,-999,-999,0.001,-999,England,-4.082385,50.316449,marine,Intertidal rocky pools,-999.0,-999.0,,,,,WP4,4.5
221660,Mendonca et al. (2018),,predacious,3D  ,nibi,Bivalvia,class,,,invertebrate,sessile,,,-999,-999.0,-999,-999,0.001,-999,Zooplankton,,Zooplankton,,invertebrate,swimming,,,-999,-999.0,-999,-999,0.001,-999,England,-4.082385,50.316449,marine,Intertidal rocky pools,-999.0,-999.0,,,,,WP4,1.0
221661,Mendonca et al. (2018),,predacious,3D  ,nibi,Venerupis sp.,genus,,,invertebrate,sessile,,,-999,-999.0,-999,-999,0.007,-999,Zooplankton,,Zooplankton,,invertebrate,swimming,,,-999,-999.0,-999,-999,0.001,-999,England,-4.082385,50.316449,marine,Intertidal rocky pools,-999.0,-999.0,,,,,WP4,7.0
221662,Mendonca et al. (2018),,predacious,3D  ,ibi,Mytilus galloprovincialis,species,,,invertebrate,sessile,,,-999,-999.0,-999,-999,0.0059,-999,Zooplankton,,Zooplankton,,invertebrate,swimming,,,-999,-999.0,-999,-999,0.001,-999,England,-4.082385,50.316449,marine,Intertidal rocky pools,-999.0,-999.0,,,,,WP4,5.8999999999999995
