"consumer","resource","res_group","flux.mte","flux.mte.2","flux.new","flux.new.2"
"Clinocera stagnalis","Cricotopus sp. B","invertebrate",2.19444753616494e-06,2.69168337566354e-06,2.20349180234026e-06,2.72205671079802e-06
"Clinocera stagnalis","Diamesa bertrami","invertebrate",1.48979653752622e-06,1.82736680056998e-06,1.49593663256626e-06,1.84798706547528e-06
"Clinocera stagnalis","Diamesa zernyi","invertebrate",7.88981817855314e-07,9.67755759854411e-07,7.92233552722778e-07,9.78676052444599e-07
"Clinocera stagnalis","Eukiefferiella minor","invertebrate",1.5985828951174e-05,1.96080285925969e-05,1.60517134572671e-05,1.98292883548535e-05
"Clinocera stagnalis","Metriocnemus sp. A","invertebrate",6.22240058482195e-07,7.63232291265194e-07,6.24804578536154e-07,7.71844712167912e-07
"Clinocera stagnalis","Metriocnemus sp. B","invertebrate",7.36638239200504e-09,9.03551745784376e-09,7.39674243570829e-09,9.13747551217582e-09
"Clinocera stagnalis","Micropsectra atrofasciata","invertebrate",2.12822764733612e-07,2.61045884376594e-07,2.13699899274627e-07,2.63991562981788e-07
"Clinocera stagnalis","Prosimulium ursinum","invertebrate",2.28214869894944e-06,2.79925658395538e-06,2.2915544194986e-06,2.83084379035589e-06
"Clinocera stagnalis","Rheocricotopus effesus","invertebrate",2.53716259366419e-07,3.11205360901732e-07,2.54761933662522e-07,3.14717046119904e-07
"Clinocera stagnalis","Simulium aureum","invertebrate",2.41069544153769e-08,2.95693049701013e-08,2.42063095873806e-08,2.99029691810077e-08
"Clinocera stagnalis","Simulium vittatum","invertebrate",3.57385453900532e-08,4.38364767949378e-08,3.58858393726613e-08,4.43311337864867e-08
"Clinocera stagnalis","Thienemanniella sp.","invertebrate",5.38744032757923e-06,6.60817054321884e-06,5.40964429624253e-06,6.68273807235311e-06
"Cricotopus sp. B","Achnanthes","plant",5.3144714242294e-05,6.51866774998715e-05,5.46057584665296e-05,6.62459654447958e-05
"Cricotopus sp. B","Amphora","plant",2.52987285296917e-05,3.10311209935791e-05,2.59942362904503e-05,3.15353788212012e-05
"Cricotopus sp. B","Cocconeis","plant",0.0002554755935687,0.0003133633394118,0.00026249907926692,0.000318455514999684
"Cricotopus sp. B","CPOM","detritus",2.33338834801213e-06,2.86210653105319e-06,2.39753741000951e-06,2.9086159569315e-06
"Cricotopus sp. B","Cymbella","plant",2.06132380533957e-07,2.52839538300768e-07,2.1179933214525e-07,2.56948198002326e-07
"Cricotopus sp. B","Diatoma","plant",0.000330354086901149,0.00040520841311537,0.000339436117682593,0.000411793077400428
"Cricotopus sp. B","Filamentous algae","plant",2.33338834801213e-06,2.86210653105319e-06,2.39753741000951e-06,2.9086159569315e-06
"Cricotopus sp. B","FPOM","detritus",2.33338834801213e-06,2.86210653105319e-06,2.39753741000951e-06,2.9086159569315e-06
"Cricotopus sp. B","Fragilaria","plant",2.17901359437613e-05,2.67275228533247e-05,2.23891861544896e-05,2.71618469183343e-05
"Cricotopus sp. B","Gomphonema","plant",4.26724470158706e-05,5.23415184635649e-05,4.38455896912135e-05,5.31920717001153e-05
"Cricotopus sp. B","Macrophytes","plant",2.33338834801213e-06,2.86210653105319e-06,2.39753741000951e-06,2.9086159569315e-06
"Cricotopus sp. B","Meridion","plant",5.91304962187358e-05,7.25287668279638e-05,6.07561004054983e-05,7.37073642240534e-05
"Cricotopus sp. B","Navicula","plant",1.25262644604321e-05,1.53645677336329e-05,1.28706341047532e-05,1.56142430047685e-05
"Cricotopus sp. B","Nitzschia","plant",6.0755865178801e-06,7.45224251574642e-06,6.24261536952323e-06,7.57334196370643e-06
"Cricotopus sp. B","Rhoicosphenia","plant",1.65064653745544e-08,2.02466350675674e-08,1.69602579340193e-08,2.0575644265074e-08
"Cricotopus sp. B","Rhopalodia","plant",8.26722842836042e-06,1.01404845441509e-05,8.49450947630479e-06,1.03052681079908e-05
"Cricotopus sp. B","Synedra","plant",0.000273557971209038,0.000335542969813003,0.0002810785741425,0.000340995565904094
"Diamesa bertrami","Achnanthes","plant",4.30952120018681e-05,5.28600769917906e-05,4.37591567238842e-05,5.3583284631496e-05
"Diamesa bertrami","Amphora","plant",2.05148166644411e-05,2.5163231319243e-05,2.08308773963594e-05,2.55075032568828e-05
"Diamesa bertrami","Cocconeis","plant",0.000207165943464314,0.000254107294358499,0.00021035763758427,0.000257583875306602
"Diamesa bertrami","CPOM","detritus",1.89215177791369e-06,2.32089097638818e-06,1.92130314132141e-06,2.35264435588681e-06
"Diamesa bertrami","Cymbella","plant",1.67153380467159e-07,2.0502835815146e-07,1.69728622578128e-07,2.07833463316071e-07
"Diamesa bertrami","Diatoma","plant",0.000267885143681113,0.000328584746707515,0.000272012305817962,0.000333080294437165
"Diamesa bertrami","Filamentous algae","plant",1.89215177791369e-06,2.32089097638818e-06,1.92130314132141e-06,2.35264435588681e-06
"Diamesa bertrami","FPOM","detritus",1.89215177791369e-06,2.32089097638818e-06,1.92130314132141e-06,2.35264435588681e-06
"Diamesa bertrami","Fragilaria","plant",1.76696881606073e-05,2.16734303697159e-05,1.79419155299354e-05,2.19699564308572e-05
"Diamesa bertrami","Gomphonema","plant",3.46032183445992e-05,4.24438980780501e-05,3.51363314937739e-05,4.30245962740382e-05
"Diamesa bertrami","Macrophytes","plant",1.89215177791369e-06,2.32089097638818e-06,1.92130314132141e-06,2.35264435588681e-06
"Diamesa bertrami","Meridion","plant",4.79491009906329e-05,5.88137997776209e-05,4.86878269661953e-05,5.96184635567881e-05
"Diamesa bertrami","Navicula","plant",1.01575863227463e-05,1.24591751642353e-05,1.03140787847655e-05,1.26296359576353e-05
"Diamesa bertrami","Nitzschia","plant",4.9267117672328e-06,6.04304634401143e-06,5.0026149621076e-06,6.12572456795276e-06
"Diamesa bertrami","Rhoicosphenia","plant",1.33851434683566e-08,1.64180585595639e-08,1.35913611650895e-08,1.66426830030972e-08
"Diamesa bertrami","Rhopalodia","plant",6.70392092360763e-06,8.22295006121362e-06,6.80720462282344e-06,8.33545274080884e-06
"Diamesa bertrami","Synedra","plant",0.000221828999029078,0.000272092824770895,0.000225246598949205,0.000275815475602711
"Diamesa zernyi","Achnanthes","plant",2.1178141035097e-05,2.59768571415706e-05,2.16542853280357e-05,2.6371255662858e-05
"Diamesa zernyi","Amphora","plant",1.00815301850669e-05,1.23658856059136e-05,1.03081913945543e-05,1.25536329908572e-05
"Diamesa zernyi","Cocconeis","plant",0.000101806891405152,0.000124875128070791,0.000104095797227625,0.000126771068198894
"Diamesa zernyi","Cymbella","plant",8.21436466276873e-08,1.00756424749408e-07,8.3990467294248e-08,1.02286178126223e-07
"Diamesa zernyi","Diatoma","plant",0.000131645932124429,0.000161475342259639,0.000134605703672167,0.000163926972026262
"Diamesa zernyi","FPOM","detritus",9.29854045287643e-07,1.14054796674169e-06,9.50759784662786e-07,1.15786455084918e-06
"Diamesa zernyi","Fragilaria","plant",8.68335786108449e-06,1.06509039812659e-05,8.87858421651619e-06,1.08126133350069e-05
"Diamesa zernyi","Gomphonema","plant",1.70049479821194e-05,2.08580679342583e-05,1.73872671346829e-05,2.1174749475268e-05
"Diamesa zernyi","Macrophytes","plant",9.29854045287643e-07,1.14054796674169e-06,9.50759784662786e-07,1.15786455084918e-06
"Diamesa zernyi","Meridion","plant",2.35634720451477e-05,2.89026759271173e-05,2.40932453013332e-05,2.93414962426305e-05
"Diamesa zernyi","Navicula","plant",4.99170988438273e-06,6.12277226522787e-06,5.1039375898039e-06,6.21573240718903e-06
"Diamesa zernyi","Nitzschia","plant",2.42111807319117e-06,2.96971477364013e-06,2.47555163046943e-06,3.01480302696446e-06
"Diamesa zernyi","Rhoicosphenia","plant",6.57781788231079e-09,8.06827356324069e-09,6.72570576536259e-09,8.19077164471922e-09
"Diamesa zernyi","Synedra","plant",0.000109012709507231,0.000133713699270958,0.000111463622427475,0.000135743832669348
"Dicranota exclusa","Achnanthes","plant",2.48092821438115e-06,3.04307718494594e-06,2.64455751307089e-06,3.11683112799703e-06
"Dicranota exclusa","Amphora","plant",1.18100793827078e-06,1.44861035936436e-06,1.25890116370393e-06,1.48371979611355e-06
"Dicranota exclusa","Cocconeis","plant",1.19262398379019e-05,1.46285846331775e-05,1.27128334399938e-05,1.49831322612465e-05
"Dicranota exclusa","CPOM","detritus",1.08928405585151e-07,1.33610293077905e-07,1.16112764451308e-07,1.36848556634103e-07
"Dicranota exclusa","Cricotopus sp. B","invertebrate",1.69703133952098e-06,2.08155855598696e-06,1.80895882147337e-06,2.13200852549652e-06
"Dicranota exclusa","Cymbella","plant",9.62277521020634e-09,1.1803182183305e-08,1.02574441014575e-08,1.20892515708564e-08
"Dicranota exclusa","Diamesa bertrami","invertebrate",1.15210383115844e-06,1.41315692367245e-06,1.22809068995485e-06,1.44740708853399e-06
"Dicranota exclusa","Diamesa zernyi","invertebrate",6.10143031057665e-07,7.48394220599601e-07,6.50384935556823e-07,7.66532776203423e-07
"Dicranota exclusa","Diatoma","plant",1.54217552321871e-05,1.89161424449338e-05,1.64388950988627e-05,1.93746060355163e-05
"Dicranota exclusa","Eukiefferiella minor","invertebrate",1.23623154672334e-05,1.51634698389797e-05,1.31776703809141e-05,1.55309812831499e-05
"Dicranota exclusa","Filamentous algae","plant",1.08928405585151e-07,1.33610293077905e-07,1.16112764451308e-07,1.36848556634103e-07
"Dicranota exclusa","FPOM","detritus",1.08928405585151e-07,1.33610293077905e-07,1.16112764451308e-07,1.36848556634103e-07
"Dicranota exclusa","Fragilaria","plant",1.01721805881978e-06,1.24770763175089e-06,1.08430854399157e-06,1.27794786294575e-06
"Dicranota exclusa","Gomphonema","plant",1.99205658150112e-06,2.44343302605375e-06,2.12344241503384e-06,2.50265361406388e-06
"Dicranota exclusa","Green algae","plant",1.08928405585151e-07,1.33610293077905e-07,1.16112764451308e-07,1.36848556634103e-07
"Dicranota exclusa","Macrophytes","plant",1.08928405585151e-07,1.33610293077905e-07,1.16112764451308e-07,1.36848556634103e-07
"Dicranota exclusa","Meridion","plant",2.76035949183208e-06,3.38582428268223e-06,2.94241864419361e-06,3.46788526114222e-06
"Dicranota exclusa","Metriocnemus sp. A","invertebrate",4.811966850641e-07,5.90230158737359e-07,5.12933950033092e-07,6.04535350117288e-07
"Dicranota exclusa","Metriocnemus sp. B","invertebrate",5.69664189829529e-09,6.98743353033038e-09,6.07236317604178e-09,7.15678538812047e-09
"Dicranota exclusa","Micropsectra atrofasciata","invertebrate",1.64582153623787e-07,2.01874521736915e-07,1.75437148225484e-07,2.06767280308175e-07
"Dicranota exclusa","Navicula","plant",5.84757362303291e-07,7.172564597554e-07,6.23324958311389e-07,7.34640340896346e-07
"Dicranota exclusa","Nitzschia","plant",2.83623578111685e-07,3.47889324109159e-07,3.02329934429965e-07,3.56320989768302e-07
"Dicranota exclusa","Oligochaeta indet.","invertebrate",1.04324605252933e-05,1.27963326078293e-05,1.11205321065131e-05,1.3106472617123e-05
"Dicranota exclusa","Rheocricotopus effesus","invertebrate",1.96206305411752e-07,2.40664332035086e-07,2.09147066844077e-07,2.46497224978831e-07
"Dicranota exclusa","Rhoicosphenia","plant",7.70563098349439e-10,9.45163576501687e-10,8.21385487585945e-10,9.68071158649165e-10
"Dicranota exclusa","Rhopalodia","plant",3.85934905382003e-07,4.73383187241956e-07,4.1138919202419e-07,4.84856401528436e-07
"Dicranota exclusa","Stauroneis","plant",6.45727284186111e-08,7.92041444332564e-08,6.8831614348632e-08,8.11237861652633e-08
"Dicranota exclusa","Synedra","plant",1.277037046332e-05,1.56639852676794e-05,1.3612638591357e-05,1.60436275202981e-05
"Dicranota exclusa","Terrestrial","detritus",1.08928405585151e-07,1.33610293077905e-07,1.16112764451308e-07,1.36848556634103e-07
"Dicranota exclusa","Thienemanniella sp.","invertebrate",4.16626732926092e-06,5.11029419657032e-06,4.44105295074291e-06,5.23415051839242e-06
"Eukiefferiella minor","Achnanthes","plant",0.000486837977840856,0.000597149701690288,0.000492265291488015,0.000604777820392312
"Eukiefferiella minor","Amphora","plant",0.000231751774657924,0.000284263983917075,0.000234335364325543,0.000287895233176501
"Eukiefferiella minor","Cocconeis","plant",0.00234031216714488,0.00287059920565514,0.0023664021780756,0.00290726885720933
"Eukiefferiella minor","CPOM","detritus",2.13752596294816e-05,2.62186404764625e-05,2.16135529500092e-05,2.65535630280337e-05
"Eukiefferiella minor","Cymbella","plant",1.88829825764327e-06,2.31616429403249e-06,1.90934917677877e-06,2.34575147479848e-06
"Eukiefferiella minor","Diatoma","plant",0.00302624480969409,0.00371195606670881,0.00305998165953506,0.00375937339173367
"Eukiefferiella minor","Filamentous algae","plant",2.13752596294816e-05,2.62186404764625e-05,2.16135529500092e-05,2.65535630280337e-05
"Eukiefferiella minor","FPOM","detritus",2.13752596294816e-05,2.62186404764625e-05,2.16135529500092e-05,2.65535630280337e-05
"Eukiefferiella minor","Fragilaria","plant",0.000199610927840793,0.000244840401611429,0.000201836208451803,0.000247968045552733
"Eukiefferiella minor","Gomphonema","plant",0.000390905626475164,0.000479480214904282,0.000395263477624594,0.000485605198278147
"Eukiefferiella minor","Macrophytes","plant",2.13752596294816e-05,2.62186404764625e-05,2.16135529500092e-05,2.65535630280337e-05
"Eukiefferiella minor","Meridion","plant",0.00054167138949345,0.0006644077154472,0.000547709990954889,0.000672895002480293
"Eukiefferiella minor","Navicula","plant",0.000114748218082682,0.000140748806207483,0.000116027441558117,0.000142546761724968
"Eukiefferiella minor","Nitzschia","plant",5.56560759942519e-05,6.82670841018156e-05,5.62765349447442e-05,6.91391425144642e-05
"Eukiefferiella minor","Rhoicosphenia","plant",1.51209284663966e-07,1.85471518944248e-07,1.52894979395248e-07,1.87840772011521e-07
"Eukiefferiella minor","Rhopalodia","plant",7.57328518516783e-05,9.28930197515689e-05,7.65771285085977e-05,9.4079655161833e-05
"Eukiefferiella minor","Synedra","plant",0.00250595776879102,0.00307377814014993,0.00253389441181563,0.00311304324310548
"Mesoveliidae indet. sp. A","Terrestrial","detritus",0.00101488344375222,0.00124484402054016,0.00110478234534207,0.001280730919058
"Metriocnemus sp. A","Achnanthes","plant",1.44441496355474e-05,1.77170229904632e-05,1.48806223659614e-05,1.80151046428727e-05
"Metriocnemus sp. A","Amphora","plant",6.87591655504942e-06,8.43391786710051e-06,7.08369272385169e-06,8.57581507948571e-06
"Metriocnemus sp. A","Cocconeis","plant",6.94354604093421e-05,8.5168713940638e-05,7.15336583480999e-05,8.66016426555062e-05
"Metriocnemus sp. A","CPOM","detritus",6.3418932507323e-07,7.77889120241234e-07,6.53353232488925e-07,7.90976785955597e-07
"Metriocnemus sp. A","Cymbella","plant",5.60245170496106e-08,6.87190095396659e-08,5.77174636434748e-08,6.98751787181195e-08
"Metriocnemus sp. A","Diatoma","plant",8.97866124965897e-05,0.000110131196226534,9.24997807273146e-05,0.000111984108477689
"Metriocnemus sp. A","Filamentous algae","plant",6.3418932507323e-07,7.77889120241234e-07,6.53353232488925e-07,7.90976785955597e-07
"Metriocnemus sp. A","FPOM","detritus",6.3418932507323e-07,7.77889120241234e-07,6.53353232488925e-07,7.90976785955597e-07
"Metriocnemus sp. A","Fragilaria","plant",5.92231962553541e-06,7.26424715957363e-06,6.10128004082907e-06,7.38646514156769e-06
"Metriocnemus sp. A","Gomphonema","plant",1.15979024217179e-05,1.42258498444956e-05,1.19483673687593e-05,1.44651939392038e-05
"Metriocnemus sp. A","Macrophytes","plant",6.3418932507323e-07,7.77889120241234e-07,6.53353232488925e-07,7.90976785955597e-07
"Metriocnemus sp. A","Meridion","plant",1.60710194340999e-05,1.97125222306891e-05,1.65566528503914e-05,2.00441773401759e-05
"Metriocnemus sp. A","Navicula","plant",3.40450110270668e-06,4.175920758898e-06,3.50737817955021e-06,4.24617891461713e-06
"Metriocnemus sp. A","Nitzschia","plant",1.65127768658008e-06,2.02543766680311e-06,1.70117592903248e-06,2.05951482564057e-06
"Metriocnemus sp. A","Rhoicosphenia","plant",4.48627599608588e-09,5.50281303986256e-09,4.6218421029741e-09,5.59539561452568e-09
"Metriocnemus sp. A","Rhopalodia","plant",2.24694188675226e-06,2.75607232480153e-06,2.31483988595178e-06,2.80244211238826e-06
"Metriocnemus sp. A","Synedra","plant",7.43500520508128e-05,9.11968938818363e-05,7.65967589213351e-05,9.27312442542178e-05
"Metriocnemus sp. B","Achnanthes","plant",3.36057064124134e-07,4.12203617479984e-07,3.27916462729704e-07,4.14320020177391e-07
"Metriocnemus sp. B","Amphora","plant",1.59974826414547e-07,1.96223228711689e-07,1.56099617606251e-07,1.97230709851903e-07
"Metriocnemus sp. B","Cocconeis","plant",1.61548291592361e-06,1.98153222476183e-06,1.57634967373951e-06,1.99170612903545e-06
"Metriocnemus sp. B","CPOM","detritus",1.4755025948947e-08,1.8098340197129e-08,1.43976021729347e-08,1.81912636320226e-08
"Metriocnemus sp. B","Cymbella","plant",1.30346439172368e-09,1.59881399584679e-09,1.27188944455656e-09,1.6070228860893e-09
"Metriocnemus sp. B","Diatoma","plant",2.08897208590235e-06,2.56230843671713e-06,2.03836910536468e-06,2.57546425645546e-06
