|====================================================================================|
|    Iteration   |      AUC       |  Time Elapsed  |Encoded subgraph|   Train ratio  |
|                |                |   (hh:mm:ss)   |      (K)       |       %        |
|====================================================================================|
|              1 |         0.5616 |       00:00:01 |              5 |            90% |
|              2 |         0.5502 |       00:00:01 |              5 |            90% |
|              3 |         0.8014 |       00:00:01 |              5 |            90% |
|              4 |         0.5525 |       00:00:01 |              5 |            90% |
|              5 |         0.8630 |       00:00:01 |              5 |            90% |
|              6 |         0.4315 |       00:00:01 |              5 |            90% |
|              7 |         0.9110 |       00:00:01 |              5 |            90% |
|              8 |         0.5297 |       00:00:01 |              5 |            90% |
|              9 |         0.6872 |       00:00:01 |              5 |            90% |
|             10 |         0.8379 |       00:00:01 |              5 |            90% |
|             11 |         0.6941 |       00:00:01 |              5 |            90% |
|             12 |         0.8288 |       00:00:01 |              5 |            90% |
|             13 |         0.5936 |       00:00:01 |              5 |            90% |
|             14 |         0.4977 |       00:00:01 |              5 |            90% |
|             15 |         0.6895 |       00:00:01 |              5 |            90% |
|             16 |         0.8242 |       00:00:01 |              5 |            90% |
|             17 |         0.9018 |       00:00:01 |              5 |            90% |
|             18 |         0.7123 |       00:00:01 |              5 |            90% |
|             19 |         0.8402 |       00:00:01 |              5 |            90% |
|             20 |         0.5137 |       00:00:01 |              5 |            90% |
|             21 |         0.5982 |       00:00:01 |              5 |            90% |
|             22 |         0.9338 |       00:00:01 |              5 |            90% |
|             23 |         0.4064 |       00:00:01 |              5 |            90% |
|             24 |         0.6301 |       00:00:01 |              5 |            90% |
|             25 |         0.7991 |       00:00:01 |              5 |            90% |
|             26 |         0.7626 |       00:00:01 |              5 |            90% |
|             27 |         0.6553 |       00:00:01 |              5 |            90% |
|             28 |         0.5571 |       00:00:01 |              5 |            90% |
|             29 |         0.7808 |       00:00:01 |              5 |            90% |
|             30 |         0.7922 |       00:00:01 |              5 |            90% |
|             31 |         0.4566 |       00:00:01 |              5 |            90% |
|             32 |         0.6826 |       00:00:01 |              5 |            90% |
|             33 |         0.4635 |       00:00:01 |              5 |            90% |
|             34 |         0.7397 |       00:00:01 |              5 |            90% |
|             35 |         0.8493 |       00:00:01 |              5 |            90% |
|             36 |         0.7055 |       00:00:01 |              5 |            90% |
|             37 |         0.7032 |       00:00:01 |              5 |            90% |
|             38 |         0.6895 |       00:00:01 |              5 |            90% |
|             39 |         0.7397 |       00:00:01 |              5 |            90% |
|             40 |         0.7032 |       00:00:01 |              5 |            90% |
|             41 |         0.9384 |       00:00:01 |              5 |            90% |
|             42 |         0.9543 |       00:00:01 |              5 |            90% |
|             43 |         0.8721 |       00:00:01 |              5 |            90% |
|             44 |         0.7785 |       00:00:01 |              5 |            90% |
|             45 |         0.6005 |       00:00:01 |              5 |            90% |
|             46 |         0.5571 |       00:00:01 |              5 |            90% |
|             47 |         0.4909 |       00:00:01 |              5 |            90% |
|             48 |         0.8379 |       00:00:01 |              5 |            90% |
|             49 |         0.5959 |       00:00:01 |              5 |            90% |
|             50 |         0.6986 |       00:00:01 |              5 |            90% |
|              1 |         0.6438 |       00:00:01 |              6 |            90% |
|              2 |         0.7032 |       00:00:01 |              6 |            90% |
|              3 |         0.7694 |       00:00:01 |              6 |            90% |
|              4 |         0.4658 |       00:00:01 |              6 |            90% |
|              5 |         0.7580 |       00:00:01 |              6 |            90% |
|              6 |         0.5662 |       00:00:01 |              6 |            90% |
|              7 |         0.5799 |       00:00:01 |              6 |            90% |
|              8 |         0.5594 |       00:00:01 |              6 |            90% |
|              9 |         0.5457 |       00:00:01 |              6 |            90% |
|             10 |         0.6050 |       00:00:01 |              6 |            90% |
|             11 |         0.8425 |       00:00:01 |              6 |            90% |
|             12 |         0.6986 |       00:00:01 |              6 |            90% |
|             13 |         0.8653 |       00:00:01 |              6 |            90% |
|             14 |         0.8516 |       00:00:01 |              6 |            90% |
|             15 |         0.6164 |       00:00:01 |              6 |            90% |
|             16 |         0.7283 |       00:00:01 |              6 |            90% |
|             17 |         0.8311 |       00:00:01 |              6 |            90% |
|             18 |         0.6507 |       00:00:01 |              6 |            90% |
|             19 |         0.8562 |       00:00:01 |              6 |            90% |
|             20 |         0.3196 |       00:00:01 |              6 |            90% |
|             21 |         0.8014 |       00:00:01 |              6 |            90% |
|             22 |         0.9406 |       00:00:01 |              6 |            90% |
|             23 |         0.8630 |       00:00:01 |              6 |            90% |
|             24 |         0.3584 |       00:00:01 |              6 |            90% |
|             25 |         0.6712 |       00:00:01 |              6 |            90% |
|             26 |         0.8584 |       00:00:01 |              6 |            90% |
|             27 |         0.7329 |       00:00:01 |              6 |            90% |
|             28 |         0.8379 |       00:00:01 |              6 |            90% |
|             29 |         0.4932 |       00:00:01 |              6 |            90% |
|             30 |         0.7329 |       00:00:01 |              6 |            90% |
|             31 |         0.6187 |       00:00:01 |              6 |            90% |
|             32 |         0.3379 |       00:00:01 |              6 |            90% |
|             33 |         0.8105 |       00:00:01 |              6 |            90% |
|             34 |         0.5411 |       00:00:01 |              6 |            90% |
|             35 |         0.5708 |       00:00:01 |              6 |            90% |
|             36 |         0.8014 |       00:00:01 |              6 |            90% |
|             37 |         0.7352 |       00:00:01 |              6 |            90% |
|             38 |         0.4498 |       00:00:01 |              6 |            90% |
|             39 |         0.3790 |       00:00:01 |              6 |            90% |
|             40 |         0.6301 |       00:00:01 |              6 |            90% |
|             41 |         0.8311 |       00:00:01 |              6 |            90% |
|             42 |         0.4772 |       00:00:01 |              6 |            90% |
|             43 |         0.7169 |       00:00:01 |              6 |            90% |
|             44 |         0.8539 |       00:00:01 |              6 |            90% |
|             45 |         0.5868 |       00:00:01 |              6 |            90% |
|             46 |         0.6895 |       00:00:01 |              6 |            90% |
|             47 |         0.7420 |       00:00:01 |              6 |            90% |
|             48 |         0.9361 |       00:00:01 |              6 |            90% |
|             49 |         0.7854 |       00:00:01 |              6 |            90% |
|             50 |         0.4749 |       00:00:01 |              6 |            90% |
|              1 |         0.5594 |       00:00:01 |              7 |            90% |
|              2 |         0.4886 |       00:00:01 |              7 |            90% |
|              3 |         0.4817 |       00:00:01 |              7 |            90% |
|              4 |         0.8128 |       00:00:01 |              7 |            90% |
|              5 |         0.7740 |       00:00:01 |              7 |            90% |
|              6 |         0.5411 |       00:00:01 |              7 |            90% |
|              7 |         0.9406 |       00:00:01 |              7 |            90% |
|              8 |         0.5913 |       00:00:01 |              7 |            90% |
|              9 |         0.7169 |       00:00:01 |              7 |            90% |
|             10 |         0.8721 |       00:00:01 |              7 |            90% |
|             11 |         0.9384 |       00:00:01 |              7 |            90% |
|             12 |         0.9247 |       00:00:01 |              7 |            90% |
|             13 |         0.9361 |       00:00:01 |              7 |            90% |
|             14 |         0.7648 |       00:00:01 |              7 |            90% |
|             15 |         0.8265 |       00:00:01 |              7 |            90% |
|             16 |         0.6096 |       00:00:01 |              7 |            90% |
|             17 |         0.6735 |       00:00:01 |              7 |            90% |
|             18 |         0.9315 |       00:00:01 |              7 |            90% |
|             19 |         0.6804 |       00:00:01 |              7 |            90% |
|             20 |         0.8858 |       00:00:01 |              7 |            90% |
|             21 |         0.7032 |       00:00:01 |              7 |            90% |
|             22 |         0.5868 |       00:00:01 |              7 |            90% |
|             23 |         0.9155 |       00:00:01 |              7 |            90% |
|             24 |         0.3767 |       00:00:01 |              7 |            90% |
|             25 |         0.6781 |       00:00:01 |              7 |            90% |
|             26 |         0.6758 |       00:00:01 |              7 |            90% |
|             27 |         0.4840 |       00:00:01 |              7 |            90% |
|             28 |         0.6553 |       00:00:01 |              7 |            90% |
|             29 |         0.5890 |       00:00:01 |              7 |            90% |
|             30 |         0.7466 |       00:00:01 |              7 |            90% |
|             31 |         0.8356 |       00:00:01 |              7 |            90% |
|             32 |         0.6393 |       00:00:01 |              7 |            90% |
|             33 |         0.6279 |       00:00:01 |              7 |            90% |
|             34 |         0.6758 |       00:00:01 |              7 |            90% |
|             35 |         0.7831 |       00:00:01 |              7 |            90% |
|             36 |         0.7580 |       00:00:01 |              7 |            90% |
|             37 |         0.7237 |       00:00:01 |              7 |            90% |
|             38 |         0.7374 |       00:00:01 |              7 |            90% |
|             39 |         0.6119 |       00:00:01 |              7 |            90% |
|             40 |         0.8950 |       00:00:01 |              7 |            90% |
|             41 |         0.8653 |       00:00:01 |              7 |            90% |
|             42 |         0.5936 |       00:00:01 |              7 |            90% |
|             43 |         0.4018 |       00:00:01 |              7 |            90% |
|             44 |         0.8151 |       00:00:01 |              7 |            90% |
|             45 |         0.8219 |       00:00:01 |              7 |            90% |
|             46 |         0.3927 |       00:00:01 |              7 |            90% |
|             47 |         0.8356 |       00:00:01 |              7 |            90% |
|             48 |         0.7717 |       00:00:01 |              7 |            90% |
|             49 |         0.4178 |       00:00:01 |              7 |            90% |
|             50 |         0.6689 |       00:00:01 |              7 |            90% |
|              1 |         0.8995 |       00:00:01 |              8 |            90% |
|              2 |         0.7055 |       00:00:01 |              8 |            90% |
|              3 |         0.5548 |       00:00:01 |              8 |            90% |
|              4 |         0.7557 |       00:00:01 |              8 |            90% |
|              5 |         0.7694 |       00:00:01 |              8 |            90% |
|              6 |         0.9155 |       00:00:01 |              8 |            90% |
|              7 |         0.7443 |       00:00:01 |              8 |            90% |
|              8 |         0.6005 |       00:00:01 |              8 |            90% |
|              9 |         0.9680 |       00:00:01 |              8 |            90% |
|             10 |         0.9521 |       00:00:01 |              8 |            90% |
|             11 |         0.5068 |       00:00:01 |              8 |            90% |
|             12 |         0.8881 |       00:00:01 |              8 |            90% |
|             13 |         0.7192 |       00:00:01 |              8 |            90% |
|             14 |         0.8356 |       00:00:01 |              8 |            90% |
|             15 |         0.8744 |       00:00:01 |              8 |            90% |
|             16 |         0.6027 |       00:00:01 |              8 |            90% |
|             17 |         0.6324 |       00:00:01 |              8 |            90% |
|             18 |         0.4361 |       00:00:01 |              8 |            90% |
|             19 |         0.6416 |       00:00:01 |              8 |            90% |
|             20 |         0.7055 |       00:00:01 |              8 |            90% |
|             21 |         0.8881 |       00:00:01 |              8 |            90% |
|             22 |         0.6918 |       00:00:01 |              8 |            90% |
|             23 |         0.6712 |       00:00:01 |              8 |            90% |
|             24 |         0.8699 |       00:00:01 |              8 |            90% |
|             25 |         0.8333 |       00:00:01 |              8 |            90% |
|             26 |         0.5845 |       00:00:01 |              8 |            90% |
|             27 |         0.7329 |       00:00:01 |              8 |            90% |
|             28 |         0.9224 |       00:00:01 |              8 |            90% |
|             29 |         0.8653 |       00:00:01 |              8 |            90% |
|             30 |         0.8562 |       00:00:01 |              8 |            90% |
|             31 |         0.5046 |       00:00:01 |              8 |            90% |
|             32 |         0.5982 |       00:00:01 |              8 |            90% |
|             33 |         0.8242 |       00:00:01 |              8 |            90% |
|             34 |         0.9087 |       00:00:01 |              8 |            90% |
|             35 |         0.7854 |       00:00:01 |              8 |            90% |
|             36 |         0.6826 |       00:00:01 |              8 |            90% |
|             37 |         0.9224 |       00:00:01 |              8 |            90% |
|             38 |         0.6712 |       00:00:01 |              8 |            90% |
|             39 |         0.8242 |       00:00:01 |              8 |            90% |
|             40 |         0.6142 |       00:00:01 |              8 |            90% |
|             41 |         0.3653 |       00:00:01 |              8 |            90% |
|             42 |         0.9201 |       00:00:01 |              8 |            90% |
|             43 |         0.8744 |       00:00:01 |              8 |            90% |
|             44 |         0.1826 |       00:00:01 |              8 |            90% |
|             45 |         0.9680 |       00:00:01 |              8 |            90% |
|             46 |         0.6530 |       00:00:01 |              8 |            90% |
|             47 |         0.4817 |       00:00:01 |              8 |            90% |
|             48 |         0.8813 |       00:00:01 |              8 |            90% |
|             49 |         0.7306 |       00:00:01 |              8 |            90% |
|             50 |         0.6005 |       00:00:01 |              8 |            90% |
|              1 |         0.5594 |       00:00:01 |              9 |            90% |
|              2 |         0.4612 |       00:00:01 |              9 |            90% |
|              3 |         0.5731 |       00:00:01 |              9 |            90% |
|              4 |         0.7694 |       00:00:01 |              9 |            90% |
|              5 |         0.7489 |       00:00:01 |              9 |            90% |
|              6 |         0.7009 |       00:00:01 |              9 |            90% |
|              7 |         0.7489 |       00:00:01 |              9 |            90% |
|              8 |         0.2968 |       00:00:01 |              9 |            90% |
|              9 |         0.7443 |       00:00:01 |              9 |            90% |
|             10 |         0.6804 |       00:00:02 |              9 |            90% |
|             11 |         0.9247 |       00:00:01 |              9 |            90% |
|             12 |         0.6598 |       00:00:01 |              9 |            90% |
|             13 |         0.7511 |       00:00:01 |              9 |            90% |
|             14 |         0.9452 |       00:00:01 |              9 |            90% |
|             15 |         0.8607 |       00:00:01 |              9 |            90% |
|             16 |         0.8402 |       00:00:01 |              9 |            90% |
|             17 |         0.8904 |       00:00:01 |              9 |            90% |
|             18 |         0.7352 |       00:00:01 |              9 |            90% |
|             19 |         0.9452 |       00:00:01 |              9 |            90% |
|             20 |         0.3927 |       00:00:01 |              9 |            90% |
|             21 |         0.4977 |       00:00:01 |              9 |            90% |
|             22 |         0.6233 |       00:00:01 |              9 |            90% |
|             23 |         0.5411 |       00:00:01 |              9 |            90% |
|             24 |         0.7055 |       00:00:01 |              9 |            90% |
|             25 |         0.8721 |       00:00:01 |              9 |            90% |
|             26 |         0.7420 |       00:00:01 |              9 |            90% |
|             27 |         0.7329 |       00:00:01 |              9 |            90% |
|             28 |         0.8128 |       00:00:01 |              9 |            90% |
|             29 |         0.7032 |       00:00:01 |              9 |            90% |
|             30 |         0.8516 |       00:00:01 |              9 |            90% |
|             31 |         0.8630 |       00:00:01 |              9 |            90% |
|             32 |         0.4954 |       00:00:01 |              9 |            90% |
|             33 |         0.8630 |       00:00:01 |              9 |            90% |
|             34 |         0.7123 |       00:00:01 |              9 |            90% |
|             35 |         0.4909 |       00:00:01 |              9 |            90% |
|             36 |         0.4589 |       00:00:01 |              9 |            90% |
|             37 |         0.5502 |       00:00:01 |              9 |            90% |
|             38 |         0.6598 |       00:00:01 |              9 |            90% |
|             39 |         0.6918 |       00:00:01 |              9 |            90% |
|             40 |         0.3265 |       00:00:01 |              9 |            90% |
|             41 |         0.4155 |       00:00:01 |              9 |            90% |
|             42 |         0.9406 |       00:00:01 |              9 |            90% |
|             43 |         0.9315 |       00:00:01 |              9 |            90% |
|             44 |         0.7968 |       00:00:01 |              9 |            90% |
|             45 |         0.6804 |       00:00:01 |              9 |            90% |
