|====================================================================================|
|    Iteration   |      AUC       |  Time Elapsed  |Encoded subgraph|   Train ratio  |
|                |                |   (hh:mm:ss)   |      (K)       |       %        |
|====================================================================================|
|              1 |         0.7355 |       00:00:46 |              5 |            90% |
|              2 |         0.7928 |       00:00:45 |              5 |            90% |
|              3 |         0.7567 |       00:00:49 |              5 |            90% |
|              4 |         0.7219 |       00:00:48 |              5 |            90% |
|              5 |         0.7584 |       00:00:50 |              5 |            90% |
|              6 |         0.7607 |       00:00:45 |              5 |            90% |
|              7 |         0.7240 |       00:00:45 |              5 |            90% |
|              8 |         0.7029 |       00:00:45 |              5 |            90% |
|              9 |         0.7433 |       00:00:45 |              5 |            90% |
|             10 |         0.7134 |       00:00:46 |              5 |            90% |
|             11 |         0.7553 |       00:00:45 |              5 |            90% |
|             12 |         0.7427 |       00:00:45 |              5 |            90% |
|             13 |         0.7372 |       00:00:43 |              5 |            90% |
|             14 |         0.7090 |       00:00:46 |              5 |            90% |
|             15 |         0.7356 |       00:00:47 |              5 |            90% |
|             16 |         0.7280 |       00:00:48 |              5 |            90% |
|             17 |         0.7469 |       00:00:44 |              5 |            90% |
|             18 |         0.7646 |       00:00:48 |              5 |            90% |
|             19 |         0.7290 |       00:00:46 |              5 |            90% |
|             20 |         0.7597 |       00:00:47 |              5 |            90% |
|             21 |         0.7169 |       00:00:44 |              5 |            90% |
|             22 |         0.7446 |       00:00:46 |              5 |            90% |
|             23 |         0.7502 |       00:00:46 |              5 |            90% |
|             24 |         0.7877 |       00:00:46 |              5 |            90% |
|             25 |         0.6880 |       00:00:43 |              5 |            90% |
|             26 |         0.7639 |       00:00:44 |              5 |            90% |
|             27 |         0.7647 |       00:00:44 |              5 |            90% |
|             28 |         0.7612 |       00:00:44 |              5 |            90% |
|             29 |         0.7432 |       00:00:45 |              5 |            90% |
|             30 |         0.7823 |       00:00:46 |              5 |            90% |
|             31 |         0.7323 |       00:00:45 |              5 |            90% |
|             32 |         0.7516 |       00:00:43 |              5 |            90% |
|             33 |         0.7523 |       00:00:45 |              5 |            90% |
|             34 |         0.7141 |       00:00:46 |              5 |            90% |
|             35 |         0.7142 |       00:00:45 |              5 |            90% |
|             36 |         0.7606 |       00:00:43 |              5 |            90% |
|             37 |         0.7587 |       00:00:43 |              5 |            90% |
|             38 |         0.7651 |       00:00:45 |              5 |            90% |
|             39 |         0.7327 |       00:00:45 |              5 |            90% |
|             40 |         0.7558 |       00:00:46 |              5 |            90% |
|             41 |         0.7328 |       00:00:45 |              5 |            90% |
|             42 |         0.7146 |       00:00:44 |              5 |            90% |
|             43 |         0.7234 |       00:00:45 |              5 |            90% |
|             44 |         0.7401 |       00:00:45 |              5 |            90% |
|             45 |         0.7514 |       00:00:44 |              5 |            90% |
|             46 |         0.7288 |       00:00:45 |              5 |            90% |
|             47 |         0.7343 |       00:00:44 |              5 |            90% |
|             48 |         0.7331 |       00:00:45 |              5 |            90% |
|             49 |         0.7344 |       00:00:33 |              5 |            90% |
|             50 |         0.7270 |       00:00:32 |              5 |            90% |
|              1 |         0.7838 |       00:00:46 |              6 |            90% |
|              2 |         0.8028 |       00:00:44 |              6 |            90% |
|              3 |         0.8053 |       00:00:47 |              6 |            90% |
|              4 |         0.7453 |       00:00:47 |              6 |            90% |
|              5 |         0.7822 |       00:00:45 |              6 |            90% |
|              6 |         0.7880 |       00:00:47 |              6 |            90% |
|              7 |         0.8115 |       00:00:43 |              6 |            90% |
|              8 |         0.7640 |       00:00:44 |              6 |            90% |
|              9 |         0.7865 |       00:00:46 |              6 |            90% |
|             10 |         0.7659 |       00:00:47 |              6 |            90% |
|             11 |         0.7941 |       00:00:45 |              6 |            90% |
|             12 |         0.7556 |       00:00:44 |              6 |            90% |
|             13 |         0.8005 |       00:00:44 |              6 |            90% |
|             14 |         0.8018 |       00:00:45 |              6 |            90% |
|             15 |         0.7728 |       00:00:45 |              6 |            90% |
|             16 |         0.7728 |       00:00:47 |              6 |            90% |
|             17 |         0.8108 |       00:00:44 |              6 |            90% |
|             18 |         0.8037 |       00:00:43 |              6 |            90% |
|             19 |         0.8172 |       00:00:46 |              6 |            90% |
|             20 |         0.7716 |       00:00:47 |              6 |            90% |
|             21 |         0.8065 |       00:00:45 |              6 |            90% |
|             22 |         0.8048 |       00:00:45 |              6 |            90% |
|             23 |         0.7879 |       00:00:44 |              6 |            90% |
|             24 |         0.7922 |       00:00:43 |              6 |            90% |
|             25 |         0.7708 |       00:00:46 |              6 |            90% |
|             26 |         0.7992 |       00:00:44 |              6 |            90% |
|             27 |         0.7816 |       00:00:45 |              6 |            90% |
|             28 |         0.7950 |       00:00:46 |              6 |            90% |
|             29 |         0.7671 |       00:00:45 |              6 |            90% |
|             30 |         0.8141 |       00:00:43 |              6 |            90% |
|             31 |         0.7792 |       00:00:46 |              6 |            90% |
|             32 |         0.8254 |       00:00:45 |              6 |            90% |
|             33 |         0.7807 |       00:00:45 |              6 |            90% |
|             34 |         0.7996 |       00:00:45 |              6 |            90% |
|             35 |         0.7907 |       00:00:46 |              6 |            90% |
|             36 |         0.8054 |       00:00:43 |              6 |            90% |
|             37 |         0.8395 |       00:00:45 |              6 |            90% |
|             38 |         0.8177 |       00:00:45 |              6 |            90% |
|             39 |         0.7488 |       00:00:45 |              6 |            90% |
|             40 |         0.8087 |       00:00:46 |              6 |            90% |
|             41 |         0.7831 |       00:00:45 |              6 |            90% |
|             42 |         0.7463 |       00:00:43 |              6 |            90% |
|             43 |         0.7750 |       00:00:45 |              6 |            90% |
|             44 |         0.8057 |       00:00:45 |              6 |            90% |
|             45 |         0.7893 |       00:00:43 |              6 |            90% |
|             46 |         0.8162 |       00:00:45 |              6 |            90% |
|             47 |         0.7783 |       00:00:44 |              6 |            90% |
|             48 |         0.7884 |       00:00:43 |              6 |            90% |
|             49 |         0.7898 |       00:00:31 |              6 |            90% |
|             50 |         0.8002 |       00:00:32 |              6 |            90% |
|              1 |         0.8451 |       00:00:45 |              7 |            90% |
|              2 |         0.8362 |       00:00:44 |              7 |            90% |
|              3 |         0.8432 |       00:00:45 |              7 |            90% |
|              4 |         0.8589 |       00:00:47 |              7 |            90% |
|              5 |         0.8561 |       00:00:46 |              7 |            90% |
|              6 |         0.8183 |       00:00:44 |              7 |            90% |
|              7 |         0.8637 |       00:00:44 |              7 |            90% |
|              8 |         0.8094 |       00:00:43 |              7 |            90% |
|              9 |         0.8431 |       00:00:46 |              7 |            90% |
|             10 |         0.8208 |       00:00:46 |              7 |            90% |
|             11 |         0.8192 |       00:00:46 |              7 |            90% |
|             12 |         0.8255 |       00:00:44 |              7 |            90% |
|             13 |         0.8133 |       00:00:44 |              7 |            90% |
|             14 |         0.8152 |       00:00:47 |              7 |            90% |
|             15 |         0.8473 |       00:00:46 |              7 |            90% |
|             16 |         0.8151 |       00:00:48 |              7 |            90% |
|             17 |         0.8241 |       00:00:45 |              7 |            90% |
|             18 |         0.8503 |       00:00:44 |              7 |            90% |
|             19 |         0.8247 |       00:00:46 |              7 |            90% |
|             20 |         0.8453 |       00:00:45 |              7 |            90% |
|             21 |         0.8128 |       00:00:45 |              7 |            90% |
|             22 |         0.7935 |       00:00:45 |              7 |            90% |
|             23 |         0.8096 |       00:00:45 |              7 |            90% |
|             24 |         0.8098 |       00:00:46 |              7 |            90% |
|             25 |         0.8527 |       00:00:45 |              7 |            90% |
|             26 |         0.8416 |       00:00:46 |              7 |            90% |
|             27 |         0.8214 |       00:00:45 |              7 |            90% |
|             28 |         0.8364 |       00:00:45 |              7 |            90% |
|             29 |         0.8331 |       00:00:45 |              7 |            90% |
|             30 |         0.8222 |       00:00:45 |              7 |            90% |
|             31 |         0.8669 |       00:00:45 |              7 |            90% |
|             32 |         0.8298 |       00:00:44 |              7 |            90% |
|             33 |         0.8376 |       00:00:46 |              7 |            90% |
|             34 |         0.8636 |       00:00:44 |              7 |            90% |
|             35 |         0.7956 |       00:00:46 |              7 |            90% |
|             36 |         0.8200 |       00:00:45 |              7 |            90% |
|             37 |         0.8486 |       00:00:43 |              7 |            90% |
|             38 |         0.8572 |       00:00:45 |              7 |            90% |
|             39 |         0.8668 |       00:00:45 |              7 |            90% |
|             40 |         0.8440 |       00:00:46 |              7 |            90% |
|             41 |         0.8330 |       00:00:45 |              7 |            90% |
|             42 |         0.8295 |       00:00:43 |              7 |            90% |
|             43 |         0.8057 |       00:00:45 |              7 |            90% |
|             44 |         0.8736 |       00:00:45 |              7 |            90% |
|             45 |         0.8282 |       00:00:44 |              7 |            90% |
|             46 |         0.8178 |       00:00:45 |              7 |            90% |
|             47 |         0.8626 |       00:00:44 |              7 |            90% |
|             48 |         0.8396 |       00:00:43 |              7 |            90% |
|             49 |         0.8212 |       00:00:31 |              7 |            90% |
|             50 |         0.8004 |       00:00:32 |              7 |            90% |
|              1 |         0.8364 |       00:00:45 |              8 |            90% |
|              2 |         0.8424 |       00:00:44 |              8 |            90% |
|              3 |         0.8385 |       00:00:45 |              8 |            90% |
|              4 |         0.8855 |       00:00:46 |              8 |            90% |
|              5 |         0.8111 |       00:00:47 |              8 |            90% |
|              6 |         0.8766 |       00:00:45 |              8 |            90% |
|              7 |         0.8237 |       00:00:44 |              8 |            90% |
|              8 |         0.8599 |       00:00:47 |              8 |            90% |
|              9 |         0.8401 |       00:00:47 |              8 |            90% |
|             10 |         0.8490 |       00:00:45 |              8 |            90% |
|             11 |         0.8600 |       00:00:46 |              8 |            90% |
|             12 |         0.8720 |       00:00:43 |              8 |            90% |
|             13 |         0.8298 |       00:00:44 |              8 |            90% |
|             14 |         0.8577 |       00:00:45 |              8 |            90% |
|             15 |         0.8537 |       00:00:44 |              8 |            90% |
|             16 |         0.8371 |       00:00:46 |              8 |            90% |
|             17 |         0.8608 |       00:00:46 |              8 |            90% |
|             18 |         0.8870 |       00:00:44 |              8 |            90% |
|             19 |         0.8599 |       00:00:46 |              8 |            90% |
|             20 |         0.8591 |       00:00:46 |              8 |            90% |
|             21 |         0.8617 |       00:00:44 |              8 |            90% |
|             22 |         0.8645 |       00:00:44 |              8 |            90% |
|             23 |         0.8514 |       00:00:44 |              8 |            90% |
|             24 |         0.8707 |       00:00:44 |              8 |            90% |
|             25 |         0.8500 |       00:00:45 |              8 |            90% |
|             26 |         0.8932 |       00:00:45 |              8 |            90% |
|             27 |         0.8619 |       00:00:46 |              8 |            90% |
|             28 |         0.8350 |       00:00:45 |              8 |            90% |
|             29 |         0.8658 |       00:00:45 |              8 |            90% |
|             30 |         0.8469 |       00:00:45 |              8 |            90% |
|             31 |         0.8653 |       00:00:44 |              8 |            90% |
|             32 |         0.8659 |       00:00:44 |              8 |            90% |
|             33 |         0.8475 |       00:00:44 |              8 |            90% |
|             34 |         0.8365 |       00:00:45 |              8 |            90% |
|             35 |         0.8510 |       00:00:44 |              8 |            90% |
|             36 |         0.8276 |       00:00:44 |              8 |            90% |
|             37 |         0.8290 |       00:00:44 |              8 |            90% |
|             38 |         0.8573 |       00:00:45 |              8 |            90% |
|             39 |         0.8254 |       00:00:44 |              8 |            90% |
|             40 |         0.8542 |       00:00:46 |              8 |            90% |
|             41 |         0.8823 |       00:00:44 |              8 |            90% |
|             42 |         0.8434 |       00:00:43 |              8 |            90% |
|             43 |         0.8518 |       00:00:44 |              8 |            90% |
|             44 |         0.8506 |       00:00:45 |              8 |            90% |
|             45 |         0.8594 |       00:00:45 |              8 |            90% |
|             46 |         0.8491 |       00:00:45 |              8 |            90% |
|             47 |         0.8440 |       00:00:44 |              8 |            90% |
|             48 |         0.8237 |       00:00:45 |              8 |            90% |
|             49 |         0.8497 |       00:00:32 |              8 |            90% |
|             50 |         0.8594 |       00:00:31 |              8 |            90% |
|              1 |         0.8330 |       00:00:44 |              9 |            90% |
|              2 |         0.8677 |       00:00:45 |              9 |            90% |
|              3 |         0.8705 |       00:00:49 |              9 |            90% |
|              4 |         0.8515 |       00:00:46 |              9 |            90% |
|              5 |         0.8653 |       00:00:48 |              9 |            90% |
|              6 |         0.8690 |       00:00:44 |              9 |            90% |
|              7 |         0.8189 |       00:00:44 |              9 |            90% |
|              8 |         0.8425 |       00:00:46 |              9 |            90% |
|              9 |         0.8476 |       00:00:48 |              9 |            90% |
|             10 |         0.8564 |       00:00:46 |              9 |            90% |
|             11 |         0.8707 |       00:00:47 |              9 |            90% |
|             12 |         0.8367 |       00:00:46 |              9 |            90% |
|             13 |         0.8641 |       00:00:46 |              9 |            90% |
|             14 |         0.8493 |       00:00:46 |              9 |            90% |
|             15 |         0.8605 |       00:00:46 |              9 |            90% |
|             16 |         0.8582 |       00:00:46 |              9 |            90% |
|             17 |         0.8499 |       00:00:44 |              9 |            90% |
|             18 |         0.8758 |       00:00:45 |              9 |            90% |
|             19 |         0.8655 |       00:00:46 |              9 |            90% |
|             20 |         0.8559 |       00:00:47 |              9 |            90% |
|             21 |         0.8560 |       00:00:44 |              9 |            90% |
|             22 |         0.8641 |       00:00:46 |              9 |            90% |
|             23 |         0.8354 |       00:00:44 |              9 |            90% |
|             24 |         0.8715 |       00:00:45 |              9 |            90% |
|             25 |         0.8739 |       00:00:44 |              9 |            90% |
|             26 |         0.8519 |       00:00:45 |              9 |            90% |
|             27 |         0.8679 |       00:00:44 |              9 |            90% |
|             28 |         0.8648 |       00:00:46 |              9 |            90% |
|             29 |         0.8596 |       00:00:46 |              9 |            90% |
|             30 |         0.8654 |       00:00:45 |              9 |            90% |
|             31 |         0.8578 |       00:00:44 |              9 |            90% |
|             32 |         0.8440 |       00:00:47 |              9 |            90% |
|             33 |         0.8469 |       00:00:45 |              9 |            90% |
|             34 |         0.8470 |       00:00:46 |              9 |            90% |
|             35 |         0.8794 |       00:00:47 |              9 |            90% |
|             36 |         0.8593 |       00:00:44 |              9 |            90% |
|             37 |         0.8639 |       00:00:48 |              9 |            90% |
|             38 |         0.8497 |       00:00:46 |              9 |            90% |
|             39 |         0.8515 |       00:00:46 |              9 |            90% |
|             40 |         0.8501 |       00:00:46 |              9 |            90% |
|             41 |         0.8556 |       00:00:45 |              9 |            90% |
|             42 |         0.8527 |       00:00:44 |              9 |            90% |
|             43 |         0.8563 |       00:00:46 |              9 |            90% |
|             44 |         0.8551 |       00:00:46 |              9 |            90% |
|             45 |         0.8693 |       00:00:46 |              9 |            90% |
