MetricName,MetricLabel,Ecosystem,FoodWebs,TotalOutlierRunsExcluded,MinimumRetainedRuns,MedianRetainedRuns,MaximumRetainedRuns
Connectance,Connectance,Lake,55,62,41,50.0,50
Connectance,Connectance,Marine,134,121,42,50.0,50
Connectance,Connectance,Stream,28,21,42,50.0,50
Connectance,Connectance,Terrestrial Aboveground,21,32,42,49.0,50
Connectance,Connectance,Terrestrial Belowground,52,31,46,50.0,50
MeanGenerality,Mean generality,Lake,55,72,42,50.0,50
MeanGenerality,Mean generality,Marine,134,135,43,49.0,50
MeanGenerality,Mean generality,Stream,28,23,47,49.0,50
MeanGenerality,Mean generality,Terrestrial Aboveground,21,33,44,49.0,50
MeanGenerality,Mean generality,Terrestrial Belowground,52,80,43,49.0,50
MeanTrophicHeight,Mean trophic height,Lake,54,229,27,46.0,49
MeanTrophicHeight,Mean trophic height,Marine,134,422,31,44.0,50
MeanTrophicHeight,Mean trophic height,Stream,28,96,39,46.5,50
MeanTrophicHeight,Mean trophic height,Terrestrial Aboveground,21,70,34,45.0,50
MeanTrophicHeight,Mean trophic height,Terrestrial Belowground,52,234,32,39.5,48
MeanVulnerability,Mean vulnerability,Lake,55,58,43,49.0,50
MeanVulnerability,Mean vulnerability,Marine,134,125,45,49.0,50
MeanVulnerability,Mean vulnerability,Stream,28,25,44,49.5,50
MeanVulnerability,Mean vulnerability,Terrestrial Aboveground,21,22,46,49.0,50
MeanVulnerability,Mean vulnerability,Terrestrial Belowground,52,41,47,50.0,50
