Version,Metric,FoodWebs,MinimumRetainedRuns,MedianRetainedRuns,MaximumRetainedRuns
Directed-negative,F1,290,40,49.0,50
Directed-negative,PR-AUC,290,40,50.0,50
Directed-negative,Precision,290,38,49.0,50
Directed-negative,ROC-AUC,290,40,49.0,50
Directed-negative,Recall,290,39,50.0,50
Directed-negative,MCC,290,40,49.0,50
Directed-negative,TSS,290,41,50.0,50
Original,F1,290,31,49.0,50
Original,PR-AUC,290,38,50.0,50
Original,Precision,290,39,50.0,50
Original,ROC-AUC,290,39,50.0,50
Original,Recall,290,27,50.0,50
Original,MCC,290,30,50.0,50
Original,TSS,290,35,50.0,50
