Foodweb,Nodes,Edges,Connectance
"lakes_foodweb",0,0,0
"marine_foodweb",0,0,0
"streams_foodweb",0,0,0
"terrestrial_aboveground_foodweb",0,0,0
"terrestrial_belowground_foodweb",0,0,0
