autoID,con.taxonomy,res.taxonomy,interaction.type,foodweb.name
11498,Lutra lutra,Anguilla anguilla,predacious,Ythan Estuary
11499,Lutra lutra,Pholis gunnellus,predacious,Ythan Estuary
11500,Lutra lutra,Zoarces viviparus,predacious,Ythan Estuary
11501,Lutra lutra,Myoxocephalus scorpius,predacious,Ythan Estuary
11502,Lutra lutra,Salmo trutta,predacious,Ythan Estuary
11503,Phalacrocorax carbo,Anguilla anguilla,predacious,Ythan Estuary
11504,Phalacrocorax carbo,Pollachius virens,predacious,Ythan Estuary
11505,Phalacrocorax carbo,Ammodytes tobianus,predacious,Ythan Estuary
11506,Phalacrocorax carbo,Zoarces viviparus,predacious,Ythan Estuary
11507,Phalacrocorax carbo,Pomatoschistus microps,predacious,Ythan Estuary
11508,Phalacrocorax carbo,Platichthys flesus,predacious,Ythan Estuary
11509,Phalacrocorax carbo,Salmo trutta,predacious,Ythan Estuary
11510,Ardea cinerea,Anguilla anguilla,predacious,Ythan Estuary
11511,Ardea cinerea,Pollachius virens,predacious,Ythan Estuary
11512,Ardea cinerea,Ammodytes tobianus,predacious,Ythan Estuary
11513,Ardea cinerea,Pholis gunnellus,predacious,Ythan Estuary
11514,Ardea cinerea,Zoarces viviparus,predacious,Ythan Estuary
11515,Ardea cinerea,Pomatoschistus microps,predacious,Ythan Estuary
11516,Ardea cinerea,Myoxocephalus scorpius,predacious,Ythan Estuary
11517,Ardea cinerea,Platichthys flesus,predacious,Ythan Estuary
11518,Ardea cinerea,Salmo trutta,predacious,Ythan Estuary
11519,Ardea cinerea,Carcinus maenas,predacious,Ythan Estuary
11520,Cygnus olor,Enteromorpha,herbivorous,Ythan Estuary
11521,Tadorna tadorna,Carcinus maenas,predacious,Ythan Estuary
11522,Tadorna tadorna,Hydrobia ulvae,predacious,Ythan Estuary
11523,Tadorna tadorna,Ostracods,predacious,Ythan Estuary
11524,Tadorna tadorna,Corophium volutator,predacious,Ythan Estuary
11525,Tadorna tadorna,Nereis diversicolor,predacious,Ythan Estuary
11526,Tadorna tadorna,Littorina littorea,predacious,Ythan Estuary
11527,Tadorna tadorna,Macoma balthica,predacious,Ythan Estuary
11528,Tadorna tadorna,Mytilus edulis,predacious,Ythan Estuary
11529,Tadorna tadorna,Cerastoderma edule,predacious,Ythan Estuary
11530,Tadorna tadorna,Acarina,predacious,Ythan Estuary
11531,Tadorna tadorna,Enteromorpha,herbivorous,Ythan Estuary
11532,Anas penelope,Enteromorpha,herbivorous,Ythan Estuary
11533,Somateria mollissima,Crangon crangon,predacious,Ythan Estuary
11534,Somateria mollissima,Carcinus maenas,predacious,Ythan Estuary
11535,Somateria mollissima,Littorina littorea,predacious,Ythan Estuary
11536,Somateria mollissima,Mytilus edulis,predacious,Ythan Estuary
11537,Somateria mollissima (juvenile),Crangon crangon,predacious,Ythan Estuary
11538,Somateria mollissima (juvenile),Hydrobia ulvae,predacious,Ythan Estuary
11539,Somateria mollissima (juvenile),Corophium volutator,predacious,Ythan Estuary
11540,Somateria mollissima (juvenile),Gammarus spp.,predacious,Ythan Estuary
