"consumer","resource","res_group","flux.mte","flux.mte.2","flux.new","flux.new.2"
"Capnia vidua","Achnanthes","plant",2.34349298564948e-07,2.84926472889303e-07,2.32400880294439e-07,3.15693330488435e-07
"Capnia vidua","Amphora","plant",4.85987386266669e-09,5.90872994651943e-09,4.8194680791445e-09,6.54676491397196e-09
"Capnia vidua","Cocconeis","plant",1.98128777209093e-06,2.40888852724311e-06,1.96481502257592e-06,2.66900451274041e-06
"Capnia vidua","CPOM","detritus",6.60420451556415e-08,8.02952136141255e-08,6.54929608264328e-08,8.89656308558308e-08
"Capnia vidua","Cymbella","plant",1.58840777336126e-08,1.93121732023595e-08,1.57520149220066e-08,2.13975353549932e-08
"Capnia vidua","Diatoma","plant",1.38831159470034e-06,1.68793646224489e-06,1.37676894578763e-06,1.87020278605696e-06
"Capnia vidua","Diploneis","plant",2.39351678212153e-07,2.91008464163265e-07,2.37361669341798e-07,3.22432065790243e-07
"Capnia vidua","Epithemia","plant",2.2393943293198e-07,2.72269954110642e-07,2.22077563981297e-07,3.01670138732654e-07
"Capnia vidua","Filamentous algae","plant",6.60420451556415e-08,8.02952136141255e-08,6.54929608264328e-08,8.89656308558308e-08
"Capnia vidua","FPOM","detritus",6.60420451556415e-08,8.02952136141255e-08,6.54929608264328e-08,8.89656308558308e-08
"Capnia vidua","Fragilaria","plant",5.35868378457466e-07,6.51519283145969e-07,5.31413081404868e-07,7.2187147192075e-07
"Capnia vidua","Gomphonema","plant",1.29541754514876e-08,1.57499405510643e-08,1.28464723250706e-08,1.74506466076673e-08
"Capnia vidua","Meridion","plant",2.71245731176789e-07,3.29785879214243e-07,2.68990549950906e-07,3.6539673376594e-07
"Capnia vidua","Navicula","plant",2.94845588803785e-07,3.58479048920855e-07,2.92394194514481e-07,3.9718824199294e-07
"Capnia vidua","Nitzschia","plant",4.94765266204006e-08,6.01545313217889e-08,4.9065170712707e-08,6.6650122553984e-08
"Capnia vidua","Opephora","plant",3.12888944890523e-08,3.80416515089354e-08,3.10287535197392e-08,4.21494554028401e-08
"Capnia vidua","Pinnularia","plant",8.36893842007064e-08,1.01751194497288e-07,8.29935770179119e-08,1.1273846598489e-07
"Capnia vidua","Rhoicosphenia","plant",3.9076033206638e-09,4.75094074710319e-09,3.87511486966135e-09,5.26395561703010e-09
"Capnia vidua","Rhopalodia","plant",2.5571995840648e-07,3.10909340212788e-07,2.53593860986329e-07,3.44481873152832e-07
"Capnia vidua","Surirella","plant",2.49900360895198e-08,3.03833759433673e-08,2.47822648557432e-08,3.36642258817781e-08
"Capnia vidua","Synedra","plant",9.39138195441045e-07,1.14182263493519e-06,9.31330047391378e-07,1.26511863497434e-06
"Clinocera stagnalis","Diamesa bertrami","invertebrate",8.85230338228368e-08,1.07628040497894e-07,8.9124551462993e-08,1.11012066542201e-07
"Clinocera stagnalis","Diamesa zernyi","invertebrate",7.09438487073173e-08,8.6254922498802e-08,7.1425915064684e-08,8.89669379070107e-08
