prey_tsn,prey_name,prey_rows,total_min_num,total_cpw
-99901.0,Empty,33811,109896.0,0.0
-99901.0,EH-Empty,4966,4967.0,0.0
-99904.0,Digested remains,3391,9748.0,6858.239851940053
-99904.0,Unidentifiable (ui),1947,1949.0,1371.2258384425631
-99901.0,EH Empty,1314,1314.0,0.0
-99904.0,Unknown,1217,1220.0,858.3353119035255
-99915.0,Invertebrate-Egg,564,564.0,3.708863999999968
-99907.0,Sand,534,1547.0,0.0
-99901.0,MTY,501,501.0,0.0
-99904.0,Unidentified rests,373,373.0,262.4254683114849
-99904.0,Unidentified Green Remains,320,320.0,225.1371309910862
-99914.0,ui invertebrate,297,309.0,818.1392999999966
-99906.0,Stone,291,482.0,609.9420800000025
-99902.0,Regurgitated,265,791.0,0.0
-99904.0,ANIMALIA,257,257.0,180.8132583272157
-99915.0,Ova (invertebrates),211,779.0,5.122703999999987
-99904.0,Unidentifiable debris-Fragments,196,196.0,137.8964927320395
-99904.0,EH-Digested remains,164,164.0,115.38277963293092
-99904.0,Unidentifiable,122,122.0,85.83353119035118
-99913.0,Benthos,119,415.0,3.356935000000002
-99913.0,Other Invertebrates,116,832.0,6.730048000000004
-99904.0,REM,102,105.0,73.87312110644987
-99902.0,EH-Stomach everted,100,100.0,0.0
-99904.0,Unrecognisable,99,343.0,241.31886228106947
-99915.0,Invertebrate eggs,93,1086.0,7.141536000000001
-99904.0,Detritus,84,1610.0,1132.7211900708262
-99904.0,INDETERMINATUS_1,74,74.0,52.06296154168851
-99904.0,Faecal matter,72,72.0,50.655854448000035
-99907.0,Shelly grit,72,72.0,0.0
-99902.0,Stomach everted,71,71.0,0.0
-99904.0,Unidentifiable matter,70,346.0,243.42952276400044
-99904.0,unidentified,52,52.0,36.58478378605135
-99907.0,sediment,48,48.0,0.0
-99906.0,Grit,46,587.0,742.8132800000001
-99908.0,Mud,45,177.0,0.0
-99913.0,Organisms (other),43,562.0,4.546018000000001
-99902.0,Gut Inverted,41,41.0,0.0
-99913.0,Freshwater invertebrates UI,39,198.0,1.6016220000000008
-99906.0,Small pebbles,38,76.0,96.17343999999994
-99914.0,Terrestrial organisms,37,739.0,1956.650299999999
-99913.0,Non-crustacea NEI,36,15471.0,125.144919
-99907.0,"Sand, shell or stone",36,43.0,0.0
-99914.0,invertebrate,35,35.0,92.6695
-99914.0,Unidentified invertebrate,34,38.0,100.6126
-99902.0,Everted,32,633.0,0.0
-99914.0,Invertebrate remains,29,119.0,315.07629999999983
-99904.0,EH-Fluid,28,28.0,19.69949896171996
-99906.0,EH-Stone,28,30.0,37.963200000000015
-99906.0,coal,28,35.0,44.29040000000002
-99902.0,Regurgitated/Everted,25,25.0,0.0
-99902.0,Inverted,22,22.0,0.0
-99904.0,White organic matter (WOM),22,22.0,15.478177747999991
-99904.0,UI,22,22.0,15.47817775563712
-99906.0,Gravel,20,22.0,27.839679999999994
-99904.0,Debris and detritus,20,358.0,251.872165172
-99902.0,EH Everted,19,19.0,0.0
-99915.0,Ova (unidentified eggs),18,47.0,0.30907199999999996
-99903.0,TUX,17,20.0,0.0
-99903.0,CCU,16,19.0,0.0
-99906.0,stones,15,49.0,62.00656000000002
-99904.0,Faecal pellets,15,145.0,102.01526248033551
-99904.0,Other food items,15,873.0,614.202235182
-99906.0,pebble,14,16.0,20.247040000000005
-99901.0,EHI-Empty,13,13.0,0.0
-99907.0,EH-Grit,11,11.0,0.0
-99904.0,EH Fluid,9,9.0,6.331981809124274
-99913.0,EHG-Benthos,9,10.0,0.08089
-99913.0,Aquatic animals (other),9,226.0,1.8281140000000002
-99902.0,REG,9,9.0,0.0
-99903.0,EH-M?,9,9.0,0.0
-99911.0,Plastic,9,21.0,48.47026153846155
-99913.0,EH-Benthic remains,8,8.0,0.064712
-99904.0,Other,8,71.0,49.952300914
-99905.0,Wood,8,8.0,42.07999999999999
-99903.0,EH-Aegia,7,7.0,0.0
-99911.0,Garbage,7,7.0,16.15675384615385
-99904.0,Mucous,7,7.0,4.92487474042999
-99902.0,INVERTED STOMACH,6,6.0,0.0
-99902.0,EH-Everted,6,6.0,0.0
