sea,decade,hauls,predator_records,prey_records,predator_names,prey_names
Irish Sea,1830,6,12,32,5,24
North Sea,1830,1,1,2,1,2
Irish Sea,1840,2,2,3,2,3
North Sea,1840,1,1,1,1,1
North Sea,1850,1,1,2,1,2
Channel,1860,1,1,1,1,1
North Sea,1880,379,1363,3826,40,298
W Scotland,1880,120,185,278,4,56
Channel,1880,6,61,73,1,15
Celtic Sea,1880,2,39,47,1,11
North Sea,1890,195,1306,3118,22,181
Irish Sea,1890,70,311,633,20,58
W Scotland,1890,3,4,11,3,8
Channel,1890,1,1,2,1,2
North Sea,1900,609,2700,8161,70,748
Channel,1900,92,159,1007,15,79
Irish Sea,1900,59,340,573,26,128
W Scotland,1900,14,30,120,16,81
Baltic,1900,30,84,95,1,10
Barents Sea,1900,1,4,8,2,6
Kattegat,1900,3,5,5,1,2
Skagerrak,1900,2,2,2,1,1
Channel,1910,637,1802,3092,74,168
Irish Sea,1910,11,17,289,16,99
North Sea,1910,10,190,237,8,45
Kattegat,1910,19,20,90,1,32
Freshwater,1910,5,7,14,1,12
Baltic,1910,2,8,8,1,2
North Sea,1920,400,460,3174,2,271
Freshwater,1920,119,199,1282,3,100
Channel,1920,53,352,1215,32,76
Kattegat,1920,84,105,444,1,70
Irish Sea,1920,21,159,362,4,52
Baltic,1920,39,51,132,2,36
W Ireland,1920,8,8,62,1,17
Celtic Sea,1920,6,6,41,2,18
W Scotland,1920,2,2,17,2,17
Rockall,1920,1,1,8,1,8
North Sea,1930,205,748,2930,12,233
Channel,1930,49,292,1615,40,129
Freshwater,1930,51,80,758,23,227
Spitzbergen (Greenland Sea),1930,42,260,541,5,87
W Scotland,1930,63,66,533,4,74
Barents Sea,1930,14,28,168,2,33
Irish Sea,1930,7,104,121,1,18
Iceland,1930,11,11,100,1,38
Baltic,1930,9,11,90,7,34
Norwegian Sea,1930,4,9,47,1,25
W Ireland,1930,1,1,6,1,6
Spitzbergen (Greenland Sea),1940,126,3444,5269,4,138
Norwegian Sea,1940,68,535,886,2,83
Freshwater,1940,12,15,297,4,92
Channel,1940,15,22,217,1,15
North Sea,1940,5,5,20,1,12
Barents Sea,1940,2,2,17,1,10
W Scotland,1940,1,1,7,1,7
Spitzbergen (Greenland Sea),1950,741,13643,18825,10,259
North Sea,1950,213,1718,3807,26,273
Barents Sea,1950,113,2043,2622,6,84
Freshwater,1950,29,252,1791,7,98
Irish Sea,1950,49,182,1421,20,218
E Greenland,1950,24,467,1269,3,96
Norwegian Sea,1950,30,634,668,2,28
Faeroes,1950,24,386,491,3,78
W Scotland,1950,22,24,436,6,73
Kattegat,1950,38,39,266,2,12
W Ireland,1950,3,3,17,1,16
Iceland,1950,1,1,12,1,12
Channel,1950,2,2,6,2,6
Celtic Sea,1950,1,2,5,2,5
North Sea,1960,133,2057,4337,28,285
Irish Sea,1960,128,2255,2849,33,117
Faeroes,1960,162,1745,2417,6,123
Freshwater,1960,66,80,1446,11,342
W Scotland,1960,48,491,1134,11,233
Spitzbergen (Greenland Sea),1960,15,580,936,2,44
Norwegian Sea,1960,30,442,475,4,40
Labrador Sea,1960,13,298,417,1,29
Channel,1960,10,145,313,2,46
Barents Sea,1960,18,257,312,2,36
Celtic Sea,1960,15,127,234,6,67
E Greenland,1960,12,114,160,2,36
Rockall,1960,9,63,138,12,39
W Ireland,1960,1,7,11,1,4
North Sea,1970,318,8450,18100,59,616
Irish Sea,1970,98,737,2175,25,172
W Ireland,1970,71,133,1362,18,117
Celtic Sea,1970,69,402,1011,16,165
Freshwater,1970,19,22,507,6,191
W Scotland,1970,8,103,244,9,83
Norwegian Sea,1970,3,3,160,1,81
Channel,1970,8,19,59,7,47
Biscay,1970,1,30,58,1,11
Celtic Sea,1980,1057,5847,11162,13,306
North Sea,1980,187,2979,9370,17,399
Irish Sea,1980,147,2996,8733,38,275
W Ireland,1980,65,218,1117,16,146
Biscay,1980,70,624,1037,6,61
W Scotland,1980,47,286,620,7,131
Channel,1980,17,213,550,14,135
Skagerrak,1980,10,30,484,4,155
Freshwater,1980,42,58,437,7,97
Norwegian Sea,1980,4,55,209,4,21
Baltic,1980,2,2,29,1,17
North Sea,1990,358,12160,32531,24,523
Celtic Sea,1990,228,9551,11566,69,168
Biscay,1990,17,659,839,28,54
Freshwater,1990,83,196,838,6,33
Channel,1990,24,432,712,32,100
W Scotland,1990,5,13,236,7,92
Norwegian Sea,1990,11,11,223,1,42
Faeroes,1990,10,10,198,1,31
Skagerrak,1990,5,16,86,4,27
Irish Sea,1990,3,21,65,2,44
W Ireland,1990,2,4,32,2,19
North Sea,2000,532,23652,53465,54,425
Irish Sea,2000,206,3375,6084,19,246
Norwegian Sea,2000,87,1242,3170,3,53
Channel,2000,50,652,1337,21,135
Celtic Sea,2000,19,182,303,16,65
Iceland,2000,2,20,52,1,10
E Greenland,2000,2,20,50,1,10
Irish Sea,2010,236,4283,6718,56,323
North Sea,2010,108,3404,6304,12,324
Celtic Sea,2010,112,1519,3196,18,304
Iceland,2010,76,1129,2089,4,15
E Greenland,2010,48,687,1675,4,17
Channel,2010,38,625,1384,8,177
Kattegat,2010,16,538,1333,2,73
Norwegian Sea,2010,39,642,1328,3,15
Biscay,2010,16,117,133,1,13
W Ireland,2010,6,40,55,1,17
North Atlantic,2010,2,9,18,1,4
Irish Sea,2020,11,220,295,1,45
North Sea,2020,10,199,289,1,41
Channel,2020,3,60,100,1,26
Celtic Sea,2020,4,62,89,1,19
