sea,decade,tsn,display_name,out_degree,in_degree,total_degree,out_record_strength,in_record_strength
Baltic,1900,39074,Eelgrass (Zostera),0,1,1,0,1
Baltic,1900,49806,Irene?,0,1,1,0,1
Baltic,1900,51483,Ephyra (larval jellyfish),0,1,1,0,3
Baltic,1900,53862,Pleurobrachia pileus,0,1,1,0,16
Baltic,1900,89856,Mysis spp.,0,1,1,0,11
Baltic,1900,90042,Mysis mixta,0,1,1,0,4
Baltic,1900,98670,Decapod (Krebsreste),0,1,1,0,1
Baltic,1900,167612,LUM,8,0,8,38,0
Baltic,1900,171671,Ammodytes larvae,0,1,1,0,1
Baltic,1910,53862,Pleurobrachia pileus,0,1,1,0,3
Baltic,1910,167612,LUM,1,0,1,3,0
Baltic,1920,64358,Polychaete,0,1,1,0,1
Baltic,1920,64515,Harmothoe spp.,0,1,1,0,1
Baltic,1920,65902,Nereis spp,0,1,1,0,1
Baltic,1920,65991,Nereis diversicolor,0,1,1,0,1
Baltic,1920,66014,Nephthys ciliata,0,1,1,0,1
Baltic,1920,66781,Spionidae,0,1,1,0,3
Baltic,1920,67321,Eumenia crasia,0,1,1,0,1
Baltic,1920,67511,Arenicola marina,0,1,1,0,1
Baltic,1920,68069,Terebellides stroemi,0,1,1,0,2
Baltic,1920,68422,Naidae,0,1,1,0,5
Baltic,1920,79454,Mytilus edulis spat,0,1,1,0,13
Baltic,1920,84195,Ostracod,0,1,1,0,3
Baltic,1920,85258,Copepod,0,1,1,0,11
Baltic,1920,90042,Mysis mixta,0,1,1,0,1
Baltic,1920,90063,Mysis vulgaris,0,1,1,0,3
Baltic,1920,90852,Diastylis rathkei,0,1,1,0,7
Baltic,1920,92246,Eurydice pulchra,0,1,1,0,1
Baltic,1920,92588,Idothea spp.,0,1,1,0,3
Baltic,1920,92814,Iaera marina (Jaera marina?),0,1,1,0,2
Baltic,1920,93294,Amphipod,0,1,1,0,5
Baltic,1920,93601,Corophium spp.,0,1,1,0,4
Baltic,1920,93775,Gammarus locusta,0,1,1,0,19
Baltic,1920,93968,Pontoporeia affinis,0,1,1,0,2
Baltic,1920,93992,Bathypoeia spp.,0,1,1,0,10
Baltic,1920,93994,Bathypoeia pilosa,0,1,1,0,3
Baltic,1920,118831,Insect larvae,0,1,1,0,9
Baltic,1920,155156,Priapulus caudatus,0,1,1,0,1
Baltic,1920,155159,Halicryptus spinulosus,0,1,1,0,2
Baltic,1920,157728,Amphiura filiformis,0,1,1,0,1
