sea,decade,hauls,predator_records,prey_records,predator_names,prey_names
Irish Sea,1830,6,11,30,5,23
North Sea,1830,1,1,2,1,2
Irish Sea,1840,2,2,3,2,3
North Sea,1840,1,1,1,1,1
North Sea,1850,1,1,2,1,2
North Sea,1880,371,1280,3548,36,295
W Scotland,1880,105,146,237,4,54
Channel,1880,6,23,35,1,14
Celtic Sea,1880,2,14,22,1,10
North Sea,1890,194,1167,2904,22,179
Irish Sea,1890,66,233,435,18,55
W Scotland,1890,3,4,11,3,8
Channel,1890,1,1,1,1,1
North Sea,1900,571,1954,7200,69,738
Channel,1900,92,159,1007,15,79
Irish Sea,1900,50,280,505,24,125
W Scotland,1900,14,28,114,16,78
Baltic,1900,14,28,38,1,8
Barents Sea,1900,1,4,8,2,6
Kattegat,1900,1,1,1,1,1
Channel,1910,492,1229,2505,70,164
Irish Sea,1910,11,17,270,16,95
North Sea,1910,9,128,175,7,43
Kattegat,1910,19,20,90,1,32
Freshwater,1910,4,6,13,1,11
Baltic,1910,1,3,3,1,1
North Sea,1920,313,363,2753,2,263
Freshwater,1920,117,183,1218,3,96
Channel,1920,48,312,1084,31,74
Kattegat,1920,84,105,444,1,70
Irish Sea,1920,21,149,352,4,51
Baltic,1920,39,51,132,2,36
W Ireland,1920,8,8,62,1,17
Celtic Sea,1920,6,6,41,2,18
W Scotland,1920,2,2,17,2,17
Rockall,1920,1,1,8,1,8
North Sea,1930,200,378,2485,12,225
Channel,1930,46,202,1513,38,127
Freshwater,1930,51,72,731,23,223
Spitzbergen (Greenland Sea),1930,42,253,520,5,83
W Scotland,1930,63,66,481,4,72
Barents Sea,1930,14,28,168,2,33
Iceland,1930,11,11,96,1,37
Baltic,1930,9,11,83,7,33
Irish Sea,1930,6,53,68,1,15
Norwegian Sea,1930,4,8,43,1,23
W Ireland,1930,1,1,6,1,6
Spitzbergen (Greenland Sea),1940,126,2293,4093,4,126
Norwegian Sea,1940,67,181,494,2,77
Freshwater,1940,12,15,281,4,89
Channel,1940,15,22,195,1,13
North Sea,1940,5,5,15,1,10
Barents Sea,1940,2,2,15,1,9
W Scotland,1940,1,1,6,1,6
Spitzbergen (Greenland Sea),1950,733,9938,15047,10,237
North Sea,1950,213,1436,3406,24,267
Barents Sea,1950,96,1122,1688,5,79
Freshwater,1950,28,240,1607,7,95
Irish Sea,1950,49,169,1346,20,215
E Greenland,1950,24,451,1241,3,90
W Scotland,1950,22,24,433,6,72
Faeroes,1950,24,283,385,3,75
Norwegian Sea,1950,30,329,363,2,25
Kattegat,1950,38,39,266,2,12
W Ireland,1950,3,3,16,1,15
Iceland,1950,1,1,11,1,11
Channel,1950,2,2,5,2,5
Celtic Sea,1950,1,1,4,1,4
North Sea,1960,131,1590,3699,24,278
Irish Sea,1960,126,1517,2015,32,111
Faeroes,1960,151,1215,1863,6,117
Freshwater,1960,66,80,1359,11,336
Spitzbergen (Greenland Sea),1960,15,492,840,2,35
W Scotland,1960,46,173,771,10,229
Labrador Sea,1960,13,248,366,1,27
Barents Sea,1960,18,191,243,2,34
Channel,1960,10,98,223,2,41
Celtic Sea,1960,14,85,174,6,63
E Greenland,1960,12,93,139,2,35
Norwegian Sea,1960,17,87,119,4,36
Rockall,1960,5,37,109,12,36
W Ireland,1960,1,5,9,1,3
North Sea,1970,294,5482,14620,58,604
Irish Sea,1970,96,640,1982,23,166
W Ireland,1970,71,127,1233,18,111
Celtic Sea,1970,69,380,930,16,157
Freshwater,1970,19,22,492,6,190
W Scotland,1970,8,93,223,9,77
Norwegian Sea,1970,3,3,160,1,81
Channel,1970,8,19,51,7,39
Biscay,1970,1,18,44,1,9
Celtic Sea,1980,1051,4944,10124,13,298
North Sea,1980,187,2391,8465,17,391
Irish Sea,1980,146,2467,7832,38,263
W Ireland,1980,64,217,1001,16,140
Biscay,1980,70,531,751,6,58
W Scotland,1980,47,286,615,7,130
Skagerrak,1980,10,30,446,4,153
Freshwater,1980,42,58,391,7,91
Channel,1980,17,79,381,14,125
Norwegian Sea,1980,4,54,183,4,16
Baltic,1980,2,2,25,1,15
North Sea,1990,355,10979,31022,24,498
Celtic Sea,1990,225,4734,6648,67,161
Freshwater,1990,83,181,776,6,29
Biscay,1990,15,407,571,24,51
Channel,1990,23,315,566,28,96
W Scotland,1990,5,13,216,7,89
Norwegian Sea,1990,11,11,205,1,40
Faeroes,1990,10,10,171,1,28
Skagerrak,1990,5,14,75,4,26
Irish Sea,1990,3,21,63,2,42
W Ireland,1990,2,4,29,2,18
North Sea,2000,518,9831,37835,48,403
Irish Sea,2000,173,1762,4148,17,234
Norwegian Sea,2000,86,1047,2939,3,51
Channel,2000,47,551,1118,21,131
Celtic Sea,2000,18,146,257,13,60
Iceland,2000,2,19,51,1,9
E Greenland,2000,2,14,44,1,9
North Sea,2010,107,2771,5066,12,305
Irish Sea,2010,231,2136,4073,49,309
Celtic Sea,2010,110,1117,2670,18,296
Iceland,2010,71,874,1692,4,11
E Greenland,2010,48,632,1521,4,13
Kattegat,2010,16,447,1156,2,70
Channel,2010,37,533,1139,8,164
Norwegian Sea,2010,38,500,1087,3,11
Biscay,2010,14,72,86,1,9
W Ireland,2010,5,25,38,1,13
North Atlantic,2010,2,9,18,1,4
North Sea,2020,10,134,211,1,37
Irish Sea,2020,11,110,168,1,38
Channel,2020,3,45,85,1,24
Celtic Sea,2020,4,34,56,1,15
