SEA,DECADE,unique_predator_prey_pairs,prey_records
North Sea,1970,2136,18100
North Sea,1900,2019,8161
North Sea,1990,1145,32531
North Sea,2000,1126,53465
Irish Sea,1980,1114,8733
Celtic Sea,1990,980,11566
Channel,1910,848,3092
North Sea,1880,833,3826
Irish Sea,2010,681,6718
North Sea,1980,655,9370
Celtic Sea,2010,602,3196
Freshwater,1960,600,1446
North Sea,1890,585,3118
Irish Sea,1950,554,1421
North Sea,1960,553,4337
Celtic Sea,1980,514,11162
North Sea,1950,484,3807
Channel,1930,459,1615
North Sea,2010,440,6304
Freshwater,1930,429,758
W Ireland,1980,411,1117
Channel,1920,375,1215
Spitzbergen (Greenland Sea),1950,371,18825
Irish Sea,1970,367,2175
Irish Sea,2000,365,6084
North Sea,1930,354,2930
W Scotland,1960,325,1134
Channel,1990,323,712
W Ireland,1970,307,1362
Irish Sea,1960,303,2849
Channel,2000,299,1337
Irish Sea,1910,288,289
Celtic Sea,1970,281,1011
North Sea,1920,277,3174
Skagerrak,1980,244,484
Freshwater,1970,237,507
Channel,2010,224,1384
Irish Sea,1900,221,573
Biscay,1990,204,839
Channel,1980,200,550
W Scotland,1980,182,620
Irish Sea,1890,180,633
W Scotland,1990,175,236
Spitzbergen (Greenland Sea),1940,173,5269
Faeroes,1960,160,2417
Freshwater,1950,148,1791
Freshwater,1980,144,437
Freshwater,1940,143,297
Freshwater,1920,128,1282
Channel,1900,126,1007
W Scotland,1900,112,120
Barents Sea,1950,109,2622
Spitzbergen (Greenland Sea),1930,106,541
W Scotland,1950,102,436
Rockall,1960,101,138
E Greenland,1950,99,1269
Kattegat,2010,99,1333
W Scotland,1970,99,244
Norwegian Sea,2000,99,3170
Celtic Sea,2000,91,303
W Scotland,1930,88,533
Baltic,1930,88,90
Norwegian Sea,1940,86,886
Faeroes,1950,83,491
Norwegian Sea,1970,81,160
Celtic Sea,1960,79,234
Freshwater,1990,73,838
Kattegat,1920,70,444
Biscay,1980,67,1037
W Scotland,1880,59,278
Irish Sea,1920,58,362
Spitzbergen (Greenland Sea),1960,54,936
Channel,1970,52,59
North Sea,1910,51,237
Skagerrak,1990,50,86
Channel,1960,48,313
Norwegian Sea,1960,48,475
Barents Sea,1930,47,168
Irish Sea,2020,45,295
E Greenland,2010,44,1675
Irish Sea,1990,44,65
Iceland,2010,43,2089
Barents Sea,1960,43,312
Norwegian Sea,1990,42,223
North Sea,2020,41,289
Norwegian Sea,1980,40,209
Iceland,1930,38,100
E Greenland,1960,37,160
Baltic,1920,36,132
Kattegat,1910,32,90
Faeroes,1990,31,198
Norwegian Sea,2010,31,1328
Norwegian Sea,1950,30,668
Labrador Sea,1960,29,417
Channel,2020,26,100
Irish Sea,1830,26,32
Norwegian Sea,1930,25,47
Kattegat,1950,21,266
Celtic Sea,2020,19,89
W Ireland,1990,19,32
